,pls_74_12012022,pls_71_a_12012022,pls_106_13012022,pls_104_13012022,pls_102_13012022,pls_100_13012022,pls_76_13012022,pls_103_14012022,pls_101_REP_14012022,pls_75_13012022,DSS73_REP_190124,DSS76_REP_190124,DSS77_REP_190124,DSST0.7_180124
,DSS_T0,DSS_T0,DSS_T0,DSS_T0,DSS_T0,DSS_T0,DSS_T0,DSS_T0,DSS_T0,DSS_T0,DSS_T0,DSS_T0,DSS_T0,DSS_T0
Diphenyl ether,4.3258795323774955,4.4479812982609355,4.668189496522805,4.748731699808834,4.338768120345715,4.6725603398948765,4.447837198483764,4.46874892394514,4.6262894535784325,4.312735549795054,4.626079953079254,4.5616436707218035,4.561204703020374,4.564900237067046
DL-Glyceraldehyde,3.769181560948172,3.8447341658679504,4.205662247659374,0.0,3.922303846266404,4.0892792377808505,0.0,4.173618825047302,0.0,0.0,4.68352556066428,4.448377540741906,0.0,0.0
DL-Ornithine,6.66971288496774,6.393948659615754,6.280420775278448,6.3996323582392165,6.1092210233418704,6.332405586215131,6.534421605904188,6.4689648665022315,6.355578139600376,6.262410745696338,7.2489909938139485,7.518116420008219,7.032605223382608,6.440516884865633
DL-Phenylalanine,8.885774338599498,9.167189456968831,8.805336124237341,9.572637347825353,9.04481756315703,8.788416997917132,8.967941788958273,9.194819403041448,9.217249532502144,8.889763579596895,9.885925137498695,9.877229682748656,9.667830332934814,9.31755623782752
"DL-Proline, 5-oxo-",0.0,0.0,0.0,5.802363648719875,0.0,0.0,0.0,0.0,0.0,0.0,3.6586382098447574,4.16825517508071,4.14947530839556,4.138622076150441
Dobutamine,0.0,0.0,4.878743191962491,0.0,4.872736966056915,4.486283291281945,4.952749310085973,0.0,4.93772880861511,4.957259607767004,3.792162725630448,4.332035861754678,0.0,0.0
Doconexent,7.967758784705243,8.033892754931856,8.274480262050302,8.040680950979635,7.828445760607221,8.057478677572746,8.14029998217742,8.15092508279267,7.952940120324494,8.172105038128594,8.856953309301042,8.89175330151411,9.039089250133284,0.0
Docosyl octyl ether,0.0,0.0,0.0,0.0,0.0,0.0,6.3017128023139035,6.2354087936587135,6.239079546534689,5.567928703787609,5.727506665478087,5.816532990353649,5.459724659158178,5.574517659168052
Dodecanamide,6.515338702204266,6.723532150141871,6.687218145312668,7.25136617299872,6.907658668031501,6.352105035959732,6.7081168746353805,6.963582025254441,6.782745864649484,6.658929223627615,0.0,8.015486265073495,0.0,0.0
"Dodecanamide, N-(2-hydroxyethyl)-",6.196400838243662,6.153968102115336,6.206273838621369,6.270857740493189,6.036751344751279,6.240239674701634,6.358320166274939,6.205686349548104,6.210443818586214,6.293232281971643,0.0,0.0,0.0,0.0
"Dodecane, 4,6-dimethyl-",0.0,0.0,0.0,0.0,0.0,6.297014918360095,5.811795101871295,0.0,0.0,7.375400749874607,6.661892084057523,6.61967251117947,6.418794423646861,6.369024714459728
"Dodecanoic acid, 1-methylethyl ester",4.045112841717868,3.90378930154124,0.0,4.028199608876587,3.5867360129178087,0.0,3.937063066920389,3.899548761746345,3.922772009220522,0.0,0.0,0.0,4.542056751943925,3.755808942978512
Dodecanoic acid,5.640332880368036,5.665652595959904,5.508519207166966,6.062674283241596,5.703750829087792,0.0,0.0,5.674875197236273,5.79504211925735,5.6717705441837545,5.6570031326207335,5.729865294599044,5.609987800718292,5.628064949915091
Dodecylcyclohexane,0.0,0.0,6.594342758034723,0.0,6.722192803566542,0.0,0.0,6.656870967158664,0.0,6.572827069753314,0.0,0.0,0.0,0.0
