cpx_gene,pls_metabolite,VECPAC r,VECPAC p-values,VECPAC n,DSS r,DSS p-values,DSS n,LPS r,LPS p-values,LPS n,Pooled r,Pooled p-values,Pooled n,r Count,Consistent,Sign,edge_dir,Pooled FDR
ENSMUSG00000030703-P,"L-Lysine, ethyl ester ",0.395284708,0.510140203,5,0.2,0.8,4,,,0,0.254545455,0.508633377,9,2,TRUE,+,1,0.687718096
ENSMUSG00000008140-P,"L-Lysine, ethyl ester ",0.353553391,0.559404344,5,0.4,0.6,4,,,0,0.182781539,0.6378521,9,2,TRUE,+,1,0.769949899
ENSMUSG00000028826-P,"L-Lysine, ethyl ester ",-0.707106781,0.181690114,5,-1,0,4,,,0,-0.826868866,0.005975752,9,2,TRUE,-,-1,0.15983644
ENSMUSG00000042010-P,"L-Lysine, ethyl ester ",-0.353553391,0.559404344,5,-0.2,0.8,4,,,0,-0.774645569,0.014235675,9,2,TRUE,-,-1,0.20430774
ENSMUSG00000021431-P,"L-Lysine, ethyl ester ",0.353553391,0.559404344,5,0.2,0.8,4,,,0,0.235004836,0.542741408,9,2,TRUE,+,1,0.708896961
ENSMUSG00000032238-P,"L-Lysine, ethyl ester ",0.707106781,0.181690114,5,0.4,0.6,4,,,0,0.696310624,0.037183381,9,2,TRUE,+,1,0.266218387
ENSMUSG00000039323-P,"L-Lysine, ethyl ester ",-0.707106781,0.181690114,5,-0.2,0.8,4,,,0,-0.609271796,0.081567507,9,2,TRUE,-,-1,0.34265034
ENSMUSG00000030979-P,"L-Lysine, ethyl ester ",0.353553391,0.559404344,5,0.8,0.2,4,,,0,0.574456265,0.105704572,9,2,TRUE,+,1,0.373904893
ENSMUSG00000026784-P,"L-Lysine, ethyl ester ",-0.707106781,0.181690114,5,-0.8,0.2,4,,,0,-0.59186403,0.093157828,9,2,TRUE,-,-1,0.358292159
ENSMUSG00000027690-P,"L-Lysine, ethyl ester ",0.395284708,0.510140203,5,1,0,4,,,0,0.5,0.170470661,9,2,TRUE,+,1,0.438670747
ENSMUSG00000029550-P,"L-Lysine, ethyl ester ",-0.707106781,0.181690114,5,-0.4,0.6,4,,,0,-0.43519414,0.241704216,9,2,TRUE,-,-1,0.499544224
ENSMUSG00000106718-P,"L-Lysine, ethyl ester ",-0.707106781,0.181690114,5,-0.8,0.2,4,,,0,-0.530936851,0.141350837,9,2,TRUE,-,-1,0.412633294
ENSMUSG00000030782-P,"L-Lysine, ethyl ester ",-0.707106781,0.181690114,5,-1,0,4,,,0,-0.731126155,0.025213004,9,2,TRUE,-,-1,0.237242238
ENSMUSG00000055447-P,"L-Lysine, ethyl ester ",-0.353553391,0.559404344,5,-0.8,0.2,4,,,0,-0.487417437,0.18321932,9,2,TRUE,-,-1,0.449990834
ENSMUSG00000049739-P,"L-Lysine, ethyl ester ",0.353553391,0.559404344,5,0.4,0.6,4,,,0,0.235004836,0.542741408,9,2,TRUE,+,1,0.708896961
ENSMUSG00000070858-P,"L-Lysine, ethyl ester ",-0.353553391,0.559404344,5,-0.8,0.2,4,,,0,-0.722422272,0.02792426,9,2,TRUE,-,-1,0.244827614
ENSMUSG00000030079-P,"L-Lysine, ethyl ester ",0.353553391,0.559404344,5,0.4,0.6,4,,,0,0.113150476,0.771936932,9,2,TRUE,+,1,0.854881646
ENSMUSG00000091549-P,"L-Lysine, ethyl ester ",-0.353553391,0.559404344,5,-0.8,0.2,4,,,0,-0.400378609,0.285606535,9,2,TRUE,-,-1,0.532704318
ENSMUSG00000028041-P,"L-Lysine, ethyl ester ",-0.707106781,0.181690114,5,-0.2,0.8,4,,,0,-0.365563078,0.333308653,9,2,TRUE,-,-1,0.567885519
ENSMUSG00000060512-P,"L-Lysine, ethyl ester ",-0.707106781,0.181690114,5,-0.4,0.6,4,,,0,-0.818164983,0.007031174,9,2,TRUE,-,-1,0.165833274
ENSMUSG00000030560-P,"L-Lysine, ethyl ester ",-0.353553391,0.559404344,5,-0.4,0.6,4,,,0,-0.287228132,0.453613097,9,2,TRUE,-,-1,0.65080847
ENSMUSG00000043639-P,"L-Lysine, ethyl ester ",0.707106781,0.181690114,5,1,0,4,,,0,0.574456265,0.105704572,9,2,TRUE,+,1,0.373904893
ENSMUSG00000058492-P,"L-Lysine, ethyl ester ",0.544107188,0.343110821,5,0.4,0.6,4,,,0,0.265580337,0.489764061,9,2,TRUE,+,1,0.674403526
ENSMUSG00000041408-P,"L-Lysine, ethyl ester ",-0.353553391,0.559404344,5,-0.2,0.8,4,,,0,-0.235004836,0.542741408,9,2,TRUE,-,-1,0.708896961
ENSMUSG00000102687-P,"L-Lysine, ethyl ester ",-0.72547625,0.165370396,5,-0.4,0.6,4,,,0,-0.345254438,0.362825738,9,2,TRUE,-,-1,0.590424544
ENSMUSG00000022312-P,"L-Lysine, ethyl ester ",-0.707106781,0.181690114,5,-0.4,0.6,4,,,0,-0.269820367,0.482591715,9,2,TRUE,-,-1,0.670135839
ENSMUSG00000103657-P,"L-Lysine, ethyl ester ",0.353553391,0.559404344,5,0.25819889,0.74180111,4,,,0,0.159090909,0.682660772,9,2,TRUE,+,1,0.799333469
ENSMUSG00000026896-P,"L-Lysine, ethyl ester ",-0.353553391,0.559404344,5,-0.4,0.6,4,,,0,-0.426490257,0.252316321,9,2,TRUE,-,-1,0.50822448
ENSMUSG00000023249-P,"L-Lysine, ethyl ester ",0.353553391,0.559404344,5,1,0,4,,,0,0.583160147,0.099310587,9,2,TRUE,+,1,0.365921173
ENSMUSG00000072704-P,"L-Lysine, ethyl ester ",0.707106781,0.181690114,5,0.8,0.2,4,,,0,0.269820367,0.482591715,9,2,TRUE,+,1,0.670135839
ENSMUSG00000031657-P,"L-Lysine, ethyl ester ",0.353553391,0.559404344,5,0.4,0.6,4,,,0,0.243708718,0.527441791,9,2,TRUE,+,1,0.700616318
ENSMUSG00000046947-P,"L-Lysine, ethyl ester ",-0.707106781,0.181690114,5,-0.4,0.6,4,,,0,-0.461305788,0.211343628,9,2,TRUE,-,-1,0.47335729
ENSMUSG00000022561-P,"L-Lysine, ethyl ester ",-0.353553391,0.559404344,5,-0.2,0.8,4,,,0,-0.21759707,0.57383506,9,2,TRUE,-,-1,0.72898167
ENSMUSG00000037742-P,"L-Lysine, ethyl ester ",0.353553391,0.559404344,5,0.4,0.6,4,,,0,0.200189304,0.605553076,9,2,TRUE,+,1,0.749978687
ENSMUSG00000001054-P,"L-Lysine, ethyl ester ",-0.353553391,0.559404344,5,-0.8,0.2,4,,,0,-0.818164983,0.007031174,9,2,TRUE,-,-1,0.165833274
ENSMUSG00000021886-P,"L-Lysine, ethyl ester ",-0.707106781,0.181690114,5,-0.4,0.6,4,,,0,-0.426490257,0.252316321,9,2,TRUE,-,-1,0.50822448
ENSMUSG00000037326-P,"L-Lysine, ethyl ester ",0.707106781,0.181690114,5,0.4,0.6,4,,,0,0.382970843,0.308991804,9,2,TRUE,+,1,0.55046859
ENSMUSG00000042349-P,"L-Lysine, ethyl ester ",0.707106781,0.181690114,5,0.2,0.8,4,,,0,0.174077656,0.654205491,9,2,TRUE,+,1,0.779853132
ENSMUSG00000039943-P,"L-Lysine, ethyl ester ",-0.353553391,0.559404344,5,-1,0,4,,,0,-0.8094611,0.008206604,9,2,TRUE,-,-1,0.17349654
ENSMUSG00000037736-P,"L-Lysine, ethyl ester ",0.353553391,0.559404344,5,0.8,0.2,4,,,0,0.191485422,0.621632737,9,2,TRUE,+,1,0.759844948
ENSMUSG00000095677-P,"L-Lysine, ethyl ester ",0.544107188,0.343110821,5,0.737864787,0.262135213,4,,,0,0.568181818,0.110464543,9,2,TRUE,+,1,0.379335093
ENSMUSG00000004098-P,"L-Lysine, ethyl ester ",-0.707106781,0.181690114,5,-0.774596669,0.225403331,4,,,0,-0.05,0.898352804,9,2,TRUE,-,-1,0.934292199
ENSMUSG00000100075-P,"L-Lysine, ethyl ester ",0.25,0.685037642,5,0.25819889,0.74180111,4,,,0,0.023836565,0.951463535,9,2,TRUE,+,1,0.967592354
ENSMUSG00000031918-P,"L-Lysine, ethyl ester ",0.707106781,0.181690114,5,0.8,0.2,4,,,0,0.522232968,0.149224054,9,2,TRUE,+,1,0.420753852
ENSMUSG00000104339-P,"L-Lysine, ethyl ester ",0.353553391,0.559404344,5,0.316227766,0.683772234,4,,,0,0.375836221,0.318846653,9,2,TRUE,+,1,0.558145551
ENSMUSG00000019464-P,"L-Lysine, ethyl ester ",0.707106781,0.181690114,5,0.8,0.2,4,,,0,0.330747546,0.384646792,9,2,TRUE,+,1,0.603480249
ENSMUSG00000038990-P,"L-Lysine, ethyl ester ",0.707106781,0.181690114,5,0.2,0.8,4,,,0,0.417786374,0.26317194,9,2,TRUE,+,1,0.515619804
ENSMUSG00000025437-P,"L-Lysine, ethyl ester ",0.707106781,0.181690114,5,0.4,0.6,4,,,0,0.461305788,0.211343628,9,2,TRUE,+,1,0.47335729
ENSMUSG00000078485-P,"L-Lysine, ethyl ester ",0.544107188,0.343110821,5,0.774596669,0.225403331,4,,,0,0.800908575,0.009484721,9,2,TRUE,+,1,0.181093809
ENSMUSG00000021392-P,"L-Lysine, ethyl ester ",-0.353553391,0.559404344,5,-0.8,0.2,4,,,0,-0.609271796,0.081567507,9,2,TRUE,-,-1,0.34265034
ENSMUSG00000024975-P,"L-Lysine, ethyl ester ",0.707106781,0.181690114,5,0.4,0.6,4,,,0,0.339451429,0.371481998,9,2,TRUE,+,1,0.596668501
ENSMUSG00000029270-P,"L-Lysine, ethyl ester ",-0.707106781,0.181690114,5,-0.8,0.2,4,,,0,-0.557048499,0.119223463,9,2,TRUE,-,-1,0.388340523
ENSMUSG00000029684-P,"L-Lysine, ethyl ester ",0.707106781,0.181690114,5,0.4,0.6,4,,,0,0.113150476,0.771936932,9,2,TRUE,+,1,0.854881646
ENSMUSG00000017697-P,"L-Lysine, ethyl ester ",-0.790569415,0.111367155,5,-0.632455532,0.367544468,4,,,0,-0.553008302,0.12250147,9,2,TRUE,-,-1,0.392769871
ENSMUSG00000022812-P,"L-Lysine, ethyl ester ",0.353553391,0.559404344,5,0.4,0.6,4,,,0,0.06092718,0.876263484,9,2,TRUE,+,1,0.919964735
ENSMUSG00000053749-P,"L-Lysine, ethyl ester ",0.707106781,0.181690114,5,0.25819889,0.74180111,4,,,0,0.454545455,0.218990482,9,2,TRUE,+,1,0.480499491
ENSMUSG00000025323-P,"L-Lysine, ethyl ester ",-0.707106781,0.181690114,5,-0.2,0.8,4,,,0,-0.739830038,0.022680892,9,2,TRUE,-,-1,0.230881028
ENSMUSG00000034863-P,"L-Lysine, ethyl ester ",-0.707106781,0.181690114,5,-0.2,0.8,4,,,0,-0.27852425,0.468007207,9,2,TRUE,-,-1,0.659230948
ENSMUSG00000068762-P,"L-Lysine, ethyl ester ",-0.707106781,0.181690114,5,-0.4,0.6,4,,,0,-0.365563078,0.333308653,9,2,TRUE,-,-1,0.567885519
ENSMUSG00000054364-P,"L-Lysine, ethyl ester ",-0.707106781,0.181690114,5,-0.4,0.6,4,,,0,-0.261116484,0.497362103,9,2,TRUE,-,-1,0.679304202
ENSMUSG00000029878-P,"L-Lysine, ethyl ester ",0.707106781,0.181690114,5,0.8,0.2,4,,,0,0.783349452,0.012516826,9,2,TRUE,+,1,0.195755833
ENSMUSG00000021957-P,"L-Lysine, ethyl ester ",-0.353553391,0.559404344,5,-0.4,0.6,4,,,0,-0.365563078,0.333308653,9,2,TRUE,-,-1,0.567885519
ENSMUSG00000052566-P,"L-Lysine, ethyl ester ",0.353553391,0.559404344,5,0.2,0.8,4,,,0,0.008703883,0.982269715,9,2,TRUE,+,1,0.986973098
ENSMUSG00000017221-P,"L-Lysine, ethyl ester ",-0.353553391,0.559404344,5,-0.2,0.8,4,,,0,-0.27852425,0.468007207,9,2,TRUE,-,-1,0.659230948
