Gene,Metabolite,Sign
ENSMUSG00000040158-P,Docosyl octyl ether,-1.0
ENSMUSG00000039883-P,2-Acetyl-5-chloro-3-methylbenzo(b)thiophene,-1.0
ENSMUSG00000039883-P,"2-Allyl-1,4-dimethoxybenzene",-1.0
ENSMUSG00000039883-P,2-Amino-4-methylphenol,-1.0
ENSMUSG00000039883-P,"2,3,4-Trihydroxybutyric acid tetrakis",-1.0
ENSMUSG00000039883-P,"3beta,4beta-Bis(trimethylsiloxy)cholest-5-ene",-1.0
ENSMUSG00000039883-P,"6,7,4'-Trihydroxyisoflavone",-1.0
ENSMUSG00000039883-P,Arachidonic acid,-1.0
ENSMUSG00000039883-P,Azatadine,-1.0
ENSMUSG00000039883-P,beta-Lyxopyranose,-1.0
ENSMUSG00000039883-P,"D-(+)-Ribono-1,4-lactone (R,S,R)-",-1.0
ENSMUSG00000039883-P,DL-Glyceraldehyde,-1.0
ENSMUSG00000039883-P,Isofucosterol,-1.0
ENSMUSG00000039883-P,L-Aspartic acid,-1.0
ENSMUSG00000039883-P,Methylmalonic monoamide,-1.0
ENSMUSG00000039883-P,N-Methyl-N-(tetrahydro-2-furanylmethyl)-4-piperidinamine,-1.0
ENSMUSG00000039883-P,p-Toluic acid,-1.0
ENSMUSG00000039883-P,"Pentanedioic acid, 3-methyl-3-[(trimethylsilyl)oxy]-",-1.0
ENSMUSG00000031451-P,"(7a-Isopropenyl-4,5-dimethyloctahydroinden-4-yl)methanol",-1.0
ENSMUSG00000031451-P,"N,N-Dimethyl-2-cyclohexyloxyethylamine",-1.0
ENSMUSG00000031751-P,12-Oxooctadecanoate,-1.0
ENSMUSG00000031751-P,Suberic acid,-1.0
ENSMUSG00000029623-P,"2-(Decanoyloxy)propane-1,3-diyl dioctanoate",1.0
ENSMUSG00000029623-P,3'-(Trimethylsilyl)oxy-beta-naphthoflavone,-1.0
ENSMUSG00000024168-P,1-Hydroxy-3-methoxy-6-methylanthraquinone,-1.0
ENSMUSG00000024168-P,N-Isovaleroylglycine,1.0
ENSMUSG00000001687-P,1-Deoxypentitol,1.0
ENSMUSG00000001687-P,"1,3,5-Benzetriol",1.0
ENSMUSG00000001687-P,2-Acetyl-5-chloro-3-methylbenzo(b)thiophene,1.0
ENSMUSG00000001687-P,"2,3,4-Trihydroxybutyric acid tetrakis",1.0
ENSMUSG00000001687-P,"2,5-Piperazinedione, 3-benzyl-6-isopropyl-",1.0
ENSMUSG00000001687-P,"3-Hydroxy-2,3-dihydromaltol",1.0
ENSMUSG00000001687-P,4-Hydroxybenzeneacetic acid,1.0
ENSMUSG00000001687-P,9-Octadecenoic acid,1.0
ENSMUSG00000001687-P,beta-Lyxopyranose,1.0
ENSMUSG00000001687-P,Dinoseb ,1.0
ENSMUSG00000001687-P,Isofucosterol,1.0
ENSMUSG00000001687-P,Isopropyl palmitate,1.0
ENSMUSG00000001687-P,Methyl aminoacetate,1.0
ENSMUSG00000001687-P,"Pentanedioic acid, 3-methyl-3-[(trimethylsilyl)oxy]-",1.0
ENSMUSG00000001687-P,Propylamine,1.0
ENSMUSG00000001687-P,Tartronic acid,1.0
ENSMUSG00000001687-P,Triethanolamine,1.0
ENSMUSG00000029790-P,3-Methoxysalicylic acid,-1.0
ENSMUSG00000029790-P,"Benzaldehyde, 2,5-dimethyl-",1.0
ENSMUSG00000029790-P,"Benzoic acid, pentadecyl ester",1.0
ENSMUSG00000030703-P,"1-Butanamine, N,N-diethyl-",1.0
ENSMUSG00000030703-P,Pentadecanoic acid,1.0
ENSMUSG00000008140-P,Indole-5-carboxylic acid,-1.0
ENSMUSG00000007892-P,"1-(2,4-Dimethoxyphenyl)-propan-2-one",-1.0
ENSMUSG00000007892-P,1-Hydroxy-3-methoxy-6-methylanthraquinone,-1.0
ENSMUSG00000007892-P,"3,5-Dimethyl-1,4-diallylpyrazole",-1.0
ENSMUSG00000007892-P,Docosyl octyl ether,1.0
ENSMUSG00000007892-P,Hexanoylglycine,1.0
ENSMUSG00000007892-P,Indole-5-carboxylic acid,-1.0
ENSMUSG00000026341-P,"1-(2,4-Dimethoxyphenyl)-propan-2-one",-1.0
ENSMUSG00000026341-P,"9H-Fluorene, 9-methylene-",-1.0
ENSMUSG00000026341-P,Valylglycine,-1.0
ENSMUSG00000042010-P,"(7a-Isopropenyl-4,5-dimethyloctahydroinden-4-yl)methanol",-1.0
ENSMUSG00000032238-P,2-Ethyl-3-hydroxypropionic acid,1.0
ENSMUSG00000032238-P,2-Methyl-4-pentenoic acid,1.0
ENSMUSG00000032238-P,3-Indoleacetic acid,1.0
ENSMUSG00000032238-P,Guanabenz,1.0
ENSMUSG00000032238-P,Nonanal,1.0
ENSMUSG00000032238-P,Pimelic acid,1.0
ENSMUSG00000032238-P,"Propanoic acid, 2-oxo-",1.0
ENSMUSG00000039323-P,"1-Butanamine, N,N-diethyl-",-1.0
ENSMUSG00000026784-P,Allylescaline ,-1.0
ENSMUSG00000026784-P,Niclosamide,-1.0
ENSMUSG00000031027-P,Doconexent,1.0
ENSMUSG00000033487-P,"2,5-Piperazinedione, 3-benzyl-6-isopropyl-",1.0
ENSMUSG00000029550-P,12-Oxooctadecanoate,-1.0
ENSMUSG00000029550-P,Pimelic acid,-1.0
ENSMUSG00000029550-P,Suberic acid,-1.0
ENSMUSG00000096971-P,Isopropyl palmitate,1.0
ENSMUSG00000096971-P,Propylamine,1.0
ENSMUSG00000106365-P,N-Acetyltyrosine,-1.0
ENSMUSG00000087368-P,cis-4-Trimethylsilyloxy-cyclohexyl(trimethylsilyl)carboxylate,1.0
ENSMUSG00000087368-P,Dopamine,-1.0
ENSMUSG00000024335-P,2-Hydroxybutyric acid,1.0
ENSMUSG00000030782-P,"3-Buten-2-one, 3-trimethylsilyloxy-",-1.0
ENSMUSG00000051074-P,"1,3,5-Benzetriol",1.0
ENSMUSG00000051074-P,"15-Oxo-11Z,13E-eicosadienoic acid",1.0
ENSMUSG00000051074-P,2-Acetyl-5-chloro-3-methylbenzo(b)thiophene,1.0
ENSMUSG00000051074-P,9-Octadecenoic acid,1.0
ENSMUSG00000055447-P,DL-Glyceraldehyde,1.0
ENSMUSG00000055447-P,"Pentanedioic acid, 3-methyl-3-[(trimethylsilyl)oxy]-",1.0
ENSMUSG00000049739-P,"15-Oxo-11Z,13E-eicosadienoic acid",1.0
ENSMUSG00000049739-P,3-Ureidopropionic acid,1.0
ENSMUSG00000049739-P,9-Octadecenoic acid,1.0
ENSMUSG00000070858-P,4-Hydroxybutanoic acid,1.0
ENSMUSG00000070858-P,"Aziridine, 1-(2-buten-2-yl)-",-1.0
ENSMUSG00000055044-P,L-Tryptophan,-1.0
ENSMUSG00000055044-P,"L-Tryptophan, N-acetyl-1",-1.0
ENSMUSG00000032372-P,"Benzaldehyde, 2,5-dimethyl-",1.0
ENSMUSG00000032372-P,"Glycine, N-(1-oxobutyl)-",1.0
ENSMUSG00000023967-P,"1,2-Butadiene, 1,1,4-triphenyl-3-trimethylsilyl-4-trimethylsilyloxy-",-1.0
ENSMUSG00000023967-P,"2,5-Piperazinedione, 3-benzyl-6-isopropyl-",-1.0
ENSMUSG00000023967-P,D-(-)-Citramalic acid,-1.0
ENSMUSG00000028041-P,"2,4-Imidazolidinedione, 5,5-dimethyl-",-1.0
ENSMUSG00000028041-P,3-Indoleacetic acid,-1.0
ENSMUSG00000028041-P,Nitrosothymol,-1.0
ENSMUSG00000028041-P,Pimelic acid,-1.0
ENSMUSG00000031864-P,"Guanidine, N,N-dimethyl-",-1.0
ENSMUSG00000060512-P,"N,N-Diethyl-2-aminoethanol",-1.0
ENSMUSG00000030560-P,beta-Methylphenethylamine,1.0
ENSMUSG00000041408-P,2-Isopropyl-5-methyl-1-heptanol ,1.0
ENSMUSG00000041408-P,"2,5-Piperazinedione, 3-benzyl-6-isopropyl-",1.0
ENSMUSG00000041408-P,"Benzoic acid, pentadecyl ester",1.0
ENSMUSG00000041408-P,Dinoseb ,1.0
ENSMUSG00000041408-P,"Morpholine, 4-[2,3,4,6-tetrakis-O-(trimethylsilyl)-alpha-d-mannopyranosyl]-",-1.0
ENSMUSG00000021254-P,"cis-4,5-Dihydroxy-o-dithiane, 2O-",1.0
ENSMUSG00000064294-P,1-(3-Methylphenyl)piperazine,1.0
ENSMUSG00000064294-P,"1-Propanamine, N,N-diethyl- ",1.0
ENSMUSG00000064294-P,n-Butylamine,1.0
ENSMUSG00000022312-P,1-Deoxypentitol,-1.0
ENSMUSG00000022312-P,"Dodecane, 4,6-dimethyl-",-1.0
ENSMUSG00000020135-P,1-Hexadecanol,1.0
ENSMUSG00000020135-P,"1,2-Benzenedicarboxylic acid",1.0
ENSMUSG00000020135-P,"1,3,5-Trimethyl-1H-pyrazol-4-amine",1.0
ENSMUSG00000020135-P,"6-Methoxy-1-methyl-1,2,3,4-tetrahydroisoquinolin-7-ol ",1.0
ENSMUSG00000020135-P,Decanoic acid,1.0
ENSMUSG00000020135-P,Dihydrouracil,-1.0
ENSMUSG00000020135-P,Ethanolamine,-1.0
ENSMUSG00000020135-P,Glyceric acid,-1.0
ENSMUSG00000020135-P,L-Isoleucine,-1.0
ENSMUSG00000020135-P,L-Proline,-1.0
ENSMUSG00000020135-P,L-Valine,-1.0
ENSMUSG00000020135-P,N-Isobutyl-sec-butylamine,1.0
ENSMUSG00000020135-P,"Pyrimidine, 5-methyl-2,4-bis[(trimethylsilyl)oxy]-",-1.0
ENSMUSG00000031657-P,"3-Hydroxy-2,3-dihydromaltol",1.0
ENSMUSG00000031657-P,4-Hydroxybenzeneacetic acid,1.0
ENSMUSG00000031657-P,Pimelic acid,1.0
ENSMUSG00000031657-P,Triethanolamine,1.0
