NAME,935_CTR_LPS_CSF_070224,936_CTR_LPS_CSF_070224_2,937_CTR_LPS_CSF_070224,941_CTR_LPS_CSF_070224,942_CTR_LPS_CSF_070224,943_CTR_LPS_CSF_070224
,LPS_CTRL,LPS_CTRL,LPS_CTRL,LPS_CTRL,LPS_CTRL,LPS_CTRL
Niacinamide,122956667.2,137400414.1,197206386,145298059.9,86440469.23,145893092.2
N-Isobutyrylglycine,51784509.57,63332678.09,108806717,34363270.89,48723648.65,80561215.61
N-Methyl-1-[(trimethylsilyl)oxy]-1-{4-[(trimethylsilyl)oxy]phenyl}propan-2-amine,19529.79237,10873.5976,0,0,15036.56115,16903.50339
N-Methylacetamide,59528342.54,70182458.65,88806550.97,186008582.8,78593655.58,95648721.05
Nonanoic acid,329809190.2,0,615757872,581366598.2,319754237.8,400349990.1
Norephedrine,316739937.5,574529277.6,580755940.6,0,0,0
Norketamine,268.1021151,234.1104987,484.4087462,451.0272331,219.2531155,285.4372842
"Norleucine, N-trimethylsilyl-",0,0,0,0,0,4321980696
Octacosanol,13147776.82,9572957.908,0,11020927.83,0,30666033.69
"Octadecanoic acid, octyl ester",0,0,0,0,0,0
Octadecanoic acid,0,0,0,0,0,0
Octanoic acid,19120706.67,0,23304657,0,20090470.97,20370434.31
Octocrylene,0,0,0,0,0,0
Oleamide,30240962.91,7906583.346,292262772.9,23341703.81,14128990.93,13782933.84
Oleic Acid,0,0,0,0,0,0
Olomoucine,0,0,0,0,0,0
Oxalic acid,617107617.1,1016849545,662086465.3,646310640.3,607369338.7,955971856.8
"Oxalic acid, di(cyclohexylmethyl) ester",0,9279.073113,0,0,0,0
"Oxymorphone, bis(trimethylsilyl) ether",164848218.7,210610370,309954587.6,1108964671,236186443.7,263800233
Palmitic Acid,127440735.1,0,144477661.1,0,89596707.71,104971518.8
Pentadecanoic acid,0,0,0,0,0,0
Pentanedioic acid,3000455.249,5096136.782,3762928.909,2424370.224,3347910.709,3434711.495
Pentanoic acid,13161456.75,11487861.81,14812331.36,19342130.25,9630844.792,11351597.88
"Phenol, 2,4-bis(1-methyl-1-phenylethyl)-",6205968.167,6003539.708,5317266.948,1553712.44,3124462.289,3942186.485
Phenol,0,48034177.01,166398255.3,192078985.6,131699062.1,165988042.6
Phenoxyethanol,12222146.61,10824958.54,15906045.83,42106887.21,8042884.917,10745994.47
Phosphoserine,0,0,0,0,0,0
Phthalazin-1-one,0,0,41274986121,0,8197903355,15945278594
Phthalimide,0,0,0,0,0,0
Phytanic acid,1668698.158,1694163.726,2737924.281,3071622.744,1377424.547,2280743.702
Picolinic acid,225979698.9,197142814.8,198483187,226609038.4,229886157.4,375922060
