NAME,DSS_73_090224,DSS_76_090224,DSS_B896_090224,DSS_T0.7_090224,DSS_T0.8_090224
,DSS_T0,DSS_T0,DSS_T0,DSS_T0,DSS_T0
"Benzene, 1,4-dimethoxy",4084020.937,3440255.007,3406049.447,4068182.318,5133250.886
"Benzene, 1-acetoxy-2,6-dimethoxy-4-(2-propenyl)",0,0,0,0,0
"Benzene, 1-ethyl-3,5-dimethyl",0,0,0,0,6759350.14
Benzeneacetic acid,0,130569.106,0,0,0
Benzenepropanoic acid,14599359.57,20065592.15,13558368.1,5590786.209,18069330.43
"Benzenesulfonamide, N-butyl",32849.52882,20794.0869,20350.76346,14491.78548,17489.61652
"Benzoic acid, 2-hydroxy-3-[(2-hydroxy-4-methoxy-6-propylbenzoyl)oxy]-4-methoxy-6-propyl-, methyl ester ",406666907.4,281331073.3,523822374.7,388715088.2,412138123.9
"Benzoic acid, methyl ester",2182328.077,12734642.39,11450757.1,10518038.38,12062482.46
Benzoic Acid,653991112.5,585106952.7,446078164.5,515605842.6,611804489.3
Benzophenone,62274.19812,49206.24593,43611.22755,13522.20247,33099.05651
Benzyl alcohol,73166516.09,46869621.79,38775069.67,26090911.35,29550391.36
Biphenyl,7039788.827,4822053.316,4520372.347,2909306.017,4345949.66
Butachlor ESA,0,0.337772901,0.208617911,0.34395544,0.654698103
Butanedioic acid,928852620.6,275182526.1,1371253116,1115412187,1348984306
Butylmethylamine,7358553.082,17476226.15,15508449.44,13260665.83,15430713.54
Butyric Acid,179592354.3,184509415.3,155367107.2,130470813.7,101200277.7
Chlorobenzilate ,19686958.06,0,151739340.9,16874013.21,0
Cholesterol,216926142.5,2415407.278,2649351.506,4256282.266,743035.6216
cis-2-Decenoic acid,0,0,0,0,0
Citramalic acid,11441.87584,48435.64941,15369.93686,16528.30859,32356.77751
Crotonic acid,10660931.65,7574218.79,6294534.574,6052583.029,1559505.488
Curcumin,209114.0763,173823.3657,140597.6259,106130.6203,160620.0488
Cyclobutylamine,52323740.57,45526155.11,35137671.58,34116780.31,42564523.85
Cyclocurcumin,0,0,0,0,0
Cycloheptanol,13728475.27,5328413.735,6407572.816,5911010.333,6435019.557
"Cyclohexanone, 3,3,5-trimethyl",1727230.311,3569090.047,4788999.207,10199997.97,8486823.072
Cyclooctylamine,7144593.23,21562016.21,22168086.2,21256029.63,39711351.08
"Cyclopentaneacetic acid, 3-oxo-2-pentyl-, methyl ester",1250693.48,817184.904,784543.6431,460111.6838,623013.5737
"Cytosine, N-(tert-butyldimethylsilyl)-",27264.38798,20610.78856,15332.27862,14475.89449,15418.24323
Desmethylverapamil,0,0,0,40148352.37,0
Diacetyl monoxime,285665.6316,201634.5478,191006.4975,179996.395,234403.2683
Dibutyldodecylamine,1600648.266,0,0,0,0
Diclofenac,42841.20235,101891.8552,0,125752.4297,113156.1279
Diethylamine,351713.3888,449764.7189,569669.5501,598999.5631,672113.6844
DL-Glyceraldehyde,38869061.82,75616386.32,78381244.13,56728062.42,81708900.6
DL-p-Hydroxyphenyllactic acid,0,128526.8949,125493.6711,302726.8967,230239.1293
"Dodecanoic acid, 1-methylethyl ester",5857.639958,6422.979089,5918.427847,4239.588051,3754.700856
Dodecanoic acid,49904914.52,14394306.01,12966997.78,9299401.891,12335144.42
"D-Streptamine, O-6-amino-6-deoxy-alpha-D-glucopyranosyl-(1-4)-O-(3-deoxy-4-C-methyl-3-(methylamino)-beta-L-arabinopyranosyl-(1-6))-2-deoxy-",0,340.5908601,14.66741153,219.1373414,248.9050526
Durapan,971815.52,266670.4073,86407.60349,150726.9978,31251.72613
"Erythrono-1,4-lactone",11447270.13,7462451.374,20388441.31,10591189.95,17207478.64
Ethanolamine,670690720.5,946680789.5,583458814.2,341822882.4,805631532.7
Formamide,3842674312,3158884567,2782679597,2550284362,2601819898
Frangulin,1043.824298,480.9251748,225.4676569,0,350.518572
Glabridin,199785.4703,156422.5498,0,0,168056.1928
Glyceric acid,3074734.82,727312.0627,0,0,0
Glycerol,214266.4814,91179.55195,64874.0336,44116.67588,44973.10529
Glycine,0,155205762.8,301486026.8,88287650.5,84877535.96
"Glycine, tert.-butyldimethylsilyl ester",839968825.2,483995377.3,591256553.8,295120744.1,390123391.1
Glycolic acid,261806694.1,383583583.7,291942394.6,238344609.1,314839737.9
Guanosine,0,316989.0325,305236.9442,2140.22032,291222.8453
Heptanedioic acid,8092.900227,0,0,0,0
