Metabolite 1,Metabolite 2,Spearman Coefficient,p-value,Values Counted
ENSMUSG00000026988-S,"Oxalic acid, di(cyclohexylmethyl) ester",nan,nan,0
ENSMUSG00000026988-S,"Oxymorphone, bis(trimethylsilyl) ether",nan,nan,0
ENSMUSG00000026988-S,Palmitic Acid,nan,nan,0
ENSMUSG00000026988-S,Pentadecanoic acid,nan,nan,0
ENSMUSG00000026988-S,Pentanedioic acid,nan,nan,0
ENSMUSG00000026988-S,Pentanoic acid,-1.0,0.0,3
ENSMUSG00000026988-S,"Phenol, 2,4-bis(1-methyl-1-phenylethyl)-",-0.5,0.6666666666666666,3
ENSMUSG00000026988-S,Phenol,0.5,0.6666666666666666,3
ENSMUSG00000026988-S,Phenoxyethanol,-1.0,0.0,3
ENSMUSG00000026988-S,Phosphoserine,nan,nan,0
ENSMUSG00000026988-S,Phthalazin-1-one,nan,nan,0
ENSMUSG00000026988-S,Phthalimide,nan,nan,0
ENSMUSG00000026988-S,Phytanic acid,-0.5,0.6666666666666666,3
ENSMUSG00000026988-S,Picolinic acid,-0.8660254037844387,0.33333333333333326,3
ENSMUSG00000026988-S,Pinosylvin,-1.0,0.0,3
ENSMUSG00000026988-S,Pipecolic acid,-0.8660254037844387,0.33333333333333326,3
ENSMUSG00000026988-S,"Piperazine, 1-(4-acetylphenylsulfonyl)-4-methyl-",nan,nan,0
ENSMUSG00000026988-S,Praziquantel,nan,nan,0
ENSMUSG00000026988-S,Pro-Ala-Lys,nan,nan,0
ENSMUSG00000026988-S,Prometryne,nan,nan,0
ENSMUSG00000026988-S,"Propanoic acid, 3-[(tert-butyldimethylsilyl)oxy]-2-methyl-",nan,nan,0
ENSMUSG00000026988-S,"Propanoic acid, dimethyl(isopropyl)silyl ester",-1.0,0.0,3
ENSMUSG00000026988-S,Propanoic acid,nan,nan,0
ENSMUSG00000026988-S,"Propionic acid, 3-iodo-, octadecyl ester",nan,nan,0
ENSMUSG00000026988-S,Propylene glycol,-1.0,0.0,3
ENSMUSG00000026988-S,Prostaglandin,-1.0,0.0,3
ENSMUSG00000026988-S,"Pyrazole[4,5-b]imidazole, 1-formyl-3-ethyl-6-beta-d-ribofuranosyl-",nan,nan,0
ENSMUSG00000026988-S,"Quinoxaline, 2,3-diphenyl- ",nan,nan,0
ENSMUSG00000026988-S,Salsoline,-0.5,0.6666666666666666,3
ENSMUSG00000026988-S,Sarcosine,nan,nan,0
ENSMUSG00000026988-S,Simetryn,nan,nan,0
ENSMUSG00000026988-S,Spiroxamine,nan,nan,0
ENSMUSG00000026988-S,Stearic acid,-1.0,0.0,3
ENSMUSG00000026988-S,Suberic acid,-1.0,0.0,3
ENSMUSG00000026988-S,Succinamide,nan,nan,0
ENSMUSG00000026988-S,Sulindac,nan,nan,0
ENSMUSG00000026988-S,Supraene,nan,nan,0
ENSMUSG00000026988-S,Synephrine,-0.8660254037844387,0.33333333333333326,3
ENSMUSG00000026988-S,Taurine,nan,nan,0
ENSMUSG00000026988-S,tert-butyl(dimethyl)silyl-2-([tert-butyl(dimethyl)silyl]oxy)hex-2-enoate,nan,nan,0
ENSMUSG00000026988-S,tert-Butylamine,nan,nan,0
ENSMUSG00000026988-S,"Tetrahydro[2,2']bifuranyl-5-one",nan,nan,0
ENSMUSG00000026988-S,Tetrahydro-solasodine triacetate,-0.5,0.6666666666666666,3
ENSMUSG00000026988-S,Theobromine,nan,nan,0
ENSMUSG00000026988-S,Thymol,nan,nan,0
ENSMUSG00000026988-S,Triethyl citrate,-1.0,0.0,3
ENSMUSG00000026988-S,Trimethylolpropane,nan,nan,0
ENSMUSG00000026988-S,Tromethamine,nan,nan,0
ENSMUSG00000026988-S,Tyr-Val,nan,nan,0
ENSMUSG00000026988-S,Uracil,-1.0,0.0,3
ENSMUSG00000026988-S,Urea,-0.5,0.6666666666666666,3
ENSMUSG00000026988-S,Vanillylmandelic acid,-1.0,0.0,3
ENSMUSG00000026988-S,"Weberine, 5-desmethoxy-",nan,nan,0
ENSMUSG00000026988-S,Xylazine,-1.0,0.0,3
ENSMUSG00000026988-S,Yangonin,-1.0,0.0,3
ENSMUSG00000027009-S,"(2,5-Dimethoxyphenyl)acetone",-1.0,0.0,3
ENSMUSG00000027009-S,"(2R)-Pyrrolidine-1,2-dicarboxylic acid, bis(tert-butyldimethylsilyl) ester",-0.5,0.6666666666666666,3
ENSMUSG00000027009-S,(4-Fluorophenyl)phenylmethanol,nan,nan,0
ENSMUSG00000027009-S,"(9H-fluoren-9-yl)methanol, O-methoxycarbonyl-",-0.5,0.6666666666666666,3
ENSMUSG00000027009-S,"3,4,5-Trimethoxyamphetamine",-1.0,0.0,3
ENSMUSG00000027009-S,Oxypeucedanin,nan,nan,0
ENSMUSG00000027009-S,"1-(1-Hydroxybutyl)-2,5-dimethoxybenzene ",-0.5,0.6666666666666666,3
ENSMUSG00000027009-S,"1-(2,4-Dimethoxyphenyl)-propan-2-one",-1.0,0.0,3
ENSMUSG00000027009-S,"1-(2,5-Dimethoxyphenyl)-1-[(trimethylsilyl)oxy]propan-2-amine",-0.5,0.6666666666666666,3
ENSMUSG00000027009-S,"1-(4-Methoxyphenyl)-4,6-dimethyl-2(1H)-pyrimidinone",0.5,0.6666666666666666,3
ENSMUSG00000027009-S,1-(Cyclohexylmethyl)-4-piperidinylamine,nan,nan,0
ENSMUSG00000027009-S,1-(tert-Butyldimethylsilyl)-4-methyl-1H-pyrazole,-1.0,0.0,3
ENSMUSG00000027009-S,"1,2,4-Butanetriol, (S)",nan,nan,0
ENSMUSG00000027009-S,"1,2-Benzenedicarboxylic acid, butyl octyl ester",nan,nan,0
ENSMUSG00000027009-S,"1,2-Bis(trimethylsiloxy)cyclohexene",nan,nan,0
ENSMUSG00000027009-S,"1,2-Cinnolinedicarboxylic acid, 1,2,3,5,6,7,8,8a-octahydro-4-trimethylsilyloxy-, diethyl ester",nan,nan,0
ENSMUSG00000027009-S,"1,2-Cyclohexanediol, (Z)",-0.5,0.6666666666666666,3
ENSMUSG00000027009-S,"1,3-Butanediamine",nan,nan,0
ENSMUSG00000027009-S,"1,3-Oxazolidine, 2,5-diphenyl-4-methyl-, trans-",-1.0,0.0,3
