,VECPAC_3307_290124,VECPAC_3319_290124,VECPAC_3329_290124,VECPAC_3336_290124,VECPAC_3337_290124,VECPAC_3354_290124,VECPAC_3371_290124,VECPAC3302_260124,VECPAC3353_260124,VECPAC3369_260124,VECPAC3673_250124,VECPAC3674_250124,VECPAC3675_250124,VECPAC3677_250124,VECPAC3678_250124,VECPAC3679_250124,VECPAC3680_250124,VECPAC3688_260124,VECPAC3697_260124
,VECPAC_CTRL,VECPAC_CTRL,VECPAC_CTRL,VECPAC_CTRL,VECPAC_CTRL,VECPAC_CTRL,VECPAC_CTRL,VECPAC_CTRL,VECPAC_CTRL,VECPAC_CTRL,VECPAC_CTRL,VECPAC_CTRL,VECPAC_CTRL,VECPAC_CTRL,VECPAC_CTRL,VECPAC_CTRL,VECPAC_CTRL,VECPAC_CTRL,VECPAC_CTRL
"Pentanedioic acid, 3-methyl-3-[(trimethylsilyl)oxy]-",171.3619999,201.0473072,246.7966281,191.3865208,235.6394903,202.9042776,266.1695857,327.9832135,333.5564442,327.5376053,241.1557212,311.0874489,285.3956239,267.5456967,291.509417,339.4158367,245.7265241,383.8408581,370.5995758
Pentanoic acid,247070.9177,235124.0995,217256.9344,208787.0618,311708.7698,104365.085,119141.4737,258836.8623,86581.64137,216408.6795,105501.1309,121954.9713,202066.9666,186629.7819,210866.0576,285634.2141,209241.5001,288439.8266,273499.0102
"Pentenoic acid, 4-[(trimethylsilyl)oxy]-",15167.60561,15058.7838,13442.94565,14154.55873,16174.90074,16512.84941,13846.65081,18711.91061,19733.50715,17713.23358,28589.98213,18446.20937,27227.8888,4748.429018,23453.57585,20979.67474,18614.6667,18688.43312,24399.86202
Pentylone,11705.22846,0,0,0,210091.9122,0,0,0,0,0,0,0,763945.4416,0,251363.1439,0,0,418.5436404,375377.1294
Petroselinic acid,0,0,0,0,2219.293314,1656.729496,0,0,0,0,0,0,6785.260153,0,0,0,0,6283.200486,0
Phenanthridin-6-ol ,0,0,0,0,782908464.2,0,788627459.5,543342275.7,0,0,0,0,0,508543148.7,0,442357726.1,0,0,0
"Phenol, 3,5-bis(1,1-dimethylethyl)-",0,0,165579.7412,498533.7086,545473.2547,509932.5343,477046.029,96837.33871,0,0,576987.3751,619905.6777,592473.7526,569720.3774,645863.3085,0,565108.9655,586496.8809,0
Phenol,456694.7528,387054.0875,309739.3297,423795.1334,452867.6775,324174.8687,283435.4552,353649.2786,211617.3763,329134.7519,269472.6366,328994.1628,387463.0296,349820.5667,343630.9057,401310.8888,337778.4357,312335.2923,348577.4793
Phenoxyacetic acid,132594.0755,133020.4533,95531.07523,131663.7349,134760.8043,92524.6455,103846.1615,86716.40358,93426.11938,92399.95047,80718.11516,81548.25738,81800.85613,103451.3756,85279.21385,88677.80655,85904.83747,87933.91242,105623.4594
phenoxyethanol,1060274.091,848772.9498,656667.4405,866078.552,808124.3235,746249.0671,832319.7493,546491.8323,502531.4775,640650.8185,1058178.388,665483.8064,666963.1663,680858.5698,678504.8269,796497.5264,709859.9713,594761.4976,659800.8106
Phenylalanine,566702768.8,640208713.5,331187002.1,511023907.2,725350503.4,409241398.1,404516035.5,686902496.6,621367236.3,501693827.1,467300435,511232318.5,584153474.6,640160636.2,544484474.8,582410130.3,468800986.1,583755452.7,738283393
Phenylpropanolamine,213822369.3,0,27939282.39,0,777211.0279,31927258.75,0,0,0,0,167375496.2,31302015.01,31773349.1,0,0,0,131143225.7,220472.9492,2211813.354
Phlorizin,19487.89228,18094.97537,19525.75019,0,17245.26047,17419.95488,18501.80502,0,14956.25572,22650.91181,0,15607.71978,23216.53502,24494.94497,22747.67773,21609.08173,19438.73668,0,20301.18438
Phloroglucinol,75275.31869,82599.17743,70821.85298,77369.15748,83977.99387,0,8022.422237,61350.91738,60910.45899,68299.99668,53163.46712,70995.04009,68820.31317,70724.36026,69248.68847,89247.44446,69681.89606,67389.06761,74572.63121
Phosalone,138386.9109,227148.902,128141.1562,146581.3164,201673.0044,303627.524,168323.5713,203137.9078,219950.2131,272423.2708,268060.5416,215796.183,336458.0251,402154.8836,0,345003.2392,228455.8857,294331.1808,234582.7962
Phthalazin-1-one,7511687874,8734445425,0,16503984842,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Picolinic acid,1715754.976,1748086.964,1274137.041,1620656.894,1796017.98,1585549.712,1564128.62,1585760.597,1638494.854,1516951.704,1620736.911,1568940.249,2430674.984,662783.2909,1847339.602,1860230.385,1689728.072,1888578.134,1998214.532
Pimelic acid,8905.140911,10691.1069,7720.116306,9772.745869,13459.66119,16269.58957,8094.873282,5657.469475,8243.638775,15046.67156,13757.14676,0,12086.09812,12169.57811,6057.057965,10549.88434,6253.896712,0,0
Pipecolic acid,57350671.83,51382398.6,6998484.319,36584355.78,48128934.93,32668400.8,31439885.25,4478823.974,0,3048728.492,33545190.93,6871320.781,24582744.81,23554574.98,19056600.53,11604531.93,9128969.019,1072799.547,4127622.913
"Piperidine, 1-(1-methylpentyl)-",0,0,0,0,1668711.268,556173.0072,1105363.289,0,0,0,0,0,0,0,0,0,0,0,0
"Pregn-16-en-20-one, 3,18-bis(acetyloxy)-14,15-epoxy-, (3beta,5alpha,14beta,15beta)-",7281400.585,1754057.957,1741466.04,653433.4274,0,4137182.568,326770.7516,1730600.721,3785016.23,0,8672072.861,5917152.088,8467263.522,4347782.091,5014023.567,18515.93343,2744144.394,2276168.868,4120438.024
"Propanetriol, 2-methyl-",2542.786061,4305.526468,4476.239792,2819.002172,3298.002985,4744.829824,5731.495842,4492.465672,4040.20787,3209.783477,3613.143175,5155.63728,3847.219131,4658.593103,5153.230621,5342.209517,4167.699914,3874.858652,5498.980114
"Propanoic acid, 2-methyl-",1016415.509,977613.7649,0,903601.2479,1006525.262,752932.2575,867965.7101,768040.9715,822657.4882,885787.4276,743319.887,672329.2214,870494.4187,764367.8255,732812.5138,739438.5869,737145.7993,748014.17,995470.2751
"Propanoic acid, 2-oxo-",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1407081.722
"Propiophenone, 3',4'-dimethoxy-",0,0,0,99104.71728,0,0,518655.4829,0,0,40168.39253,0,304721.3722,0,0,191930.4897,56702.47716,0,0,623924.8448
Propylamine,3152.842651,3178.411657,2906.357734,2976.170941,3022.065225,3149.364467,2757.856948,2557.401044,2467.457684,2940.78831,2868.141527,2860.803797,0,2992.680309,2865.148649,2610.265869,2923.820374,2486.853383,3369.826787
"Pyrazine, 3,6-dihydro-3,6-dimethyl-",0,0,0,7911022.337,8006092.774,0,0,0,0,8372379.999,0,0,0,0,0,0,0,0,0
"Pyrazine, 3,6-dimethyl-2,5-bis(trimethylsilyloxy)-",506153.2564,313433.4436,1372883.655,300693.4708,927984.2431,0,0,187975.7318,0,692783.5885,1689559.125,763960.8904,253253.5583,974441.5528,341620.808,318892.276,249560.2783,815252.7184,284837.428
"Pyrimidine, 5-methyl-2,4-bis[(trimethylsilyl)oxy]-",16465.29216,19521.79934,7151.890212,19859.08936,28899.52593,13835.70034,17219.62578,16658.90221,20590.93726,15411.23496,15579.41981,14667.95754,22219.61149,15003.00257,19903.51383,40017.46184,15882.87591,49288.47989,24615.61559
Pyroglutamic acid,39298869.6,39413377.98,14561448.23,0,0,88251063.9,80373735.53,0,0,0,99066727.29,0,0,28307436.81,30894869.69,0,36001553.73,22735765.07,0
Pyrrole-2-carboxylic acid,255244817.5,234732624.7,247193697.7,253494308,249679152.3,223761663.1,289699229.4,206665608.9,264783539.7,305410114,271844783.1,213450436.2,344101251,301798275.7,305451371.8,310046312.4,260800483.7,266937890,323381081.5
"Pyrrolo[1,2-a]pyrazine-1,4-dione, hexahydro-3-(2-methylpropyl)",0,0,0,0,0,69258.37891,0,78077.34325,0,0,0,0,0,0,0,0,0,0,0
"Pyrrolo[1,2-a]pyrazine-3-propanamide, 2,3,6,7,8,8a-hexahydro-1,4-dioxo-",0,0,0,234950.6673,0,0,682338.2972,0,0,0,0,0,0,0,0,0,0,0,0
Quazodine,0,0,126349696.4,0,0,0,0,84085176.78,0,0,0,0,0,0,422849970.4,313262157.3,260475781.1,0,0
"Quinolin-4-one, 1-[2-(3,4-dimethoxyphenyl)ethyl]-octahydro-",5942075.827,437256.085,826249.1997,0,754902.2521,2831769.107,1328522.128,2144637.223,1626203.845,3204287.006,6340429.213,3781844.353,6179241.857,3261584.848,3479929.571,3822095.079,2724366.935,2708197.425,1373932.462
"Quinoline, 2,4-dimethyl-",0,0,0,0,0,20790.67181,0,0,0,0,0,0,0,0,19904.17529,0,0,0,0
Ribitol,0,0,0,0,0,0,4687.040326,5225.614686,7053.985945,2400.215116,10867.67528,7897.583343,9180.859978,0,9062.724308,10977.02951,7837.159148,1291.378957,6161.890182
"Ribonic acid, 2,3,4,5-tetrakis-",3498146.234,26095562.52,40326139.65,4021448.386,6546547.235,76108535.19,22431949.31,0,18955709.57,14400210.83,21639319.92,52342526.5,20212765.68,58858981.9,21828886.53,42721510.43,11730916.7,37058032.82,77418663.19
S-Methyl-L-cysteine,85082.65699,88879.9188,81466.55207,91412.6298,85434.05288,81584.27333,43829.55837,68908.87132,0,79616.65996,74698.05951,0,85804.78093,85374.27079,84233.21193,93923.68551,0,78988.73191,87758.91882
