Name,Tissue,"BiBC, Feces-Cortex, via Plasma","BiBC, Feces-Cortex, via Plasma (%ile)","BiBC, Feces-Cortex, via Plexus","BiBC, Feces-Cortex, via Plexus (%ile)","BiBC, Feces-Cortex, via Plasma + Plexus","BiBC, Feces-Cortex, via Plasma + Plexus (%ile)","BiBC, Feces-Striatum, via Plasma","BiBC, Feces-Striatum, via Plasma (%ile)","BiBC, Feces-Striatum, via Plexus","BiBC, Feces-Striatum, via Plexus (%ile)","BiBC, Feces-Striatum, via Plasma + Plexus","BiBC, Feces-Striatum, via Plasma + Plexus (%ile)","BiBC, Plasma-Plexus","BiBC, Plasma-Plexus (%ile)","BiBC, Plasma - Cortex","BiBC Percentile, Plasma - Cortex","BiBC, Plasma - Striatum","BiBC Percentile, Plasma - Striatum","BiBC, Choroid Plexus - Cortex","BiBC Percentile, Choroid Plexus - Cortex","BiBC, Choroid Plexus - Striatum","BiBC Percentile, Choroid Plexus - Striatum","BiBC, Choroid Plexus - Remaining Brain","BiBC Percentile, Choroid Plexus - Remaining Brain","BiBC, Choroid Plexus - Other Transcriptomics","BiBC Percentile, Choroid Plexus - Other Transcriptomics"
"N-isobutyl-2-(trimethylsilyloxy]-4,5-dihydro-1H-imidazole-1-carboxamide",Plasma,0.0,0.0%,,,0.0,0.0%,175.0,58.8%,,,2.2,19.3%,366.0,47.8%,0.0,8.8%,262.2,51.4%,,,,,,,,
N-Isobutyrylglycine,Plasma,128.1,55.9%,,,552.5,84.5%,149.3,56.6%,,,508.8,83.9%,0.0,0.0%,0.0,8.8%,0.0,9.0%,,,,,,,,
N-Isovaleroylglycine,Plasma,1764.7,96.8%,,,229.1,66.9%,1598.6,96.5%,,,345.4,75.3%,1163.4,77.8%,864.5,79.1%,1090.4,83.3%,,,,,,,,
N-Methyl-N-(tetrahydro-2-furanylmethyl)-4-piperidinamine,Plasma,682.1,86.7%,,,251.2,69.3%,1479.2,95.5%,,,409.8,78.7%,2831.9,94.5%,1529.5,89.6%,2748.6,96.1%,,,,,,,,
n-Pentadecanol,Plasma,1515.1,95.5%,,,346.2,75.7%,248.1,68.3%,,,108.4,49.6%,367.0,49.9%,197.2,49.0%,0.3,19.0%,,,,,,,,
N-Valerylglycine,Plasma,334.7,74.5%,,,59.1,43.1%,57.1,45.2%,,,15.7,29.5%,183.4,38.2%,460.1,65.9%,104.3,39.7%,,,,,,,,
"N,9-bis(Trimethylsilyl)-6-[(trimethylsilyl)oxy]-9H-purin-2-amine",Plasma,219.0,65.9%,,,88.2,48.2%,42.2,42.1%,,,26.3,34.2%,24.2,24.0%,100.7,41.3%,9.2,24.8%,,,,,,,,
"N,N-Diethyl-2-aminoethanol",Plasma,1065.1,92.3%,,,453.7,80.9%,51.3,44.0%,,,17.9,31.0%,1965.2,89.0%,4200.2,98.5%,828.8,78.4%,,,,,,,,
"N,N-Dimethyl-2-cyclohexyloxyethylamine",Plasma,85.4,51.2%,,,60.2,43.5%,95.0,50.1%,,,64.9,42.5%,1849.5,88.4%,1455.7,89.2%,1310.8,86.9%,,,,,,,,
"N,O-Bis(trimethylsilyl)carbamate",Plasma,1974.7,97.2%,,,156.9,57.6%,1590.3,96.4%,,,209.7,61.3%,1035.5,75.0%,909.2,80.3%,492.5,65.6%,,,,,,,,
