ID,101,100,102,896,897,T0.5,T0.6,T0.7,T0.8,UNK12
ENSMUSG00000022075-S,,,,7.6363677090309725,7.1676991461169735,7.446235415837275,7.549360665829714,7.379141389391469,7.153090286330054,7.283117483989152
ENSMUSG00000022103-S,,,,6.718589827826161,6.459277020539836,7.0729370329640116,3.0940598752121073,6.816267417077142,7.286490091411471,5.109085531943126
ENSMUSG00000022131-S,,,,4.481395701641587,4.382428162223967,3.5902937030312514,4.423772008352842,4.293934962094727,4.379939189629966,2.5676535256117945
ENSMUSG00000022185-S,,,,8.233190111500102,8.200263044670361,8.40966192442613,7.1174375539272745,8.333770183365449,8.228974545015495,8.246058716528168
ENSMUSG00000022194-S,,,,5.144743080073491,3.732502121177352,5.139048664821464,4.961430168977806,3.952227049760956,4.879619554606472,3.440538753915217
ENSMUSG00000022195-S,,,,5.632328685628324,5.412923277986215,5.1835723560897895,6.372456505030194,4.95382015242631,5.811289959023757,5.149710899083527
ENSMUSG00000022257-S,,,,6.828004090734416,7.099707098668402,7.036989244723773,7.193714313599012,6.96698975467689,6.9767749665845695,7.236728910530563
ENSMUSG00000022307-S,,,,6.915605422251947,6.634261692806636,6.949454690443953,6.036055601214968,6.60260206839698,7.090610897133725,7.198513263243358
ENSMUSG00000022339-S,,,,5.795173714325238,5.96487750603751,5.81306617174954,5.71961349329045,5.539313296677603,5.34487053258863,5.886443830152926
ENSMUSG00000022365-S,,,,5.632328685628324,6.187090248533806,6.463540120114827,6.806457705655814,6.001947425956616,6.214319396121361,6.227407267635092
ENSMUSG00000022436-S,,,,5.2383249933398455,4.093758292074743,4.458408836651791,4.494407762074647,4.133174301385899,4.318955043669765,4.372518696933413
ENSMUSG00000022474-S,,,,7.491836270832109,7.148597608011967,7.650363236938957,7.305980594349471,7.431939453582375,7.229639090569199,7.630360068064556
ENSMUSG00000022577-S,,,,7.076303311165018,7.474255857552234,7.673962219424169,6.792508879803185,7.816486338650847,7.74629723480123,7.700402627025544
ENSMUSG00000022587-S,,,,7.6363677090309725,7.620064245158223,8.006918895910616,6.44558617288255,7.796491808972272,8.203895225385033,7.7207690331482
ENSMUSG00000022619-S,,,,8.562099164698283,8.57406732947423,8.666509580857547,8.71777103109791,8.544243751202108,8.686717070042196,8.763886511891268
ENSMUSG00000022751-S,,,,4.231221059285832,3.6260414530824385,3.1261630962833884,4.494407762074647,4.505782068917277,2.9807782637889133,4.623897973492522
ENSMUSG00000022752-S,,,,8.602257975144772,8.879393912090674,8.646768254960731,9.399167166678334,8.816595786981376,8.40066628232266,8.754039051250095
ENSMUSG00000022774-S,,,,5.326204625707964,5.8978231981531675,5.895677216583496,5.805464973333747,6.135281895697043,6.163191151692783,6.3888415132686776
ENSMUSG00000022840-S,,,,9.782308774096528,9.548686678449494,9.4807294268482,10.475438480179708,9.650230281299182,9.1780279566474,9.531901158166978
ENSMUSG00000022844-S,,,,2.1878468093344487,2.9295728265851197,3.298004348180618,4.561745944895255,2.625509064456788,2.1528517044067006,1.9844312973810097
ENSMUSG00000022864-S,,,,4.626925670761378,5.0091294353646045,5.139048664821464,3.0940598752121073,4.045535688217926,4.600962596990739,4.565039174478663
ENSMUSG00000022865-S,,,,4.402727738483788,4.24530123470215,4.529124503478835,3.683352025606547,4.570006841743199,3.6091572619433543,4.150292392721807
ENSMUSG00000022956-S,,,,8.941817786290859,8.885175597461442,8.921084727582556,8.986374294177066,8.759213455441015,8.797041874848823,9.069355022508736
ENSMUSG00000023055-S,,,,6.685741501760474,6.942231904437509,6.4269704642035235,6.77842387071095,7.351999631188483,6.946854961041576,6.8982405074514626
ENSMUSG00000023206-S,,,,2.1878468093344487,3.2494373180102527,2.437699225703303,4.007008348682081,2.0365428043664457,1.4454776237320806,0.0
ENSMUSG00000023249-S,,,,1.7531052066154809,3.3861897080618717,3.1261630962833884,2.6746796934933665,3.5036083467238193,2.9807782637889133,3.788054490215815
ENSMUSG00000023411-S,,,,2.1878468093344487,2.517968120511531,1.6820721526231242,2.408161705255035,2.0365428043664457,2.1528517044067006,2.305315480701963
ENSMUSG00000023800-S,,,,6.241863885677287,6.346455629505572,6.499205672894658,7.490096606412423,6.440270188844614,5.997943499259186,6.246262716202219
ENSMUSG00000023919-S,,,,2.792247919928092,3.0983517460910273,3.1261630962833884,3.0940598752121073,2.0365428043664457,3.1302528173062325,0.9896395548137256
ENSMUSG00000023921-S,,,,5.561669687029291,5.8978231981531675,5.94823502322893,6.498099107407419,5.802524540324048,5.917951457070484,5.862202199534592
ENSMUSG00000023972-S,,,,3.5445780000758984,3.0983517460910273,3.1261630962833884,3.799494191201072,3.2131345784895036,1.8420916757217696,2.305315480701963
ENSMUSG00000024030-S,,,,6.148518825008268,6.29526519923641,5.784443417320143,6.735324485973886,6.0250432611142175,6.09207336471098,6.438873796202065
ENSMUSG00000024052-S,,,,5.913387981082212,6.363123274206608,6.141185114655968,5.462044292425836,6.237691695986564,6.279788357668961,6.371770933080065
ENSMUSG00000024077-S,,,,7.7755552862918655,7.789944878458437,7.380819353620419,8.199389334861717,7.769393940312822,7.072251126787723,7.463136961238302
ENSMUSG00000024122-S,,,,8.553021115822684,8.366546419545658,8.381271319923783,8.904439774314918,8.352150648702244,8.344400630865401,8.522292145354978
ENSMUSG00000024151-S,,,,5.597431727078145,6.02895316096172,5.841132086649372,5.148275381397598,5.50686770305853,5.433843413489333,5.812461618212615
ENSMUSG00000024220-S,,,,7.64493767788677,7.879560708218704,7.994476721035894,7.400973708438171,7.816486338650847,7.956094522844994,7.973639746932922
