node1,node2,layer1,layer2
"Hexadecanoic acid, 4-hydroxybutyl ester","2-Butenoic acid, 2-methyl-, 2-methyl-2-propenyl ester",1,1
"Hexadecanoic acid, 4-hydroxybutyl ester",3-Undecene,1,1
"Hexadecanoic acid, 4-hydroxybutyl ester",Butyl Succinate,1,1
12-Oxooctadecanoate,5-Methyluridine,1,1
5-Methyluridine,Hydracrylic acid,1,1
13-Docosenamide,Benzoic Acid,1,1
Benzoic Acid,Arachidic acid,1,2
Benzoic Acid,"Propane, 2-methyl",1,1
Benzoic Acid,Pyridoxic acid,1,1
5-Aminovaleric acid,2-Piperidinone,2,1
5-Aminovaleric acid,"Dimethyl hexopyranosiduronate, alpha-D",2,2
1-Dodecanol,3-Deoxyhexitol,1,1
1-Dodecanol,Undecanoic acid,1,1
3-Deoxyhexitol,"2-Butenoic acid, 2-hydroxy-",1,1
3-Deoxyhexitol,2-Palmitoylglycerol,1,2
Undecanoic acid,Nonanoic acid,1,2
1-Hexacosene,Ethyl glycolate,1,2
Ethyl glycolate,Trisaminol,2,2
"Propanoic acid, 2-oxo",2-Ethylacetoacetate,2,1
"Propanoic acid, 2-oxo",Butyl Succinate,2,1
"Propanoic acid, 2-oxo",L-Rhamnose,2,1
"Propanoic acid, 2-oxo",Syringaldehyde,2,1
1-Hexanol,Cyclo(L-prolyl-L-valine),1,2
1-Hexanol,"D-Erythro-Pentitol, 2-deoxy-",1,1
Cyclo(L-prolyl-L-valine),Cyclohexanecarboxylic acid,2,1
1-Methyl-4-hydroxy-1H-imidazol-2-amine,d-Erythrotetrofuranose,2,2
1-Methyl-4-hydroxy-1H-imidazol-2-amine,"Dimethyl hexopyranosiduronate, alpha-D",2,2
1-Methyl-4-hydroxy-1H-imidazol-2-amine,"Inosose-2, myo",2,1
1-Methyl-4-hydroxy-1H-imidazol-2-amine,Ribitol,2,3
d-Erythrotetrofuranose,"2,3,4,5-Tetrahydroxypentanoic acid-1,4-lactone",2,1
d-Erythrotetrofuranose,"2,5-Cyclohexadiene-1,4-dione, 2,6-bis(1,1-dimethylethyl)",2,1
d-Erythrotetrofuranose,4-Hydroxyphenyllactic acid,2,3
d-Erythrotetrofuranose,Glycerol,2,3
d-Erythrotetrofuranose,"Hexadecanoic acid, ethyl ester",2,2
d-Erythrotetrofuranose,Tricine,2,1
"Dimethyl hexopyranosiduronate, alpha-D",Cholesterol,2,1
"Dimethyl hexopyranosiduronate, alpha-D",Ser-Leu,2,3
"Inosose-2, myo",Cyclohexanecarboxylic acid,1,1
1-Monopalmitin,Pipecolic acid,1,1
Pentadecanoic acid,Arachidic acid,1,2
Pentadecanoic acid,Cyclohexanecarboxylic acid,1,1
Pentadecanoic acid,"Hexadecanoic acid, ethyl ester",1,2
Pentadecanoic acid,"Hexadecanoic acid, methyl ester",1,2
Pentadecanoic acid,Methyl stearate,1,2
Pipecolic acid,1-Octanol,1,1
"2-Furanacetaldehyde, tetrahydro-alpha",Dehydroabietic acid,1,2
"2-Furanacetaldehyde, tetrahydro-alpha",Oxalic acid,1,2
"2-Furanacetaldehyde, tetrahydro-alpha",Serine,1,1
Isopropyl palmitate,"7,9-Di-tert-butyl-1-oxaspiro(4,5)deca-6,9-diene-2,8-dione",2,2
1-Octanol,Tetrahydrolinalool,1,2
3-Undecene,"2,5-Cyclohexadiene-1,4-dione, 2,6-bis(1,1-dimethylethyl)",1,1
3-Undecene,Menthol,1,1
3-Undecene,Tetrahydrogeranyl formate,1,1
3-Undecene,Valylvaline,1,2
Sebacic acid,2-tert-Butyl-4-ethylphenol ,1,2
Sebacic acid,Arachidic acid,1,2
Sebacic acid,Heptadecanoic acid,1,2
Sebacic acid,"Hexadecanoic acid, methyl ester",1,2
Sebacic acid,Nonadecanoic acid,1,2
8-Hydroxy-5-(hydroxymethyl)quinoline,2-Ethylacetoacetate,1,1
alpha-D-Xylopyranose,"2,5-Dimethoxymandelic acid",3,2
alpha-Ketoisovaleric acid,3-O-methyl-beta-D-Glucopyranose,2,1
beta-Alanine,L-Glutamic acid,1,1
beta-Alanine,Thymidine,1,1
"Butanoic acid, 3,4-dihydroxy-",Ketamine,2,1
l-Leucyl-l-valine,"2,5-Dimethoxymandelic acid",1,2
1-Tetradecanol,"2-Butenoic acid, 2-hydroxy-",1,1
"2-Butenoic acid, 2-hydroxy-","2',2,3,6'-Tetramethoxychalcone",1,1
"2-Butenoic acid, 2-hydroxy-",Butyl Succinate,1,1
