Metabolite 1,Metabolite 2,Sign
"Cyclohexene, 3-butyl-3-methyl-1-trimethylsilyloxy-",Metanephrine,1.0
"Cyclohexene, 3-butyl-3-methyl-1-trimethylsilyloxy-",Nonanoic acid,1.0
"Cyclohexene, 3-butyl-3-methyl-1-trimethylsilyloxy-","O-Methyl-N,N'-diisopropylisourea ",-1.0
"Cyclohexene, 3-butyl-3-methyl-1-trimethylsilyloxy-",Petroselinic acid,1.0
"Cyclohexene, 3-butyl-3-methyl-1-trimethylsilyloxy-",Phenanthridin-6-ol ,1.0
"Cyclohexene, 3-butyl-3-methyl-1-trimethylsilyloxy-",Phenol,1.0
"Cyclohexene, 3-butyl-3-methyl-1-trimethylsilyloxy-",Quazodine,-1.0
"Cyclohexene, 3-butyl-3-methyl-1-trimethylsilyloxy-",Sertraline carbamoyl glucuronide,1.0
"Cyclohexene, 3-butyl-3-methyl-1-trimethylsilyloxy-","Tacrine, N-trimethylsilyl-",-1.0
"Cyclohexene, 3-butyl-3-methyl-1-trimethylsilyloxy-","Trimethylsilyl (5-benzyl-3,6-dioxopiperazin-2-yl)acetate",-1.0
"Cyclohexene, 3,3-dimethyl-1-(trimethylsilyloxy)-",Docosyl octyl ether,-1.0
"Cyclohexene, 3,3-dimethyl-1-(trimethylsilyloxy)-",L-Lysine,1.0
"Cyclohexene, 3,3-dimethyl-1-(trimethylsilyloxy)-",N-Isovaleroylglycine,-1.0
"Cyclohexene, 3,3-dimethyl-1-(trimethylsilyloxy)-",Nitrosothymol,-1.0
"Cyclohexene, 3,3-dimethyl-1-(trimethylsilyloxy)-",S-Methyl-L-cysteine,1.0
"Cyclohexene, 3,3-dimethyl-1-(trimethylsilyloxy)-",Salsoline,-1.0
"Cyclopentaneacetic acid, 3-oxo-2-pentyl-",Dodecylcyclohexane,1.0
"Cyclopentaneacetic acid, 3-oxo-2-pentyl-","Pentanedioic acid, 2-[(trimethylsilyl)oxy]-",-1.0
"Cyclopentaneacetic acid, 3-oxo-2-pentyl-",Supraene,1.0
"Cyclopentaneacetic acid, 3-oxo-2-pentyl-",Tricine,1.0
"Cyclopentanone, 2,2,4-trimethyl-","Dodecanoic acid, 1-methylethyl ester",1.0
"Cyclopentanone, 2,2,4-trimethyl-",Isopropyl palmitate,1.0
"Cyclopentanone, 2,2,4-trimethyl-","N-(Trifluoroacetyl)-N,O,O'-tris(trimethylsilyl)normetanephrine",1.0
"Cyclopentanone, 2,2,4-trimethyl-",Quazodine,-1.0
D-(-)-Citramalic acid,Galactopyranose,-1.0
D-(-)-Citramalic acid,"Glycine, N-(N-DL-leucylglycyl)-",1.0
D-(-)-Citramalic acid,Hexanoylglycine,1.0
D-(-)-Citramalic acid,Isofucosterol,1.0
D-(-)-Citramalic acid,"Stigmast-5-ene, 3beta-",1.0
D-(-)-Citramalic acid,Succinic anhydride,1.0
D-(-)-Citramalic acid,Urea,1.0
"D-(-)-Fructofuranose, pentakis","Glycine, N-[4-[(trimethylsilyl)oxy]benzoyl]-",-1.0
"D-(-)-Fructofuranose, pentakis",L-Hydroxyproline,-1.0
"D-(-)-Lyxose, tetrakis",Hydantoic acid,-1.0
"D-(-)-Lyxose, tetrakis",L-Norleucine,1.0
"D-(-)-Lyxose, tetrakis",L-Threitol,1.0
"D-(-)-Lyxose, tetrakis",Methyl alpha-Lyxofuranoside,1.0
"D-(-)-Lyxose, tetrakis",Trimethylsilyl oct-2-enoate ,1.0
"D-(-)-Ribofuranose, tetrakis",N-Acetyltyrosine,1.0
"D-(+)-Ribono-1,4-lactone (R,S,R)-",Deoxycholic Acid,1.0
"D-(+)-Ribono-1,4-lactone (R,S,R)-",DL-Glyceraldehyde,1.0
"D-(+)-Ribono-1,4-lactone (R,S,R)-",Isofucosterol,1.0
"D-(+)-Ribono-1,4-lactone (R,S,R)-",Methyl aminoacetate,1.0
"D-(+)-Ribono-1,4-lactone (R,S,R)-","Pentanedioic acid, 3-methyl-3-[(trimethylsilyl)oxy]-",1.0
"D-(+)-Talofuranose, pentakis",D-Leucylglycylglycine,-1.0
"D-(+)-Talofuranose, pentakis",Deoxycholic Acid,1.0
"D-(+)-Talofuranose, pentakis",Eicosapentaenoic acid,1.0
"D-(+)-Talofuranose, pentakis",Hydantoic acid,1.0
D-Arabinose,Deoxycholic Acid,1.0
D-Arabinose,DL-Phenylalanine,1.0
D-Arabinose,"Morpholine, 4-[2,3,4,6-tetrakis-O-(trimethylsilyl)-alpha-d-mannopyranosyl]-",1.0
D-Arabinose,"N-(Trifluoroacetyl)-N,O,O'-tris(trimethylsilyl)normetanephrine",1.0
D-Arabinose,Palmitelaidic acid,1.0
D-Arabinose,Phlorizin,-1.0
D-Arabinose,Xylazine,1.0
"D-Erythro-Pentofuranose, 2-deoxy-1,3-bis-O-",D-Fucitol,1.0
"D-Erythro-Pentofuranose, 2-deoxy-1,3-bis-O-",Deoxycholic Acid,1.0
"D-Erythro-Pentofuranose, 2-deoxy-1,3-bis-O-",Phlorizin,1.0
"D-Erythro-Pentofuranose, 2-deoxy-1,3-bis-O-",Sinomenin,1.0
"D-Erythro-Pentofuranose, 2-deoxy-1,3-bis-O-",Supraene,1.0
D-Fructose,D-Leucylglycylglycine,-1.0
D-Fructose,D-Ornithine,1.0
D-Fructose,Deoxycholic Acid,1.0
D-Fructose,Dopamine,-1.0
D-Fructose,Hydantoic acid,1.0
D-Fructose,"Pentanedioic acid, 2,4-bis[(trimethylsilyl)oxy]",1.0
D-Fructose,Quazodine,-1.0
D-Fructose,Sinomenin,1.0
D-Fructose,Xylose,1.0
D-Fucitol,Delorazepam,1.0
D-Fucitol,Deoxycholic Acid,1.0
D-Fucitol,Docosyl octyl ether,-1.0
D-Fucitol,Dodecanoic acid,1.0
D-Fucitol,Glycolic acid,1.0
D-Fucitol,Hydracrylic acid,1.0
D-Fucitol,Indole-3-lactic acid,1.0
D-Fucitol,Isofucosterol,-1.0
D-Fucitol,Isonicotinic Acid,-1.0
D-Fucitol,L-5-Oxoproline,1.0
D-Fucitol,L-Glutamine,1.0
D-Fucitol,L-Tryptophan,1.0
D-Fucitol,n-Butylamine,1.0
D-Fucitol,p-Hydroxydiisopropylbenzene,1.0
D-Fucitol,Pentanoic acid,1.0
D-Fucitol,"Pentenoic acid, 4-[(trimethylsilyl)oxy]-",1.0
D-Fucitol,Phenol,1.0
D-Fucitol,Phenylalanine,1.0
D-Fucitol,"Propanetriol, 2-methyl-",-1.0
D-Fucitol,"Quinolin-4-one, 1-[2-(3,4-dimethoxyphenyl)ethyl]-octahydro-",1.0
D-Fucitol,Salsoline,-1.0
D-Fucitol,Sinomenin,1.0
D-Fucitol,Tris(trimethylsilyl)carbamate,1.0
"D-Isoleucine, N-acetyl-",Hydantoic acid,1.0
"D-Isoleucine, N-acetyl-",Naphthofluorescein,-1.0
"D-Isoleucine, N-acetyl-",S-Methyl-L-cysteine,1.0
"D-Isoleucine, N-acetyl-",Sinomenin,-1.0
D-Leucylglycylglycine,Hippuric acid,-1.0
D-Leucylglycylglycine,Hydracrylic acid,-1.0
D-Leucylglycylglycine,L-Cysteine,1.0
D-Leucylglycylglycine,N-(Trimethylsilyl)hexanamide,1.0
D-Leucylglycylglycine,p-Toluic acid,-1.0
D-Leucylglycylglycine,Phlorizin,1.0
D-Leucylglycylglycine,"Propanetriol, 2-methyl-",-1.0
D-Leucylglycylglycine,"Propiophenone, 3',4'-dimethoxy-",-1.0
D-Leucylglycylglycine,"Ribonic acid, 2,3,4,5-tetrakis-",-1.0
D-Leucylglycylglycine,Tartronic acid,-1.0
D-Mannose,D-Threitol,-1.0
D-Mannose,"Pentanedioic acid, 2,4-bis[(trimethylsilyl)oxy]",1.0
D-Mannose,Phlorizin,1.0
D-Mannose,"Pyrazine, 3,6-dihydro-3,6-dimethyl-",-1.0
D-Ornithine,Dodecanoic acid,1.0
D-Ornithine,Dopamine,1.0
D-Ornithine,Heptanoic acid,1.0
D-Ornithine,L-Lysine,1.0
D-Ornithine,Levulinic acid,1.0
D-Ornithine,n-Butylamine,1.0
D-Ornithine,Neostigmine ,1.0
D-Ornithine,Nonanal,1.0
D-Ornithine,p-Hydroxydiisopropylbenzene,1.0
D-Ornithine,Pantolactone,1.0
D-Ornithine,"Phenol, 3,5-bis(1,1-dimethylethyl)-",1.0
D-Ornithine,Phlorizin,1.0
D-Ornithine,Phloroglucinol,1.0
D-Ornithine,Picolinic acid,1.0
D-Ornithine,Ser-Leu,1.0
D-Ornithine,Trimethylsilyl 3-((trimethylsilyl)thio)propanoate,1.0
D-Proline,Heptadecanoic acid,-1.0
D-Proline,Sertraline carbamoyl glucuronide,1.0
D-Proline,Thymidine,1.0
D-Proline,Tricine,-1.0
"D-Psicofuranose, pentakis",D-Ribose,-1.0
"D-Psicofuranose, pentakis",Petroselinic acid,-1.0
"D-Psicofuranose, pentakis","Propanoic acid, 2-oxo-",-1.0
D-Ribose,"Furan, 2-pentyl-",-1.0
D-Ribose,Indole-5-carboxylic acid,1.0
D-Ribose,L-Methionine,1.0
D-Ribose,L-Threitol,-1.0
D-Ribose,Metanephrine,-1.0
D-Ribose,Myristic acid,1.0
D-Ribose,Phenol,-1.0
D-Ribose,Picolinic acid,1.0
D-Ribose,"Spiro[cyclopenta[d]-1,3,2-dioxaborin-4(5H),1'-cyclopentane], 2-ethyl-6,7-dihydro-",-1.0
D-Threitol,Indole-5-carboxylic acid,1.0
D-Threitol,Methyl isovanillate,1.0
D-Threitol,"Pentenoic acid, 4-[(trimethylsilyl)oxy]-",1.0
D-Threitol,"Pregn-16-en-20-one, 3,18-bis(acetyloxy)-14,15-epoxy-, (3beta,5alpha,14beta,15beta)-",-1.0
D-Threitol,"Propiophenone, 3',4'-dimethoxy-",1.0
"D-Xylofuranose, 1,2,3,5-tetrakis-O-",Sinomenin,1.0
Decanoic acid,"Dimethyl hexopyranosiduronate, alpha-D-",-1.0
Decanoic acid,Dodecylcyclohexane,1.0
Decanoic acid,"Ethanamine, N,N-diethyl-2,2-dimethyl-2-[(3,5-dimethoxy)phenyl]-",1.0
Decanoic acid,Heptanoic acid,1.0
Decanoic acid,L-Asparagine,-1.0
Decanoic acid,N-Acetyltyrosine,-1.0
Decanoic acid,Tricine,1.0
Dehydronorketamine,"Pentanedioic acid, 2,4-bis[(trimethylsilyl)oxy]",1.0
Dehydronorketamine,Vanillylmandelic acid,-1.0
Delorazepam,Deoxycholic Acid,1.0
Delorazepam,Mirin,-1.0
Delorazepam,Naphthofluorescein,1.0
Delorazepam,Tricine,-1.0
Deoxycholic Acid,Desmosterol,1.0
Deoxycholic Acid,Dihydrouracil,1.0
Deoxycholic Acid,DL-Phenylalanine,1.0
Deoxycholic Acid,Ethyl alpha-D-glucopyranoside,1.0
Deoxycholic Acid,Glycolic acid,1.0
Deoxycholic Acid,Hydantoic acid,1.0
Deoxycholic Acid,Isopropyl palmitate,1.0
Deoxycholic Acid,Malic acid,1.0
Deoxycholic Acid,Methylmalonic monoamide,1.0
Deoxycholic Acid,p-Hydroxydiisopropylbenzene,1.0
Deoxycholic Acid,Phenylalanine,1.0
Deoxycholic Acid,Propylamine,1.0
Deoxycholic Acid,"Trimethylsilyl (5-benzyl-3,6-dioxopiperazin-2-yl)acetate",1.0
Deoxycholic Acid,Trimethylsilyl oct-2-enoate ,-1.0
Deoxycholic Acid,Uracil,1.0
Deoxycholic Acid,Uridine,1.0
Desmosterol,"Pentanedioic acid, 2-[(trimethylsilyl)oxy]-",-1.0
Desmosterol,Sinomenin,1.0
Dicyclohexylamine,Hexanoic acid,1.0
Dicyclohexylamine,Hippuric acid,1.0
Dicyclohexylamine,L-Asparagine,1.0
Dihydrouracil,Ecgonine,1.0
Dihydrouracil,"N-(Trifluoroacetyl)-N,O,O'-tris(trimethylsilyl)normetanephrine",1.0
Dihydrouracil,N-Acetyltyrosine,1.0
Dihydrouracil,Ornithine,1.0
Dihydrouracil,"Tacrine, N-trimethylsilyl-",1.0
Dimethyl fumarate,"Glycine, N-[4-[(trimethylsilyl)oxy]benzoyl]-",1.0
Dimethyl fumarate,L-Hydroxyproline,1.0
Dimethyl fumarate,N-Acetyltyrosine,1.0
Dimethyl fumarate,Petroselinic acid,1.0
Dimethyl fumarate,"Propanoic acid, 2-oxo-",1.0
Dimethyl fumarate,"Pyrazine, 3,6-dihydro-3,6-dimethyl-",1.0
"Dimethyl hexopyranosiduronate, alpha-D-",N-alpha-Acetyl-L-Lysine,-1.0
"Dimethyl hexopyranosiduronate, alpha-D-","N,N-Diethyl-2-aminoethanol",-1.0
"Dimethyl hexopyranosiduronate, alpha-D-","Propanoic acid, 2-oxo-",-1.0
Dinoseb ,"Dodecanoic acid, 1-methylethyl ester",1.0
Dinoseb ,Indole-3-lactic acid,1.0
Dinoseb ,Nonadecanoic acid,1.0
Dinoseb ,"Pentenoic acid, 4-[(trimethylsilyl)oxy]-",1.0
Dinoseb ,Tetradecanenitrile,-1.0
Diphenyl ether,Dopamine,-1.0
Diphenyl ether,"Ethanamine, N,N-diethyl-2,2-dimethyl-2-[(3,5-dimethoxy)phenyl]-",1.0
Diphenyl ether,Hydantoic acid,1.0
Diphenyl ether,L-Hydroxyproline,1.0
Diphenyl ether,Phlorizin,1.0
Diphenyl ether,Sinomenin,1.0
DL-Glyceraldehyde,Dopamine,-1.0
DL-Glyceraldehyde,N-alpha-Acetyl-L-Lysine,1.0
DL-Glyceraldehyde,"Thymine, 1,3-dimethyl-6-(trimethylsilyloxymethyl)-",1.0
DL-Glyceraldehyde,"Trimethylsilyl (5-benzyl-3,6-dioxopiperazin-2-yl)acetate",1.0
DL-Ornithine,Eicosapentaenoic acid,-1.0
DL-Ornithine,"Pentanedioic acid, 2-[(trimethylsilyl)oxy]-",-1.0
DL-Phenylalanine,"Piperidine, 1-(1-methylpentyl)-",-1.0
DL-Phenylalanine,Sinomenin,-1.0
"DL-Proline, 5-oxo-",Isofucosterol,1.0
"DL-Proline, 5-oxo-",Isonicotinic Acid,1.0
"DL-Proline, 5-oxo-",Phlorizin,1.0
"DL-Proline, 5-oxo-","Pyrazine, 3,6-dimethyl-2,5-bis(trimethylsilyloxy)-",-1.0
"DL-Proline, 5-oxo-",Salsoline,1.0
Dobutamine,L-Threonine,-1.0
Dobutamine,Methyl isovanillate,1.0
Dobutamine,Tetradecanenitrile,-1.0
Doconexent,Eicosapentaenoic acid,1.0
Doconexent,"Ethanamine, N,N-diethyl-2,2-dimethyl-2-[(3,5-dimethoxy)phenyl]-",1.0
Doconexent,Phlorizin,1.0
Doconexent,Stearic acid,1.0
Doconexent,L-Tyrosine,1.0
Docosyl octyl ether,Ethyl alpha-D-glucopyranoside,1.0
Docosyl octyl ether,Latanoprost lactone diol,-1.0
Docosyl octyl ether,N-(Trimethylsilyl)hexanamide,-1.0
Docosyl octyl ether,"Piperidine, 1-(1-methylpentyl)-",1.0
Docosyl octyl ether,Quazodine,-1.0
Docosyl octyl ether,Supraene,1.0
Docosyl octyl ether,Tricine,1.0
"Dodecanamide, N-(2-hydroxyethyl)-",Methyl isovanillate,-1.0
"Dodecanamide, N-(2-hydroxyethyl)-",Petroselinic acid,1.0
"Dodecane, 4,6-dimethyl-",Sertraline carbamoyl glucuronide,1.0
"Dodecane, 4,6-dimethyl-",Supraene,1.0
"Dodecanoic acid, 1-methylethyl ester","Ethanone, 1-(2,5-dimethoxyphenyl)-",1.0
"Dodecanoic acid, 1-methylethyl ester",Ethyl cis-2-trimethylsilyl-cyclopropane-1-carboxylate,1.0
"Dodecanoic acid, 1-methylethyl ester","Inosose-2, 1,3,4,5,6-pentakis-",1.0
"Dodecanoic acid, 1-methylethyl ester",Isofucosterol,1.0
"Dodecanoic acid, 1-methylethyl ester",L-Hydroxyproline,1.0
"Dodecanoic acid, 1-methylethyl ester",L-Methionine,1.0
"Dodecanoic acid, 1-methylethyl ester",Levulinic acid,1.0
"Dodecanoic acid, 1-methylethyl ester",Niacin,1.0
"Dodecanoic acid, 1-methylethyl ester",Nitrosothymol,1.0
"Dodecanoic acid, 1-methylethyl ester",Pantolactone,1.0
"Dodecanoic acid, 1-methylethyl ester",Pentadecanoic acid,1.0
"Dodecanoic acid, 1-methylethyl ester","Pentenoic acid, 4-[(trimethylsilyl)oxy]-",1.0
"Dodecanoic acid, 1-methylethyl ester",Phloroglucinol,1.0
"Dodecanoic acid, 1-methylethyl ester","Propanetriol, 2-methyl-",1.0
"Dodecanoic acid, 1-methylethyl ester",Supraene,1.0
"Dodecanoic acid, 1-methylethyl ester",Vanillylmandelic acid,1.0
Dodecanoic acid,Dodecylcyclohexane,1.0
Dodecanoic acid,"Ethanamine, N,N-diethyl-2,2-dimethyl-2-[(3,5-dimethoxy)phenyl]-",1.0
Dodecanoic acid,"Glycine, N-[4-[(trimethylsilyl)oxy]benzoyl]-",1.0
Dodecanoic acid,"Pentanedioic acid, 2-[(trimethylsilyl)oxy]-",1.0
Dodecanoic acid,Phlorizin,1.0
Dodecanoic acid,Stearic acid,1.0
Dodecanoic acid,Supraene,1.0
Dodecanoic acid,L-Tyrosine,1.0
Dodecylcyclohexane,"Inosose-2, 1,3,4,5,6-pentakis-",1.0
Dodecylcyclohexane,Isopropyl palmitate,1.0
Dodecylcyclohexane,Octopamine,-1.0
Dodecylcyclohexane,Pantolactone,1.0
Dodecylcyclohexane,"Pentanedioic acid, 2-[(trimethylsilyl)oxy]-",1.0
Dodecylcyclohexane,"Pentanedioic acid, 2,4-bis[(trimethylsilyl)oxy]",1.0
Dodecylcyclohexane,"Phenol, 3,5-bis(1,1-dimethylethyl)-",1.0
Dodecylcyclohexane,Propylamine,1.0
Dodecylcyclohexane,"Pyrazine, 3,6-dihydro-3,6-dimethyl-",-1.0
Dodecylcyclohexane,Valylglycine,1.0
Dopamine,"Ethanamine, N,N-diethyl-2,2-dimethyl-2-[(3,5-dimethoxy)phenyl]-",-1.0
Dopamine,"Ethanone, 1-(2,5-dimethoxyphenyl)-",-1.0
Dopamine,Fenitrothion,-1.0
Dopamine,Hydantoic acid,-1.0
Dopamine,Isofucosterol,-1.0
Dopamine,Levulinic acid,-1.0
Dopamine,Methyl aminoacetate,-1.0
Dopamine,Myristic acid,-1.0
Dopamine,"N,N-Diethyl-2-aminoethanol",-1.0
Dopamine,Niclosamide,-1.0
Dopamine,Nonanal,-1.0
Dopamine,p-Hydroxydiisopropylbenzene,-1.0
Dopamine,"Pentanedioic acid, 3-methyl-3-[(trimethylsilyl)oxy]-",-1.0
Dopamine,"Propanetriol, 2-methyl-",-1.0
Dopamine,Supraene,-1.0
Dopamine,Triethanolamine,-1.0
Dopamine,Tris(trimethylsilyl)carbamate,-1.0
Ecgonine,L-Proline,1.0
Ecgonine,N-Valerylglycine,-1.0
Ecgonine,p-Toluic acid,1.0
Ecgonine,Palmitic Acid,1.0
Eicosapentaenoic acid,Glyoxime,1.0
Eicosapentaenoic acid,"Guanidine, N,N-dimethyl-",1.0
Eicosapentaenoic acid,Hexanoic acid,1.0
Eicosapentaenoic acid,Indole-5-carboxylic acid,1.0
Eicosapentaenoic acid,L-Cysteine,-1.0
Eicosapentaenoic acid,Levulinic acid,1.0
Eicosapentaenoic acid,Myristic acid,1.0
Eicosapentaenoic acid,Niclosamide,1.0
Eicosapentaenoic acid,Nonadecanoic acid,1.0
Eicosapentaenoic acid,"Propanoic acid, 2-methyl-",1.0
Eicosapentaenoic acid,Ser-Leu,1.0
Eicosapentaenoic acid,"Stigmast-5-ene, 3beta-",1.0
Eicosapentaenoic acid,Triethanolamine,1.0
Erythritol,"Pentanedioic acid, 2-[(trimethylsilyl)oxy]-",-1.0
Erythritol,"Piperidine, 1-(1-methylpentyl)-",-1.0
Erythritol,Stearic acid,-1.0
"Erythrono-1,4-lactone, (Z)-",Phlorizin,1.0
"Erythrono-1,4-lactone, (Z)-",Sinomenin,1.0
"Ethanamine, N,N-diethyl-2,2-dimethyl-2-[(3,5-dimethoxy)phenyl]-",Glycolic acid,1.0
"Ethanamine, N,N-diethyl-2,2-dimethyl-2-[(3,5-dimethoxy)phenyl]-",Hydracrylic acid,1.0
"Ethanamine, N,N-diethyl-2,2-dimethyl-2-[(3,5-dimethoxy)phenyl]-",Ketamine ,1.0
"Ethanamine, N,N-diethyl-2,2-dimethyl-2-[(3,5-dimethoxy)phenyl]-",L-Tryptophan,-1.0
"Ethanamine, N,N-diethyl-2,2-dimethyl-2-[(3,5-dimethoxy)phenyl]-",Myristic acid,1.0
"Ethanamine, N,N-diethyl-2,2-dimethyl-2-[(3,5-dimethoxy)phenyl]-",Nonadecanoic acid,1.0
"Ethanamine, N,N-diethyl-2,2-dimethyl-2-[(3,5-dimethoxy)phenyl]-",Nonanal,1.0
"Ethanamine, N,N-diethyl-2,2-dimethyl-2-[(3,5-dimethoxy)phenyl]-",Pantolactone,1.0
"Ethanamine, N,N-diethyl-2,2-dimethyl-2-[(3,5-dimethoxy)phenyl]-","Pentenoic acid, 4-[(trimethylsilyl)oxy]-",1.0
"Ethanamine, N,N-diethyl-2,2-dimethyl-2-[(3,5-dimethoxy)phenyl]-",phenoxyethanol,1.0
"Ethanamine, N,N-diethyl-2,2-dimethyl-2-[(3,5-dimethoxy)phenyl]-",Phloroglucinol,1.0
"Ethanamine, N,N-diethyl-2,2-dimethyl-2-[(3,5-dimethoxy)phenyl]-","Propiophenone, 3',4'-dimethoxy-",-1.0
"Ethanamine, N,N-diethyl-2,2-dimethyl-2-[(3,5-dimethoxy)phenyl]-","Pyrazine, 3,6-dimethyl-2,5-bis(trimethylsilyloxy)-",-1.0
"Ethanamine, N,N-diethyl-2,2-dimethyl-2-[(3,5-dimethoxy)phenyl]-","Ribonic acid, 2,3,4,5-tetrakis-",-1.0
"Ethanamine, N,N-diethyl-2,2-dimethyl-2-[(3,5-dimethoxy)phenyl]-",Triethanolamine,1.0
"Ethanol, 2-(9-octadecenyloxy)-",Indole-3-carboxaldehyde,1.0
"Ethanol, 2-(9-octadecenyloxy)-",L-Norleucine,-1.0
"Ethanol, 2-(9-octadecenyloxy)-",Phenoxyacetic acid,1.0
"Ethanol, 2-(9-octadecenyloxy)-",Sinomenin,1.0
Ethanolamine,N-Acetyltyrosine,1.0
Ethanolamine,Sinomenin,-1.0
"Ethanone, 1-(2,5-dimethoxyphenyl)-","N,O-Bis(trimethylsilyl)carbamate",1.0
"Ethanone, 1-(2,5-dimethoxyphenyl)-",Phlorizin,1.0
"Ethanone, 1-(2,5-dimethoxyphenyl)-",Syringaldehyde,1.0
"Ethanone, 1-(2,5-dimethoxyphenyl)-","Thymine, 1,3-dimethyl-6-(trimethylsilyloxymethyl)-",1.0
"Ethanone, 1-(5-methoxy-2-methyl-3(1H)-indolyl)-",Ethyl alpha-D-glucopyranoside,1.0
"Ethanone, 1-(5-methoxy-2-methyl-3(1H)-indolyl)-",Luteolin ,1.0
"Ethanone, 1-(5-methoxy-2-methyl-3(1H)-indolyl)-","Oxalic acid, allyl octyl ester",1.0
Ethyl alpha-D-glucopyranoside,Guanabenz,1.0
Ethyl alpha-D-glucopyranoside,"L-Lysine, ethyl ester ",-1.0
Ethyl alpha-D-glucopyranoside,"Octane, 1-propoxy-",1.0
Ethyl alpha-D-glucopyranoside,Phenanthridin-6-ol ,1.0
Ethyl alpha-D-glucopyranoside,"Pyrazine, 3,6-dihydro-3,6-dimethyl-",-1.0
Ethyl cis-2-trimethylsilyl-cyclopropane-1-carboxylate,Latanoprost lactone diol,1.0
Ethyl cis-2-trimethylsilyl-cyclopropane-1-carboxylate,Sertraline carbamoyl glucuronide,1.0
Fenitrothion,L-Norleucine,1.0
Fenitrothion,Supraene,1.0
Fenitrothion,Thymidine,-1.0
"Furan, 2-pentyl-",N-Acetyl-L-glutamic acid,1.0
"Furan, 2-pentyl-",Naphthofluorescein,-1.0
"Furan, 2-pentyl-",Phenoxyacetic acid,1.0
"Furan, 2-pentyl-","Thymine, 1,3-dimethyl-6-(trimethylsilyloxymethyl)-",1.0
Galactopyranose,Thymidine,-1.0
Gln-Ala,Luteolin ,1.0
Gln-Ala,p-Toluic acid,1.0
Gln-Ala,Tartronic acid,1.0
Glucopyranose,Glucose,1.0
Glucopyranose,N-Valerylglycine,1.0
Glucopyranose,"Piperidine, 1-(1-methylpentyl)-",-1.0
Glucopyranose,Trimethylsilyl oct-2-enoate ,-1.0
Glucose,Naphthofluorescein,1.0
Glucose,Thymidine,1.0
Glyceric acid,Lactic Acid,1.0
Glyceric acid,"N-(Trifluoroacetyl)-N,O,O'-tris(trimethylsilyl)normetanephrine",1.0
Glyceric acid,N-Acetyltyrosine,1.0
Glyceric acid,Naphthofluorescein,1.0
Glyceric acid,"Propiophenone, 3',4'-dimethoxy-",-1.0
Glycine,Pentadecanoic acid,1.0
Glycine,S-Methyl-L-cysteine,1.0
Glycine,Tricine,-1.0
"Glycine, N-(1-oxobutyl)-",Supraene,-1.0
"Glycine, N-(N-DL-leucylglycyl)-","Pentanedioic acid, 2,4-bis[(trimethylsilyl)oxy]",1.0
"Glycine, N-(N-DL-leucylglycyl)-",Phlorizin,1.0
"Glycine, N-[4-[(trimethylsilyl)oxy]benzoyl]-",Heptadecanoic acid,1.0
"Glycine, N-[4-[(trimethylsilyl)oxy]benzoyl]-",Hydantoic acid,1.0
"Glycine, N-[4-[(trimethylsilyl)oxy]benzoyl]-",L-Glutamine,1.0
"Glycine, N-[4-[(trimethylsilyl)oxy]benzoyl]-",L-Ornithine,1.0
"Glycine, N-[4-[(trimethylsilyl)oxy]benzoyl]-",N-(Trimethylsilyl)hexanamide,1.0
"Glycine, N-[4-[(trimethylsilyl)oxy]benzoyl]-","N,9-bis(Trimethylsilyl)-6-[(trimethylsilyl)oxy]-9H-purin-2-amine",1.0
"Glycine, N-[4-[(trimethylsilyl)oxy]benzoyl]-",Petroselinic acid,1.0
"Glycine, N-[4-[(trimethylsilyl)oxy]benzoyl]-","Phenol, 3,5-bis(1,1-dimethylethyl)-",1.0
Glycolic acid,Hydantoic acid,1.0
Glycolic acid,L-Threonine,1.0
Glyoxime,Hydantoic acid,1.0
Glyoxime,Naphthofluorescein,-1.0
Glyoxime,Octopamine,-1.0
Glyoxime,Ribitol,1.0
Glyoxime,Supraene,1.0
Guanabenz,"L-Lysine, ethyl ester ",1.0
Guanabenz,N-Acetyltyrosine,1.0
Guanabenz,Nitrosothymol,1.0
Guanabenz,"Pentanedioic acid, 2,4-bis[(trimethylsilyl)oxy]",-1.0
"Guanidine, N,N-dimethyl-",N-Acetyltyrosine,-1.0
"Guanidine, N,N-dimethyl-",Phlorizin,1.0
"Guanidine, N,N-dimethyl-","Pyrazine, 3,6-dihydro-3,6-dimethyl-",-1.0
"Guanidine, N,N-dimethyl-",L-Tyrosine,1.0
Heptadecanoic acid,Supraene,1.0
Heptanoic acid,Phlorizin,1.0
Heptanoic acid,Ribitol,1.0
Heptanoic acid,Stearic acid,1.0
Heptanoic acid,Supraene,1.0
Heptanoic acid,Tricine,1.0
Heptanoic acid,L-Tyrosine,1.0
Hexanedioic acid,Hydantoic acid,1.0
Hexanedioic acid,Supraene,1.0
Hexanoic acid,Lactic Acid,1.0
Hexanoic acid,Phlorizin,1.0
Hexanoic acid,Supraene,1.0
Hexanoylglycine,N-Isobutyrylglycine,1.0
Hexanoylglycine,Nonanoic acid,1.0
Hippuric acid,"Pyrazine, 3,6-dihydro-3,6-dimethyl-",-1.0
Hippuric acid,Sinomenin,1.0
Hippuric acid,Supraene,1.0
Hydantoic acid,Hydracrylic acid,1.0
Hydantoic acid,Isoxaben,1.0
Hydantoic acid,L-Aspartic acid,1.0
Hydantoic acid,L-Glutamic acid,1.0
Hydantoic acid,Malic acid,1.0
Hydantoic acid,"Methyl (3,4-dimethoxyphenyl)(hydroxy)acetate",1.0
