Metabolite 1,Metabolite 2,Sign
3-Amino-5-morpholinomethyl-2-oxazolidinone,4-(Trimethylsilyoxy)-3-penten-2-one,1.0
3-Methyladenine,Propylamine,1.0
"Cholest-7-en-3-ol, (3beta,5alpha)-",Methyl aminoacetate,1.0
"1-Piperazineethanol, 4-dibenzo[b,f][1,4]thiazepin-11-yl-",Salsoline,1.0
"1,2-Benzenedicarboxylic acid",3-Hydroxyisovaleric acid,1.0
Methyl-3-methoxy-5-methyl benzoate,Niclosamide,1.0
"1-Methyl-N,N-bis(trimethylsilyl)-4-[(trimethylsilyl)oxy]-1H-imidazol-2-amine","Erythrono-1,4-lactone, (Z)-",1.0
"15-Oxo-11Z,13E-eicosadienoic acid",p-Toluic acid,1.0
L-Valine,Phenylpropanolamine,-1.0
"Benzaldehyde, 2,5-dimethyl-",Suberic acid,1.0
4-(Trimethylsilyoxy)-3-penten-2-one,9-Octadecenoic acid,1.0
2-Heptenoic acid,N-Isovaleroylglycine,1.0
1-Monoacetin,2-Pyrrolidinone,1.0
"Benzene, 3-cyclohexen-1-yl-",D-Threitol,-1.0
"(R*,S*)-2,3-Dihydroxybutanoic acid","Benzimidazole, 5-trifluoromethyl-2-methyl-",1.0
"4-Fluoroaniline, N-trimethylsilyl-",phenoxyethanol,1.0
"3-(3-Cyclohexylaminopropionylamino)-5-ethylthiophene-2-carboxylic acid, ethyl ester",N-(Trimethylsilyl)hexanamide,1.0
Cholesterol,Cyclobutanol,1.0
"2,4-Decadienal",Neostigmine ,1.0
"1,5-Anhydroglucitol",3'-Hydroxyacetophenone,1.0
Nonanoic acid,Norketamine,1.0
"1,5-Anhydroglucitol","6,7,4'-Trihydroxyisoflavone",1.0
"(9H-fluoren-9-yl)methanol, O-methoxycarbonyl-",2-Naphthol,1.0
"Benzenemethanamine, 2,3-dimethoxy-","N,N-Diethyl-2-aminoethanol",1.0
Campesterol,Cyclohexanol,1.0
D-(-)-Citramalic acid,Phloroglucinol,1.0
3-Hexenedinitrile,"3,5-Dimethylpyrazole",1.0
"1,3,5-Benzetriol",Triethanolamine,1.0
"2-Propanone, bis(1-methylethyl)hydrazone", 5-Hydroxyhexanoic acid,1.0
3-Methyladenine,Methylmalonic monoamide,1.0
L-Asparagine,L-Isoleucine,1.0
3-Amino-5-morpholinomethyl-2-oxazolidinone,Dodecanoic acid,1.0
Allylescaline ,Cholesterol,1.0
4-Methoxyphenol,Nonanal,1.0
Arachidonic acid,"D-(+)-Ribono-1,4-lactone (R,S,R)-",1.0
(pm)-Norketamine,"3-Buten-2-one, 3-trimethylsilyloxy-",1.0
"2,5-Cyclohexadiene-1,4-dione, 2,6-bis(1,1-dimethylethyl)-",Decanoic acid,1.0
Indole-5-carboxylic acid,Picolinic acid,1.0
"Glycine, N-(N-DL-leucylglycyl)-",Supraene,1.0
"Pentenoic acid, 4-[(trimethylsilyl)oxy]-",Picolinic acid,1.0
"1-Methyl-N,N-bis(trimethylsilyl)-4-[(trimethylsilyl)oxy]-1H-imidazol-2-amine",Phenoxyacetic acid,1.0
3-Indolepropionic acid,"Tacrine, N-trimethylsilyl-",1.0
"3-Methyl-2-butenoic acid, tridec-2-ynyl ester",Myristic acid,1.0
3-Methyladenine,"Pyrimidine, 5-methyl-2,4-bis[(trimethylsilyl)oxy]-",1.0
3-Methylvaleric acid,Benzoic Acid,1.0
"6,7,4'-Trihydroxyisoflavone",Methyl aminoacetate,1.0
"D-Erythro-Pentofuranose, 2-deoxy-1,3-bis-O-",Doconexent,1.0
"2,4-Decadienal",Pentadecanoic acid,1.0
"3,5-Dimethylpyrazole",Allylescaline ,1.0
"1,3,5-Trimethyl-1H-pyrazol-4-amine","Cyclohexanone, 3,3,5-trimethyl-",1.0
Bis(trimethylsilyl)histidine,Pipecolic acid,1.0
5-Henicosylresorcinol,Phenol,1.0
Dinoseb ,"Spiro[cyclopenta[d]-1,3,2-dioxaborin-4(5H),1'-cyclopentane], 2-ethyl-6,7-dihydro-",1.0
"3beta,4beta-Bis(trimethylsiloxy)cholest-5-ene","Cholest-7-en-3-ol, (3beta,5alpha)-",1.0
1-Cyclopentylethanol,2-Heptenoic acid,1.0
2-Heptenoic acid,"Benzoic acid, pentadecyl ester",1.0
Doconexent,"Propanetriol, 2-methyl-",1.0
"1,3-Dioxane-4-methanol, 4,5-dimethyl-","2,4-Decadienal",1.0
"3-Hydroxy-2,3-dihydromaltol",Allylescaline ,1.0
1-Deoxypentitol,"beta-D-Galactofuranose, 1,2,3,5,6-pentakis-O-(trimethylsilyl)-",1.0
"1,3,5-Benzetriol",alpha-Tocopherol,1.0
