node1,node2
"Hexadecanoic acid, 4-hydroxybutyl ester","2-Butenoic acid, 2-hydroxy-"
"Hexadecanoic acid, 4-hydroxybutyl ester","2-Butenoic acid, 2-methyl-, 2-methyl-2-propenyl ester"
"Hexadecanoic acid, 4-hydroxybutyl ester",3-Undecene
"Hexadecanoic acid, 4-hydroxybutyl ester",Butyl Succinate
12-Oxooctadecanoate,5-Methyluridine
5-Methyluridine,Hydracrylic acid
13-Docosenamide,Benzoic Acid
Benzoic Acid,Arachidic acid
Benzoic Acid,"Propane, 2-methyl"
Benzoic Acid,Pyridoxic acid
5-Aminovaleric acid,2-Piperidinone
5-Aminovaleric acid,"Dimethyl hexopyranosiduronate, alpha-D"
1-Dodecanol,3-Deoxyhexitol
1-Dodecanol,Undecanoic acid
3-Deoxyhexitol,"2-Butenoic acid, 2-hydroxy-"
3-Deoxyhexitol,2-Palmitoylglycerol
Undecanoic acid,Nonanoic acid
1-Hexacosene,Ethyl glycolate
Ethyl glycolate,Trisaminol
"Propanoic acid, 2-oxo",2-Ethylacetoacetate
"Propanoic acid, 2-oxo",Butyl Succinate
"Propanoic acid, 2-oxo",L-Rhamnose
"Propanoic acid, 2-oxo",Syringaldehyde
1-Hexanol,Cyclo(L-prolyl-L-valine)
1-Hexanol,"D-Erythro-Pentitol, 2-deoxy-"
Cyclo(L-prolyl-L-valine),Cyclohexanecarboxylic acid
1-Methyl-4-hydroxy-1H-imidazol-2-amine,d-Erythrotetrofuranose
1-Methyl-4-hydroxy-1H-imidazol-2-amine,"Dimethyl hexopyranosiduronate, alpha-D"
1-Methyl-4-hydroxy-1H-imidazol-2-amine,"Inosose-2, myo"
1-Methyl-4-hydroxy-1H-imidazol-2-amine,Ribitol
d-Erythrotetrofuranose,"2,3,4,5-Tetrahydroxypentanoic acid-1,4-lactone"
d-Erythrotetrofuranose,"2,5-Cyclohexadiene-1,4-dione, 2,6-bis(1,1-dimethylethyl)"
d-Erythrotetrofuranose,4-Hydroxyphenyllactic acid
d-Erythrotetrofuranose,Glycerol
d-Erythrotetrofuranose,"Hexadecanoic acid, ethyl ester"
d-Erythrotetrofuranose,Tricine
"Dimethyl hexopyranosiduronate, alpha-D",Cholesterol
"Dimethyl hexopyranosiduronate, alpha-D",Ser-Leu
"Inosose-2, myo",Cyclohexanecarboxylic acid
1-Monopalmitin,Pipecolic acid
Pentadecanoic acid,Arachidic acid
Pentadecanoic acid,Cyclohexanecarboxylic acid
Pentadecanoic acid,"Hexadecanoic acid, ethyl ester"
Pentadecanoic acid,"Hexadecanoic acid, methyl ester"
Pentadecanoic acid,Methyl stearate
Pipecolic acid,1-Octanol
"2-Furanacetaldehyde, tetrahydro-alpha",Dehydroabietic acid
"2-Furanacetaldehyde, tetrahydro-alpha",Oxalic acid
"2-Furanacetaldehyde, tetrahydro-alpha",Serine
Isopropyl palmitate,"7,9-Di-tert-butyl-1-oxaspiro(4,5)deca-6,9-diene-2,8-dione"
1-Octanol,Tetrahydrolinalool
3-Undecene,"2,5-Cyclohexadiene-1,4-dione, 2,6-bis(1,1-dimethylethyl)"
3-Undecene,Menthol
3-Undecene,Tetrahydrogeranyl formate
3-Undecene,Valylvaline
Sebacic acid,2-tert-Butyl-4-ethylphenol 
Sebacic acid,Arachidic acid
Sebacic acid,Heptadecanoic acid
Sebacic acid,"Hexadecanoic acid, methyl ester"
Sebacic acid,Nonadecanoic acid
8-Hydroxy-5-(hydroxymethyl)quinoline,2-Ethylacetoacetate
alpha-D-Xylopyranose,"2,5-Dimethoxymandelic acid"
alpha-Ketoisovaleric acid,3-O-methyl-beta-D-Glucopyranose
beta-Alanine,L-Glutamic acid
beta-Alanine,Thymidine
"Butanoic acid, 3,4-dihydroxy-",Ketamine
l-Leucyl-l-valine,"2,5-Dimethoxymandelic acid"
1-Tetradecanol,"2-Butenoic acid, 2-hydroxy-"
"2-Butenoic acid, 2-hydroxy-","2',2,3,6'-Tetramethoxychalcone"
"2-Butenoic acid, 2-hydroxy-",Butyl Succinate
"2-Butenoic acid, 2-hydroxy-",Dodecanamide
"2',2,3,6'-Tetramethoxychalcone",Dodecanamide
"2,5-Cyclohexadiene-1,4-dione, 2,6-bis(1,1-dimethylethyl)","2,5-Di-tert-butyl-4-hydroxyphenol"
"2,5-Cyclohexadiene-1,4-dione, 2,6-bis(1,1-dimethylethyl)",3-Methyl-2-furoic acid
"2,3,4-Trihydroxybutyric acid",2-Ethylacetoacetate
"2,3,4-Trihydroxybutyric acid","3-Hydroxy-2,3-dihydromaltol"
"2,3,4-Trihydroxybutyric acid","Erythrono-1,4-lactone"
"2,3,4-Trihydroxybutyric acid",Ribonic acid
2-Ethylacetoacetate,beta-D-(-)-Ribopyranose
2-Ethylacetoacetate,"Erythrono-1,4-lactone"
2-Ethylacetoacetate,Tricine
"Erythrono-1,4-lactone",beta-D-(-)-Ribopyranose
"Erythrono-1,4-lactone",Syringaldehyde
4-Pyridinol,"2-Allyl-1,4-dimethoxybenzene "
4-Pyridinol,9-Octadecenoic acid
Monolaurin,Methyl 2-acetamido-2-deoxy-3-O-methyl-alpha-D-galactopyranoside
Monolaurin,"Xylonic acid, delta-lactone"
"2,5-Dimethoxyphenol","2-Allyl-1,4-dimethoxybenzene "
"2,5-Dimethoxyphenol","3,4-Dihydrocoumarin, 4,4-dimethyl-6-dimethylamino"
"2,5-Dimethoxyphenol",Syringaldehyde
"2-Allyl-1,4-dimethoxybenzene ",3-Hexenedioic acid
"2-Allyl-1,4-dimethoxybenzene ",Syringaldehyde
"3,4-Dihydrocoumarin, 4,4-dimethyl-6-dimethylamino",Syringaldehyde
Syringaldehyde,3-Hexenedioic acid
Syringaldehyde,beta-D-(-)-Ribopyranose
Syringaldehyde,"Gluconolactone (3R,4S,5R,6R)"
L-Glutamic acid,L-5-Oxoproline
L-Glutamic acid,Syringic acid
Syringic acid,D-Fructose
Syringic acid,L-5-Oxoproline
3-Hexenedioic acid,beta-Arabinopyranose
3-Hexenedioic acid,L-5-Oxoproline
"Pentanoic acid, 4-methyl-2-oxo-",2-Aminoadipic acid
2-Aminobutanoic acid,4-Coumaric acid
"2-Butenoic acid, 2-methyl-, 2-methyl-2-propenyl ester",Cyclohexanecarboxylic acid
"2-Butenoic acid, 2-methyl-, 2-methyl-2-propenyl ester",Methyl stearate
"2-Butenoic acid, 2-methyl-, 2-methyl-2-propenyl ester",Nonadecanoic acid
"2-Butenoic acid, 2-methyl-, 2-methyl-2-propenyl ester","Propanoic acid, 2-hydroxy-3-phosphate-"
"2-Butenoic acid, 2-methyl-, 2-methyl-2-propenyl ester",Tetrahydrogeranyl formate
Cyclohexanecarboxylic acid,4-Methyl-5-thiazoleethanol
