Name,Tissue,"BiBC, Feces-Cortex, via Plasma","BiBC, Feces-Cortex, via Plasma (%ile)","BiBC, Feces-Cortex, via Plexus","BiBC, Feces-Cortex, via Plexus (%ile)","BiBC, Feces-Cortex, via Plasma + Plexus","BiBC, Feces-Cortex, via Plasma + Plexus (%ile)","BiBC, Feces-Striatum, via Plasma","BiBC, Feces-Striatum, via Plasma (%ile)","BiBC, Feces-Striatum, via Plexus","BiBC, Feces-Striatum, via Plexus (%ile)","BiBC, Feces-Striatum, via Plasma + Plexus","BiBC, Feces-Striatum, via Plasma + Plexus (%ile)","BiBC, Plasma-Plexus","BiBC, Plasma-Plexus (%ile)","BiBC, Plasma - Cortex","BiBC Percentile, Plasma - Cortex","BiBC, Plasma - Striatum","BiBC Percentile, Plasma - Striatum","BiBC, Choroid Plexus - Cortex","BiBC Percentile, Choroid Plexus - Cortex","BiBC, Choroid Plexus - Striatum","BiBC Percentile, Choroid Plexus - Striatum","BiBC, Choroid Plexus - Remaining Brain","BiBC Percentile, Choroid Plexus - Remaining Brain","BiBC, Choroid Plexus - Other Transcriptomics","BiBC Percentile, Choroid Plexus - Other Transcriptomics"
Pmm1,Striatum,,,,,,,,72.4,,76.7,,77.4,,,,,869.3,79.2%,1679.0,84.3%,3130.2,95.0%,1043.1,82.5%,5852.3,90.8%
Ly6h,Striatum,,,,,,,,35.9,,41.9,,43.1,,,,,114.9,40.9%,1000.7,72.9%,1109.4,74.7%,443.4,61.3%,2553.4,70.5%
Ly6e,Striatum,,,,,,,,50.9,,45.2,,48.1,,,,,317.3,54.3%,572.4,57.9%,1739.2,85.4%,348.3,55.2%,2660.0,71.5%
Mapk8ip2,Striatum,,,,,,,1155.6,93.6,2710.7,98.8,1722.1,98.2,,,,,2482.1,94.9%,1321.2,79.2%,5709.8,98.9%,1876.5,94.1%,8907.6,96.5%
Nit2,Striatum,,,,,,,857.4,89.8,,59.7,,75.7,,,,,2005.2,92.6%,187.7,40.2%,1647.2,84.0%,255.1,50.3%,2090.0,64.7%
Tomm70a,Striatum,,,,,,,,49.6,,59.4,,56.3,,,,,242.5,50.3%,1337.5,79.6%,2514.4,92.2%,683.2,71.1%,4535.1,85.1%
Ncbp2,Striatum,,,,,,,,,,,,,,,,,,,0.0,7.1%,0.0,6.8%,0.0,7.1%,0.0,6.1%
Adcy5,Striatum,,,,,,,,72.6,861.8,88.0,646.1,87.7,,,,,1025.5,82.3%,795.2,66.4%,3579.2,96.7%,872.7,78.6%,5247.2,88.3%
Pdia5,Striatum,,,,,,,776.7,88.0,1240.9,93.1,925.6,93.1,,,,,1168.4,85.2%,1178.7,76.9%,2337.7,90.5%,2653.4,97.9%,6169.8,91.9%
D16Ertd472e,Striatum,,,,,,,,0.0,,0.0,,0.0,,,,,0.0,9.0%,916.5,70.6%,45.6,25.0%,19.3,22.5%,981.4,45.4%
Cxadr,Striatum,,,,,,,,34.6,,25.6,,26.7,,,,,26.9,29.6%,362.7,50.3%,361.6,47.6%,196.6,45.9%,920.9,44.0%
Atp5po,Striatum,,,,,,,1027.1,92.0,1035.3,90.9,1084.0,94.9,,,,,1611.7,90.1%,806.8,66.9%,2895.3,94.1%,1330.0,88.4%,5032.1,87.3%
Calcoco1,Striatum,,,,,,,,,,,,,,,,,,,,,,,,,,
Il15ra,Striatum,,,,,,,,63.9,,57.0,,63.7,,,,,369.0,57.5%,50.0,26.2%,104.9,32.1%,16.5,21.6%,171.3,21.9%
Parp3,Striatum,,,,,,,,0.0,,0.0,,0.0,,,,,0.0,9.0%,0.0,7.1%,0.0,6.8%,0.0,7.1%,0.0,6.1%
Nfatc4,Striatum,,,,,,,,0.0,,0.0,,0.0,,,,,0.0,9.0%,115.9,34.7%,262.0,43.2%,32.7,26.3%,410.6,29.9%
Tiam2,Striatum,,,,,,,,81.0,868.4,88.2,699.2,89.0,,,,,979.3,81.1%,1482.9,81.5%,4645.2,98.4%,1366.4,88.8%,7494.6,94.6%
Cenpq,Striatum,,,,,,,,64.0,,55.9,,64.0,,,,,369.0,58.2%,9.9,18.2%,819.7,66.7%,22.1,23.3%,851.8,42.3%
Mmut,Striatum,,,,,,,,62.9,,55.4,,63.4,,,,,369.0,57.0%,0.0,7.1%,759.0,64.4%,0.0,7.1%,759.0,39.7%
Ptk7,Striatum,,,,,,,,65.3,,58.1,,65.2,,,,,376.1,60.1%,351.6,49.9%,947.7,70.6%,388.3,57.3%,1687.5,58.0%
Abcg1,Striatum,,,,,,,,0.0,,0.0,,0.0,,,,,0.0,9.0%,7.7,17.5%,10.4,17.7%,2.3,16.5%,20.4,13.4%
Lpin2,Striatum,,,,,,,,52.8,,71.2,,68.5,,,,,223.5,49.7%,1732.9,84.8%,2296.0,90.2%,712.2,72.0%,4741.2,85.9%
Strn,Striatum,,,,,,,948.6,91.2,,82.6,614.0,86.7,,,,,1694.4,90.6%,812.0,67.1%,2949.7,94.3%,699.3,71.6%,4460.9,84.6%
Pdpk1,Striatum,,,,,,,,28.2,,23.2,,22.0,,,,,14.0,26.0%,57.8,27.7%,197.9,39.1%,43.5,28.6%,299.2,26.9%
Msh2,Striatum,,,,,,,,23.5,,28.7,,29.0,,,,,41.8,32.5%,1479.0,81.4%,170.2,37.2%,27.8,24.7%,1677.0,57.7%
Zfp523,Striatum,,,,,,,2206.9,97.8,2246.2,98.2,2213.9,98.8,,,,,3352.6,97.6%,370.4,50.6%,1301.2,78.6%,185.8,45.1%,1857.4,61.1%
Mapre2,Striatum,,,,,,,,64.2,,56.8,,63.8,,,,,369.0,57.0%,98.3,33.0%,212.3,40.1%,110.2,37.7%,420.8,30.4%
Pfdn1,Striatum,,,,,,,,,,,,,,,,,,,926.5,70.9%,229.2,41.2%,7.6,18.6%,1163.3,48.7%
Sting1,Striatum,,,,,,,,39.5,,27.4,,31.3,,,,,42.1,32.7%,583.6,58.2%,536.3,54.9%,289.0,52.0%,1408.9,53.0%
Ttc39c,Striatum,,,,,,,,46.7,,60.4,,45.6,,,,,356.3,56.2%,790.2,66.3%,1570.5,83.3%,411.9,59.4%,2772.6,72.6%
Atat1,Striatum,,,,,,,,,,,,,,,,,,,5.1,16.8%,0.0,6.8%,0.0,7.1%,5.1,12.4%
Mrps18b,Striatum,,,,,,,,40.1,,28.5,,32.1,,,,,40.3,32.2%,17.4,20.6%,50.8,25.8%,9.6,19.1%,77.9,16.9%
Trim26,Striatum,,,,,,,,26.4,,24.2,,21.0,,,,,53.0,33.9%,823.2,67.6%,785.2,65.9%,777.5,75.1%,2385.9,68.9%
Me2,Striatum,,,,,,,,0.0,,33.7,,37.1,,,,,0.0,9.0%,487.1,55.3%,571.6,56.4%,826.4,77.3%,1885.1,61.6%
Smad2,Striatum,,,,,,,,,,,,,,,,,,,645.7,59.9%,35.3,22.4%,67.5,33.1%,748.5,38.2%
Txnl1,Striatum,,,,,,,,0.0,,0.0,,0.0,,,,,0.0,9.0%,474.7,54.7%,410.7,49.8%,1277.5,87.7%,2162.9,65.5%
Fbn2,Striatum,,,,,,,,,,,,,,,,,,,0.0,7.1%,0.0,6.8%,0.0,7.1%,0.0,6.1%
Tmx3,Striatum,,,,,,,,43.3,,51.3,,52.5,,,,,109.0,40.0%,961.9,71.8%,1381.9,80.1%,517.3,64.5%,2861.2,73.6%
Cbln2,Striatum,,,,,,,,38.9,,46.9,,51.4,,,,,148.1,43.7%,1088.9,74.9%,2547.1,92.5%,331.6,54.3%,3967.6,82.0%
Mrpl16,Striatum,,,,,,,,,,,,,,,,,,,0.0,7.1%,0.0,6.8%,0.0,7.1%,0.0,6.1%
Naa40,Striatum,,,,,,,,53.2,,40.4,,47.6,,,,,224.2,49.7%,20.9,21.3%,303.4,44.8%,11.0,19.3%,335.3,28.1%
Lipo3,Striatum,,,,,,,,,,,,,,,,,,,0.0,7.1%,0.0,6.8%,0.0,7.1%,0.0,6.1%
Stambpl1,Striatum,,,,,,,,20.5,,20.1,,16.9,,,,,17.1,26.9%,42.3,25.3%,125.6,34.1%,24.1,23.7%,192.1,23.1%
Pacs1,Striatum,,,,,,,,,,,,,,,,,,,,,,,,,,
Pip5k1b,Striatum,,,,,,,,0.0,,0.0,,0.0,,,,,0.0,9.0%,35.4,24.2%,115.0,33.2%,88.2,35.2%,238.6,24.7%
Doc2g,Striatum,,,,,,,,,,,,,,,,,,,759.0,64.5%,0.0,6.8%,0.0,7.1%,759.0,39.1%
Yif1a,Striatum,,,,,,,,,,,,,,,,,,,99.2,33.2%,9.8,17.4%,7.2,18.3%,116.2,18.9%
