ID,Mean Log2 Fold Change Direction (DSS)
ENSMUSG00000045817-P,-1
ENSMUSG00000031808-P,1
ENSMUSG00000021676-P,-1
ENSMUSG00000027523-P,-1
ENSMUSG00000037716-P,1
ENSMUSG00000070319-P,1
ENSMUSG00000024472-P,-1
ENSMUSG00000007476-P,1
ENSMUSG00000041308-P,-1
ENSMUSG00000033436-P,1
ENSMUSG00000034579-P,1
ENSMUSG00000038545-P,1
ENSMUSG00000042831-P,1
ENSMUSG00000030217-P,-1
ENSMUSG00000065799-P,-1
ENSMUSG00000022085-P,-1
ENSMUSG00000029840-P,-1
ENSMUSG00000105970-P,1
ENSMUSG00000021904-P,-1
ENSMUSG00000105607-P,-1
ENSMUSG00000033502-P,-1
ENSMUSG00000090877-P,1
ENSMUSG00000044813-P,1
ENSMUSG00000030268-P,1
ENSMUSG00000031967-P,-1
ENSMUSG00000028977-P,1
ENSMUSG00000090110-P,-1
ENSMUSG00000048106-P,-1
ENSMUSG00000026563-P,1
ENSMUSG00000046157-P,1
ENSMUSG00000047067-P,1
ENSMUSG00000067928-P,-1
ENSMUSG00000047181-P,1
ENSMUSG00000038880-P,1
ENSMUSG00000034786-P,-1
ENSMUSG00000053746-P,1
ENSMUSG00000032740-P,-1
ENSMUSG00000028701-P,1
ENSMUSG00000003360-P,1
ENSMUSG00000032172-P,1
ENSMUSG00000041720-P,1
ENSMUSG00000047371-P,1
ENSMUSG00000040761-P,1
ENSMUSG00000085207-P,1
ENSMUSG00000024190-P,1
ENSMUSG00000061838-P,-1
ENSMUSG00000033453-P,1
ENSMUSG00000032251-P,-1
ENSMUSG00000048118-P,-1
ENSMUSG00000020444-P,1
ENSMUSG00000048175-P,1
ENSMUSG00000049744-P,1
ENSMUSG00000047989-P,1
ENSMUSG00000071253-P,-1
ENSMUSG00000045302-P,1
ENSMUSG00000041841-P,1
ENSMUSG00000070544-P,-1
ENSMUSG00000036435-P,1
ENSMUSG00000039157-P,1
ENSMUSG00000052534-P,-1
ENSMUSG00000015932-P,-1
ENSMUSG00000040612-P,-1
ENSMUSG00000067795-P,-1
ENSMUSG00000021010-P,1
ENSMUSG00000004285-P,1
ENSMUSG00000044927-P,1
ENSMUSG00000027782-P,-1
ENSMUSG00000038064-P,1
ENSMUSG00000005575-P,-1
ENSMUSG00000029034-P,1
ENSMUSG00000034768-P,-1
ENSMUSG00000017802-P,-1
ENSMUSG00000032050-P,-1
ENSMUSG00000050856-P,1
ENSMUSG00000028051-P,1
ENSMUSG00000056952-P,1
ENSMUSG00000047547-P,1
ENSMUSG00000027598-P,-1
ENSMUSG00000060227-P,-1
ENSMUSG00000024576-P,-1
ENSMUSG00000030697-P,1
ENSMUSG00000024191-P,1
ENSMUSG00000030286-P,1
ENSMUSG00000031970-P,1
ENSMUSG00000091475-P,1
ENSMUSG00000026509-P,-1
ENSMUSG00000035762-P,-1
ENSMUSG00000099689-P,-1
ENSMUSG00000034377-P,-1
ENSMUSG00000039715-P,1
ENSMUSG00000098113-P,1
ENSMUSG00000007379-P,-1
ENSMUSG00000087083-P,-1
ENSMUSG00000023064-P,1
ENSMUSG00000030554-P,-1
ENSMUSG00000037221-P,1
ENSMUSG00000006005-P,-1
ENSMUSG00000038608-P,-1
ENSMUSG00000104682-P,-1
ENSMUSG00000022023-P,-1
ENSMUSG00000041135-P,-1
ENSMUSG00000091183-P,-1
ENSMUSG00000026820-P,1
ENSMUSG00000030352-P,1
ENSMUSG00000034295-P,1
ENSMUSG00000037646-P,-1
ENSMUSG00000040167-P,-1
ENSMUSG00000077767-P,-1
ENSMUSG00000055239-P,-1
ENSMUSG00000031489-P,-1
ENSMUSG00000035093-P,-1
ENSMUSG00000032306-P,1
ENSMUSG00000043535-P,-1
ENSMUSG00000025869-P,-1
ENSMUSG00000007613-P,-1
ENSMUSG00000049571-P,1
ENSMUSG00000018983-P,-1
ENSMUSG00000024870-P,1
ENSMUSG00000043487-P,1
ENSMUSG00000017831-P,-1
ENSMUSG00000024947-P,1
ENSMUSG00000025478-P,-1
ENSMUSG00000028032-P,1
ENSMUSG00000029772-P,-1
ENSMUSG00000075704-P,1
ENSMUSG00000028599-P,1
ENSMUSG00000059820-P,-1
ENSMUSG00000085776-P,-1
ENSMUSG00000022426-P,1
ENSMUSG00000011831-P,-1
ENSMUSG00000064246-P,-1
ENSMUSG00000004085-P,1
ENSMUSG00000042686-P,-1
ENSMUSG00000028626-P,1
ENSMUSG00000068196-P,-1
ENSMUSG00000030088-P,1
ENSMUSG00000058351-P,1
ENSMUSG00000007739-P,1
ENSMUSG00000031590-P,-1
ENSMUSG00000025505-P,-1
ENSMUSG00000039194-P,-1
ENSMUSG00000028863-P,1
ENSMUSG00000002660-P,1
ENSMUSG00000048612-P,-1
ENSMUSG00000005609-P,1
ENSMUSG00000054720-P,-1
ENSMUSG00000031246-P,-1
ENSMUSG00000014603-P,-1
ENSMUSG00000031838-P,-1
ENSMUSG00000031922-P,-1
ENSMUSG00000045094-P,1
ENSMUSG00000047141-P,-1
ENSMUSG00000032288-P,1
ENSMUSG00000054717-P,-1
ENSMUSG00000029438-P,-1
ENSMUSG00000026895-P,1
ENSMUSG00000038555-P,1
ENSMUSG00000035293-P,1
ENSMUSG00000022141-P,-1
ENSMUSG00000024002-P,-1
ENSMUSG00000048874-P,-1
ENSMUSG00000006476-P,1
ENSMUSG00000066357-P,1
ENSMUSG00000038646-P,-1
ENSMUSG00000105729-P,-1
ENSMUSG00000041570-P,-1
ENSMUSG00000045930-P,-1
ENSMUSG00000002324-P,1
ENSMUSG00000030493-P,-1
ENSMUSG00000022199-P,1
ENSMUSG00000052584-P,1
ENSMUSG00000027108-P,-1
ENSMUSG00000023960-P,1
ENSMUSG00000044365-P,-1
ENSMUSG00000056735-P,-1
ENSMUSG00000012422-P,-1
ENSMUSG00000062040-P,1
ENSMUSG00000028890-P,1
ENSMUSG00000042129-P,1
ENSMUSG00000069631-P,-1
ENSMUSG00000040242-P,-1
ENSMUSG00000039959-P,-1
ENSMUSG00000020227-P,-1
ENSMUSG00000020297-P,1
ENSMUSG00000061689-P,1
ENSMUSG00000040586-P,-1
ENSMUSG00000051435-P,-1
ENSMUSG00000070527-P,1
ENSMUSG00000022427-P,1
ENSMUSG00000020553-P,-1
ENSMUSG00000031198-P,-1
ENSMUSG00000061524-P,-1
ENSMUSG00000030403-P,-1
ENSMUSG00000023931-P,-1
ENSMUSG00000005045-P,1
ENSMUSG00000089875-P,1
ENSMUSG00000038390-P,1
ENSMUSG00000002748-P,-1
ENSMUSG00000001089-P,-1
ENSMUSG00000034349-P,-1
ENSMUSG00000027860-P,-1
ENSMUSG00000085890-P,1
ENSMUSG00000001014-P,1
ENSMUSG00000052056-P,-1
ENSMUSG00000020235-P,1
ENSMUSG00000071637-P,1
ENSMUSG00000097462-P,-1
ENSMUSG00000043263-P,-1
ENSMUSG00000019173-P,1
ENSMUSG00000009076-P,1
ENSMUSG00000054792-P,1
ENSMUSG00000020491-P,-1
ENSMUSG00000018570-P,1
ENSMUSG00000066800-P,-1
ENSMUSG00000028053-P,-1
ENSMUSG00000032261-P,-1
ENSMUSG00000029551-P,1
ENSMUSG00000027210-P,1
ENSMUSG00000017286-P,-1
ENSMUSG00000027957-P,-1
ENSMUSG00000086851-P,-1
ENSMUSG00000056999-P,-1
ENSMUSG00000102101-P,-1
ENSMUSG00000051297-P,1
ENSMUSG00000103731-P,-1
ENSMUSG00000078486-P,1
ENSMUSG00000003190-P,-1
ENSMUSG00000051285-P,-1
ENSMUSG00000098098-P,-1
ENSMUSG00000051510-P,-1
ENSMUSG00000037110-P,-1
ENSMUSG00000006281-P,1
ENSMUSG00000022674-P,-1
ENSMUSG00000027770-P,-1
ENSMUSG00000036815-P,-1
ENSMUSG00000030677-P,1
ENSMUSG00000097318-P,-1
ENSMUSG00000025789-P,1
ENSMUSG00000025894-P,-1
ENSMUSG00000030801-P,1
ENSMUSG00000032763-P,1
ENSMUSG00000038324-P,1
ENSMUSG00000030201-P,-1
ENSMUSG00000033068-P,1
ENSMUSG00000016018-P,1
ENSMUSG00000074994-P,-1
ENSMUSG00000032560-P,-1
ENSMUSG00000022439-P,1
ENSMUSG00000045767-P,-1
ENSMUSG00000043241-P,-1
ENSMUSG00000015748-P,-1
ENSMUSG00000048330-P,-1
ENSMUSG00000020380-P,-1
ENSMUSG00000039145-P,-1
ENSMUSG00000041491-P,-1
ENSMUSG00000032459-P,1
ENSMUSG00000015363-P,1
ENSMUSG00000027680-P,-1
ENSMUSG00000035539-P,1
ENSMUSG00000045284-P,-1
ENSMUSG00000033054-P,-1
ENSMUSG00000064338-P,1
ENSMUSG00000024873-P,1
ENSMUSG00000097537-P,-1
ENSMUSG00000043614-P,1
ENSMUSG00000027710-P,1
ENSMUSG00000007570-P,1
ENSMUSG00000052951-P,1
ENSMUSG00000033021-P,-1
ENSMUSG00000067148-P,1
ENSMUSG00000013663-P,-1
ENSMUSG00000006800-P,1
ENSMUSG00000022843-P,-1
ENSMUSG00000039899-P,1
ENSMUSG00000042557-P,-1
ENSMUSG00000038884-P,1
ENSMUSG00000035692-P,1
ENSMUSG00000063801-P,1
ENSMUSG00000059456-P,1
ENSMUSG00000031637-P,-1
ENSMUSG00000036202-P,-1
ENSMUSG00000043411-P,1
ENSMUSG00000017670-P,1
ENSMUSG00000014846-P,1
ENSMUSG00000030611-P,1
ENSMUSG00000034563-P,1
ENSMUSG00000010057-P,1
ENSMUSG00000020886-P,1
ENSMUSG00000018171-P,1
ENSMUSG00000008348-P,1
ENSMUSG00000042659-P,-1
ENSMUSG00000019647-P,-1
ENSMUSG00000021709-P,-1
ENSMUSG00000086769-P,-1
ENSMUSG00000031617-P,-1
ENSMUSG00000071650-P,1
ENSMUSG00000024098-P,1
ENSMUSG00000046806-P,-1
ENSMUSG00000040661-P,-1
ENSMUSG00000040675-P,-1
ENSMUSG00000016487-P,-1
ENSMUSG00000028967-P,1
ENSMUSG00000036197-P,-1
ENSMUSG00000105302-P,1
ENSMUSG00000028057-P,1
ENSMUSG00000031513-P,-1
ENSMUSG00000042198-P,1
ENSMUSG00000022751-P,-1
ENSMUSG00000033585-P,1
ENSMUSG00000038058-P,1
ENSMUSG00000042745-P,1
ENSMUSG00000026096-P,-1
ENSMUSG00000072662-P,-1
ENSMUSG00000023764-P,1
ENSMUSG00000040483-P,-1
ENSMUSG00000033047-P,-1
ENSMUSG00000032602-P,-1
ENSMUSG00000064340-P,1
ENSMUSG00000019971-P,-1
ENSMUSG00000031256-P,1
ENSMUSG00000023826-P,1
ENSMUSG00000070643-P,-1
ENSMUSG00000022568-P,1
ENSMUSG00000024548-P,-1
ENSMUSG00000050199-P,-1
ENSMUSG00000057440-P,-1
ENSMUSG00000022010-P,1
ENSMUSG00000024083-P,-1
ENSMUSG00000072763-P,-1
ENSMUSG00000030616-P,-1
ENSMUSG00000003949-P,-1
ENSMUSG00000085184-P,-1
ENSMUSG00000066595-P,-1
ENSMUSG00000046714-P,1
ENSMUSG00000004263-P,-1
ENSMUSG00000021929-P,-1
ENSMUSG00000074480-P,1
ENSMUSG00000000127-P,-1
ENSMUSG00000075256-P,-1
ENSMUSG00000028811-P,1
ENSMUSG00000025016-P,-1
ENSMUSG00000034957-P,1
ENSMUSG00000025862-P,-1
ENSMUSG00000024800-P,-1
ENSMUSG00000025104-P,-1
ENSMUSG00000078201-P,-1
ENSMUSG00000042506-P,1
ENSMUSG00000101059-P,1
ENSMUSG00000022629-P,-1
ENSMUSG00000049287-P,1
ENSMUSG00000033792-P,1
ENSMUSG00000018707-P,1
ENSMUSG00000018293-P,-1
ENSMUSG00000026547-P,1
ENSMUSG00000026527-P,-1
ENSMUSG00000085945-P,-1
ENSMUSG00000071369-P,-1
ENSMUSG00000015970-P,1
ENSMUSG00000017314-P,-1
ENSMUSG00000051579-P,-1
ENSMUSG00000093606-P,-1
ENSMUSG00000049090-P,-1
ENSMUSG00000032307-P,-1
ENSMUSG00000062866-P,-1
ENSMUSG00000041685-P,-1
ENSMUSG00000046807-P,1
ENSMUSG00000027305-P,1
ENSMUSG00000031715-P,-1
ENSMUSG00000005699-P,1
ENSMUSG00000042594-P,-1
ENSMUSG00000071652-P,1
ENSMUSG00000019933-P,1
ENSMUSG00000102664-P,1
ENSMUSG00000020219-P,1
ENSMUSG00000052837-P,1
ENSMUSG00000022774-P,-1
ENSMUSG00000031079-P,1
ENSMUSG00000021149-P,-1
ENSMUSG00000039000-P,-1
ENSMUSG00000048776-P,-1
ENSMUSG00000035173-P,-1
ENSMUSG00000038780-P,1
ENSMUSG00000026113-P,1
ENSMUSG00000090247-P,1
ENSMUSG00000009013-P,1
ENSMUSG00000027349-P,-1
ENSMUSG00000026315-P,-1
ENSMUSG00000027646-P,-1
ENSMUSG00000038827-P,1
ENSMUSG00000025231-P,1
ENSMUSG00000020546-P,-1
ENSMUSG00000020330-P,-1
ENSMUSG00000019088-P,-1
ENSMUSG00000020074-P,-1
ENSMUSG00000037408-P,-1
ENSMUSG00000023046-P,1
ENSMUSG00000031776-P,1
ENSMUSG00000020899-P,1
ENSMUSG00000055022-P,-1
ENSMUSG00000024976-P,-1
ENSMUSG00000003199-P,1
ENSMUSG00000039450-P,1
ENSMUSG00000066057-P,-1
ENSMUSG00000041649-P,1
ENSMUSG00000042699-P,-1
ENSMUSG00000032348-P,-1
ENSMUSG00000022177-P,-1
ENSMUSG00000045098-P,-1
ENSMUSG00000024772-P,1
ENSMUSG00000021000-P,-1
ENSMUSG00000056938-P,1
ENSMUSG00000060279-P,1
ENSMUSG00000030557-P,-1
ENSMUSG00000023118-P,1
ENSMUSG00000021583-P,1
ENSMUSG00000021990-P,1
ENSMUSG00000029265-P,-1
ENSMUSG00000036087-P,-1
ENSMUSG00000031479-P,-1
ENSMUSG00000039813-P,1
ENSMUSG00000044617-P,1
ENSMUSG00000032796-P,-1
ENSMUSG00000038135-P,1
ENSMUSG00000000326-C,-1
ENSMUSG00000000827-C,-1
ENSMUSG00000000881-C,1
ENSMUSG00000000976-C,-1
ENSMUSG00000001128-C,-1
ENSMUSG00000001521-C,-1
ENSMUSG00000001666-C,1
ENSMUSG00000001773-C,-1
ENSMUSG00000002228-C,-1
ENSMUSG00000002608-C,1
ENSMUSG00000002633-C,-1
ENSMUSG00000002733-C,-1
ENSMUSG00000002778-C,1
ENSMUSG00000002820-C,1
ENSMUSG00000002910-C,1
ENSMUSG00000002963-C,1
ENSMUSG00000003228-C,-1
ENSMUSG00000003282-C,-1
ENSMUSG00000003382-C,-1
ENSMUSG00000003418-C,1
ENSMUSG00000003421-C,1
ENSMUSG00000003452-C,-1
ENSMUSG00000003527-C,1
ENSMUSG00000003549-C,1
ENSMUSG00000003752-C,-1
ENSMUSG00000003970-C,1
ENSMUSG00000004070-C,1
ENSMUSG00000004085-C,-1
ENSMUSG00000004151-C,-1
ENSMUSG00000004268-C,-1
ENSMUSG00000004356-C,-1
ENSMUSG00000004360-C,1
ENSMUSG00000004508-C,1
ENSMUSG00000004895-C,1
ENSMUSG00000004945-C,1
ENSMUSG00000004952-C,-1
ENSMUSG00000005089-C,-1
