Gene,Metabolite,Sign
ENSMUSG00000032633,2-Hydroxy-2-methylbutyric acid,1
ENSMUSG00000032633,phenoxyethanol,1
ENSMUSG00000032633,"Thymine, 1,3-dimethyl-6-hydroxymethyl",1
ENSMUSG00000032724,Myristic acid,1
ENSMUSG00000024235,Acetoacetic acid,1
ENSMUSG00000024235,"D-(+)-Ribono-1,4-lactone ",1
ENSMUSG00000024235,"Inosose-2, myo",1
ENSMUSG00000026483,"5,10-Diethoxy-2,3,7,8-tetrahydro-1H,6H-dipyrrolo[1,2-a:1',2'-d]pyrazine",1
ENSMUSG00000057738,alpha-D-Xylopyranose,1
ENSMUSG00000032301,"beta-d-Glucopyranose, 2-(acetylamino)-3,6-anhydro-2-deoxy",1
ENSMUSG00000032301,D-Ribose,1
ENSMUSG00000032301,Tripropylene glycol monomethyl ether,1
ENSMUSG00000030862,"2-Allyl-1,4-dimethoxybenzene ",1
ENSMUSG00000030862,2-Amino-4-tert-butylphenol,1
ENSMUSG00000030862,Acetoacetic acid,1
ENSMUSG00000030862,"Benzaldehyde, 2,5-dimethoxy",1
ENSMUSG00000030862,Heptadecanoic acid,1
ENSMUSG00000030862,Isopropyl palmitate,1
ENSMUSG00000035505,"2',2,3,6'-Tetramethoxychalcone",1
ENSMUSG00000035505,Dodecanamide,1
ENSMUSG00000035505,Monocaprylin,-1
ENSMUSG00000022283,L-Valine,1
ENSMUSG00000050989,"3,4,5-Trihydroxypentanoic acid",1
ENSMUSG00000014195,Decyl oleate,-1
ENSMUSG00000028885,"Arabinofuranose, 1,2,3,5-tetrakis",1
ENSMUSG00000028885,"Arabino-Hexonic acid, 2-deoxy-, gamma-lactone",1
ENSMUSG00000028885,Cyclo(L-prolyl-L-valine),1
ENSMUSG00000021693,D-Glucose,1
ENSMUSG00000021693,L-Valine,1
ENSMUSG00000062044,2-Piperidinone,-1
ENSMUSG00000062044,beta-Alanine,-1
ENSMUSG00000062044,DL-Phenylalanine,-1
ENSMUSG00000062044,L-Isoleucine,-1
ENSMUSG00000028441,"2,4-Di-tert-butylphenol",-1
ENSMUSG00000028441,3-Amino-2-piperidone,1
ENSMUSG00000005124,"Thymine, 1,3-dimethyl-6-hydroxymethyl",1
ENSMUSG00000043991,Benzoic Acid,1
ENSMUSG00000043991,D-Allofuranose,1
ENSMUSG00000043991,Tetrahydrogeranyl formate,1
ENSMUSG00000086825,3-O-methyl-beta-D-Glucopyranose,-1
ENSMUSG00000086825,Malic acid,1
ENSMUSG00000086825,Pantolactone,1
ENSMUSG00000086825,Supraene,-1
ENSMUSG00000041134,"2,5-Di-tert-butyl-4-hydroxyphenol",1
ENSMUSG00000041134,5-Methyluridine,1
ENSMUSG00000041134,DL-Phenylalanine,1
ENSMUSG00000041134,L-Isoleucine,1
ENSMUSG00000041134,Uracil,1
ENSMUSG00000059495,"1,3-Dioxane, 2,2-dimethyl-5-hydroxy-",1
ENSMUSG00000059495,L-Valine,1
ENSMUSG00000062421,5-Aminovaleric acid,1
ENSMUSG00000062421,D-Mannose,1
ENSMUSG00000050822,2-Butenedioic acid,1
ENSMUSG00000050822,Monolaurin,1
ENSMUSG00000014075,4-Pentenoic acid,1
ENSMUSG00000014075,2-Ethylacetoacetate,1
ENSMUSG00000014075,Aconitic acid,1
ENSMUSG00000014075,D-(-)-Fructofuranose,1
ENSMUSG00000014075,"D-(+)-Ribono-1,4-lactone ",1
ENSMUSG00000014075,Ethyl alpha-D-glucopyranoside,1
ENSMUSG00000014075,"Gluconolactone (3R,4S,5R,6R)",1
ENSMUSG00000014075,"L-Valinamide, N(2),N(2)-dimethyl",-1
ENSMUSG00000014075,L-Valyl-L-leucine,-1
ENSMUSG00000014075,Norketamine,-1
ENSMUSG00000014075,Suberic acid,1
ENSMUSG00000014075,Syringaldehyde,1
ENSMUSG00000014075,"Trimethylsilyl (5-benzyl-3,6-dioxopiperazin-2-yl)acetate",1
ENSMUSG00000028772,L-Lysine,1
ENSMUSG00000035133,L-Valine,1
ENSMUSG00000041012,1-Tetradecanol,1
ENSMUSG00000041012,"2,5-Cyclohexadiene-1,4-dione, 2,6-bis(1,1-dimethylethyl)",1
ENSMUSG00000041012,4-Methyl-5-thiazoleethanol,1
ENSMUSG00000041012,4-Methylvaleric acid,1
ENSMUSG00000041012,6-Hydroxyhexanoic acid,1
ENSMUSG00000041012,Cyclohexanemethanol,1
ENSMUSG00000041012,Ethyl glycolate,1
ENSMUSG00000041012,"Guanidine, N,N-dimethyl",1
ENSMUSG00000041012,"Gulonic acid, gamma-lactone",-1
ENSMUSG00000041012,Hymexazole,1
ENSMUSG00000041012,Levulinic acid,1
ENSMUSG00000041012,Monomethyl succinate,1
ENSMUSG00000041012,N-Acetyl glucosamine methoxime,1
ENSMUSG00000041012,phenoxyethanol,1
ENSMUSG00000041012,Syringic acid,1
ENSMUSG00000041012,"Thymine, 1,3-dimethyl-6-hydroxymethyl",1
ENSMUSG00000041012,Trisaminol,1
ENSMUSG00000039275,5-Methyluridine,-1
ENSMUSG00000025060,L-Valine,1
ENSMUSG00000025060,phenoxyethanol,1
ENSMUSG00000025060,Salsoline,1
ENSMUSG00000025060,Undecanoic acid,1
ENSMUSG00000013858,2-Hydroxy-3-methylbutyric acid,-1
ENSMUSG00000057722,L-Isoleucine,1
ENSMUSG00000057722,L-Leucine,1
ENSMUSG00000020777,l-Leucyl-l-valine,1
ENSMUSG00000043467,2-Aminobutanoic acid,1
ENSMUSG00000043467,3-Hexenedioic acid,1
ENSMUSG00000043467,Decanoic acid,1
ENSMUSG00000043467,Undecanoic acid,1
ENSMUSG00000024921,Deoxycholic Acid,1
ENSMUSG00000030016,"1,3-Dioxane, 2,2-dimethyl-5-hydroxy-",1
ENSMUSG00000020102,Butyl caprylate,-1
ENSMUSG00000020102,Desmethylverapamil,-1
ENSMUSG00000050493,9-Octadecenoic acid,1
ENSMUSG00000050493,D-Arabinose,-1
ENSMUSG00000043059,Pentanoic acid,1
ENSMUSG00000005510,N-Acetylglucosamine,1
ENSMUSG00000024687,L-Isoleucine,1
ENSMUSG00000024687,L-Valyl-L-leucine,-1
ENSMUSG00000024687,Tyrosine,1
ENSMUSG00000030008,1-Hexadecanol,1
ENSMUSG00000030008,9-Octadecen-1-ol,1
ENSMUSG00000030008,phenoxyethanol,1
ENSMUSG00000030008,Ribitol,1
ENSMUSG00000021377,2-Pyrrolidinone,1
ENSMUSG00000018322,3-Buten-2-one,-1
ENSMUSG00000018322,Kojic acid,1
ENSMUSG00000018322,Syringaldehyde,1
ENSMUSG00000062937,"2,3,4-Trihydroxybutyric acid",1
ENSMUSG00000062937,3-Pyridylcarbinol,1
ENSMUSG00000062937,4-Pyridinol,1
ENSMUSG00000062937,Acetoacetic acid,1
ENSMUSG00000062937,"cis-4,5-Dihydroxy-o-dithiane",1
ENSMUSG00000062937,Cytosine,1
ENSMUSG00000062937,Dihydrouracil,1
ENSMUSG00000062937,D-Mannose,1
ENSMUSG00000062937,Hydracrylic acid,1
ENSMUSG00000062937,Ribitol,1
ENSMUSG00000062937,Urea,1
ENSMUSG00000004040,Argininosuccinic acid,1
ENSMUSG00000004040,11-Methyldodecanol,1
ENSMUSG00000004040,2-Hydroxy-5-methoxybenzaldehyde,1
ENSMUSG00000004040,2-tert-Butyl-4-ethylphenol ,1
ENSMUSG00000004040,"Arabino-Hexonic acid, 2-deoxy-, gamma-lactone",1
ENSMUSG00000004040,Arachidic acid,1
ENSMUSG00000004040,"Benzenepropanoic acid, 3,5-bis(1,1-dimethylethyl)-4-hydroxy-, methyl ester",1
ENSMUSG00000004040,"Cyclopenta[g]-2-benzopyran, 1,3,4,6,7,8-hexahydro-4,6,6,7,8,8-hexamethyl",1
ENSMUSG00000004040,Desmethylverapamil,1
ENSMUSG00000004040,Heptadecanoic acid,1
ENSMUSG00000004040,"Hexadecanoic acid, ethyl ester",1
ENSMUSG00000004040,"Hexadecanoic acid, methyl ester",1
ENSMUSG00000004040,Isopropyl myristate,1
ENSMUSG00000004040,Methyl stearate,1
ENSMUSG00000004040,Methylmaleic acid,1
ENSMUSG00000004040,"N,N-Diethyl-carbamate",1
ENSMUSG00000004040,Nonadecanoic acid,1
ENSMUSG00000004040,Pentadecanoic acid,1
ENSMUSG00000004040,phenoxyethanol,1
ENSMUSG00000024740,"5,8,11-Eicosatrienoic acid",1
ENSMUSG00000024740,Palmitelaidic acid,1
ENSMUSG00000038836,"2-Butenoic acid, 2-hydroxy-",1
ENSMUSG00000038836,3-Amino-2-piperidone,1
ENSMUSG00000038836,Hydroquinone,1
ENSMUSG00000038836,Kojic acid,1
ENSMUSG00000038836,L-Fucose,1
ENSMUSG00000038836,N-(2-hydroxyethyl)-succinimide,1
ENSMUSG00000006777,Dihydrouracil,1
ENSMUSG00000017405,2'-Desoxyuridine,1
ENSMUSG00000017405,"Hexadecanoic acid, tetradecyl ester",1
ENSMUSG00000040158,3-Methylvaleric acid,1
ENSMUSG00000040158,Acetoacetic acid,-1
ENSMUSG00000024253,Acetohydroxamic acid,1
ENSMUSG00000024253,2-Ethylacetoacetate,1
ENSMUSG00000024253,3-Amino-2-piperidone,1
ENSMUSG00000024253,4-Methyl-5-thiazoleethanol,1
ENSMUSG00000024253,Butyl Succinate,1
ENSMUSG00000024253,"cis-4,5-Dihydroxy-o-dithiane",1
ENSMUSG00000024253,Hymexazole,1
ENSMUSG00000024253,Norketamine,-1
ENSMUSG00000019897,Sedoheptulose anhydride,1
ENSMUSG00000019897,Tripropylene glycol monomethyl ether,1
ENSMUSG00000031451,4-hydroxycyclohexylacetate,-1
ENSMUSG00000031751,alpha-Tocopheryl acetate,1
ENSMUSG00000030691,Cyclohexanecarboxylic acid,1
ENSMUSG00000030691,Ribonic acid,1
ENSMUSG00000029178,L-Isoleucine,1
ENSMUSG00000029178,Serine,1
ENSMUSG00000035640,N-Acetyl glucosamine methoxime,-1
ENSMUSG00000024168,1-Tetradecanol,1
ENSMUSG00000024168,"2,3-Butanediol",1
ENSMUSG00000024168,L-Rhamnose,1
ENSMUSG00000024168,Pentanedioic acid,1
ENSMUSG00000024168,Valylglycine,1
ENSMUSG00000001687,L-Serine,1
ENSMUSG00000001687,9-Octadecenamide,1
ENSMUSG00000001687,"Hexadecanoic acid, tetradecyl ester",1
ENSMUSG00000001687,"Trimethylsilyl (5-benzyl-3,6-dioxopiperazin-2-yl)acetate",1
ENSMUSG00000001687,Urea,1
ENSMUSG00000029790,2-Ethylhexanoic acid,1
ENSMUSG00000029790,4-Methyl-5-thiazoleethanol,1
ENSMUSG00000029790,"cis-4,5-Dihydroxy-o-dithiane",1
ENSMUSG00000029790,D-(-)-Fructofuranose,1
ENSMUSG00000029790,D-(+)-Glucosamine,1
ENSMUSG00000029790,Kojic acid,1
ENSMUSG00000029790,Tyrosine,1
ENSMUSG00000030703,Deoxycholic Acid,-1
ENSMUSG00000030703,Monocaprylin,1
ENSMUSG00000008140,2-Hydroxy-5-methoxybenzaldehyde,1
ENSMUSG00000008140,Monocaprylin,-1
ENSMUSG00000035011,1-Hexacosene,1
ENSMUSG00000035011,alpha-Linolenic acid,1
ENSMUSG00000035011,Benzoic Acid,1
ENSMUSG00000001855,L-Hydroxyproline,1
ENSMUSG00000001855,Decanoic acid,1
ENSMUSG00000028826,3-(3-Hydroxyphenyl)propanoic acid,1
ENSMUSG00000028826,Ferulic acid,1
ENSMUSG00000028826,Lactic Acid,1
ENSMUSG00000028826,N-(2-hydroxyethyl)-succinimide,1
ENSMUSG00000007892,Syringic acid,1
ENSMUSG00000000305,L-Asparagine,-1
ENSMUSG00000000305,2-Octanol,1
