brain_name,direction_brain,type_brain,CSF_name,direction_CSF,type_CSF,VECPAC r,VECPAC n,LPS r,LPS n,DSS r,DSS n,non-NaN_treatment_groups,Pooled r,Pooled n,Pooled_r_valid,Pooled FDR,FDR < 0.15,within_model_sign,pooled_sign,predicted_effect_sign,within_model = pooled,number within_model = pooled_n,within_model = predicted,number within_model = predicted,predicted = pooled,number predicted = pooled,all_signs_agree,number all_signs_agree
ENSMUSG00000011831,,CPX,"Benzoic acid, methyl ester",-1,CSF,0.5,3,1.0,6,0.5,3,3,0.9020979020979022,12,True,0.0740152446143346,True,1.0,1.0,,1.0,2,,1,,1,1.0,2
ENSMUSG00000064246,,CPX,Salsoline,1,CSF,-1.0,3,-0.7999999999999999,4,-0.5,3,3,-0.8787878787878788,10,True,0.1410824639713237,True,-1.0,-1.0,,-1.0,2,,1,,1,-1.0,2
ENSMUSG00000028626,,CPX,Salsoline,1,CSF,1.0,3,0.7999999999999999,4,1.0,3,3,0.9030303030303028,10,True,0.122825342636201,True,1.0,1.0,,1.0,2,,1,,1,1.0,2
ENSMUSG00000058351,,CPX,Frangulin,-1,CSF,-0.5,3,-0.7378647873726218,4,,0,2,-0.912141875543738,9,True,0.1397985201150076,True,-1.0,-1.0,,-1.0,2,,1,,1,-1.0,2
ENSMUSG00000039194,,CPX,"L-Histidine, N,1-bis(tert-butyldimethylsilyl)-",-1,CSF,0.5,3,0.5797710356524484,6,1.0,3,3,0.8315840663996671,12,True,0.1410684749713042,True,1.0,1.0,,1.0,2,,1,,1,1.0,2
ENSMUSG00000002660,,CPX,Glycolic acid,1,CSF,1.0,3,0.8116794499134279,6,1.0,3,3,0.8576569119904063,12,True,0.122825342636201,True,1.0,1.0,,1.0,2,,1,,1,1.0,2
ENSMUSG00000048612,,CPX,Benzyl alcohol,1,CSF,-1.0,3,-0.6,6,-1.0,3,3,-0.83601134205196,12,True,0.1397985201150076,True,-1.0,-1.0,,-1.0,2,,1,,1,-1.0,2
ENSMUSG00000048612,,CPX,Ketamine,1,CSF,-1.0,3,-0.8986451052612952,6,-1.0,3,3,-0.8905094008526766,12,True,0.0779691887416785,True,-1.0,-1.0,,-1.0,2,,1,,1,-1.0,2
ENSMUSG00000054720,,CPX,Oxalic acid,1,CSF,-0.8660254037844387,3,-0.753702346348183,6,-0.8660254037844387,3,3,-0.8328720726066299,12,True,0.1410684749713042,True,-1.0,-1.0,,-1.0,2,,1,,1,-1.0,2
ENSMUSG00000031922,,CPX,Oleamide,1,CSF,-0.5,3,-0.6,6,-1.0,3,3,-0.8380489500927585,12,True,0.1397985201150076,True,-1.0,-1.0,,-1.0,2,,1,,1,-1.0,2
ENSMUSG00000047141,,CPX,Aceturic acid,-1,CSF,0.5,3,0.8857142857142858,6,,0,2,0.8792733518259361,11,True,0.122825342636201,True,1.0,1.0,,1.0,2,,1,,1,1.0,2
ENSMUSG00000032288,,CPX,DL-p-Hydroxyphenyllactic acid,-1,CSF,-0.5,3,-0.8207826816681233,5,-1.0,3,3,-0.8838291723017182,11,True,0.1181470404054007,True,-1.0,-1.0,,-1.0,2,,1,,1,-1.0,2
ENSMUSG00000029438,,CPX,Salsoline,1,CSF,-1.0,3,-0.7999999999999999,4,-1.0,3,3,-0.9636363636363636,10,True,0.032011002102454,True,-1.0,-1.0,,-1.0,2,,1,,1,-1.0,2
ENSMUSG00000035293,,CPX,6-Methyluracil,-1,CSF,-1.0,3,-0.8406680016960503,6,-1.0,3,3,-0.8682018740230752,12,True,0.1083987191191021,True,-1.0,-1.0,,-1.0,2,,1,,1,-1.0,2
ENSMUSG00000035293,,CPX,"Kojic acid, bis(tert-butyldimethylsilyl) ether",-1,CSF,-1.0,3,-0.8857142857142858,6,-1.0,3,3,-0.8531468531468532,12,True,0.1320099876980142,True,-1.0,-1.0,,-1.0,2,,1,,1,-1.0,2
ENSMUSG00000022199,,CPX,"2,2'-Bipyridine",-1,CSF,-0.5,3,-0.7826908981308054,6,-1.0,3,3,-0.8365669879250683,12,True,0.1397985201150076,True,-1.0,-1.0,,-1.0,2,,1,,1,-1.0,2
ENSMUSG00000022199,,CPX,"2,3-Butanediol, O-(trimethylsilyl)-, monoacetate",-1,CSF,-1.0,3,-0.8720815992723809,5,-0.8660254037844387,3,3,-0.8467406314626085,11,True,0.1495547607717696,True,-1.0,-1.0,,-1.0,2,,1,,1,-1.0,2
ENSMUSG00000044365,,CPX,"2',5'-Dimethoxypropiophenone",-1,CSF,1.0,3,0.7714285714285715,6,0.5,3,3,0.833626497322632,12,True,0.1410684749713042,True,1.0,1.0,,1.0,2,,1,,1,1.0,2
ENSMUSG00000044365,,CPX,Aceturic acid,-1,CSF,1.0,3,0.7714285714285715,6,,0,2,0.8974966337290643,11,True,0.0931518790188005,True,1.0,1.0,,1.0,2,,1,,1,1.0,2
ENSMUSG00000044365,,CPX,Cyclooctylamine,-1,CSF,0.5,3,0.8285714285714287,6,1.0,3,3,0.8365669879250683,12,True,0.1397985201150076,True,1.0,1.0,,1.0,2,,1,,1,1.0,2
