Gene,ctx_direction,Metabolite,cpx_direction,Sign,edge_direction
ENSMUSG00000028552-B,-1.0,2-Aminoquinolin-8-ol,,+,
ENSMUSG00000028552-B,-1.0,"3-Hydroxy-7,3',4',5'-tetramethoxyflavone",,-,
ENSMUSG00000028552-B,-1.0,"Benzene, 1-ethyl-3,5-dimethyl",,+,
ENSMUSG00000028552-B,-1.0,Glycine,-1.0,-,1.0
ENSMUSG00000028552-B,-1.0,Isosorbide,,-,
ENSMUSG00000028552-B,-1.0,L-(+)-Threose,,+,
ENSMUSG00000028552-B,-1.0,L-Threonine,,+,
ENSMUSG00000028552-B,-1.0,Octadecanoic acid,,-,
ENSMUSG00000028637-B,-1.0,"1,2-Bis(trimethylsiloxy)cyclohexene",,+,
ENSMUSG00000028637-B,-1.0,2-Norbornanemethanol,,-,
ENSMUSG00000028637-B,-1.0,"3-Hydroxy-7,3',4',5'-tetramethoxyflavone",,+,
ENSMUSG00000028637-B,-1.0,"N-[(3,4,5-Trimethoxyphenyl)methylidene]hydroxylamine",,+,
ENSMUSG00000028637-B,-1.0,Norephedrine,,+,
ENSMUSG00000028688-B,-1.0,"1,2-Bis(trimethylsiloxy)cyclohexene",,-,
ENSMUSG00000028688-B,-1.0,"1,2-Cinnolinedicarboxylic acid, 1,2,3,5,6,7,8,8a-octahydro-4-trimethylsilyloxy-, diethyl ester",,+,
ENSMUSG00000028688-B,-1.0,"13-Docosenamide, (Z)",,-,
ENSMUSG00000028688-B,-1.0,"2,4-Dimethoxybenzaldoxime",,-,
ENSMUSG00000028688-B,-1.0,2-Norbornanemethanol,,+,
ENSMUSG00000028688-B,-1.0,7-Hydroxy-4-(methoxymethyl)coumarin,,-,
ENSMUSG00000028688-B,-1.0,Isosorbide,,+,
ENSMUSG00000028688-B,-1.0,Thymol,1.0,-,-1.0
ENSMUSG00000028706-B,-1.0,"3-Hydroxy-7,3',4',5'-tetramethoxyflavone",,-,
ENSMUSG00000028706-B,-1.0,7-Hydroxy-4-(methoxymethyl)coumarin,,-,
ENSMUSG00000028706-B,-1.0,"l-Leucine, n-butoxycarbonyl-N-methyl-, hexadecyl ester",,-,
ENSMUSG00000028706-B,-1.0,Tyr-Val,,-,
ENSMUSG00000028763-B,1.0,"13-Docosenamide, (Z)",,-,
ENSMUSG00000028763-B,1.0,2-Aminoquinolin-8-ol,,-,
ENSMUSG00000028763-B,1.0,"3,3-Dimethylacrylic acid",,-,
ENSMUSG00000028763-B,1.0,"3,4-Dihydroxybenzaldehyde",,-,
ENSMUSG00000028763-B,1.0,"3-Hydroxy-7,3',4',5'-tetramethoxyflavone",,+,
ENSMUSG00000028763-B,1.0,"Benzene, 1-ethyl-3,5-dimethyl",,-,
ENSMUSG00000028763-B,1.0,L-(+)-Threose,,-,
ENSMUSG00000028763-B,1.0,L-Val-L-Leu,,-,
ENSMUSG00000028763-B,1.0,"Oxymorphone, bis(trimethylsilyl) ether",1.0,-,1.0
ENSMUSG00000028763-B,1.0,Tyr-Val,,+,
ENSMUSG00000028776-B,-1.0,"1-(2,4-Dimethoxyphenyl)-propan-2-one",-1.0,-,1.0
ENSMUSG00000028776-B,-1.0,"1,2-Cinnolinedicarboxylic acid, 1,2,3,5,6,7,8,8a-octahydro-4-trimethylsilyloxy-, diethyl ester",,+,
ENSMUSG00000028776-B,-1.0,2-Norbornanemethanol,,+,
ENSMUSG00000028776-B,-1.0,3-(4-Methoxyphenyl)coumarin,,+,
ENSMUSG00000028776-B,-1.0,"3,4-Dihydroxybenzaldehyde",,-,
ENSMUSG00000028776-B,-1.0,cis-2-Decenoic acid,,-,
ENSMUSG00000028776-B,-1.0,"l-Leucine, n-butoxycarbonyl-N-methyl-, hexadecyl ester",,+,
ENSMUSG00000028776-B,-1.0,Malic acid,1.0,-,-1.0
ENSMUSG00000028776-B,-1.0,Tyr-Val,,+,
ENSMUSG00000028776-B,-1.0,Uracil,1.0,-,-1.0
ENSMUSG00000028807-B,-1.0,"1,2-Bis(trimethylsiloxy)cyclohexene",,-,
ENSMUSG00000028807-B,-1.0,"3-Hydroxy-7,3',4',5'-tetramethoxyflavone",,-,
ENSMUSG00000028807-B,-1.0,"Benzene, 1-ethyl-3,5-dimethyl",,+,
ENSMUSG00000028807-B,-1.0,L-(+)-Threose,,+,
ENSMUSG00000028807-B,-1.0,L-Threonine,,+,
ENSMUSG00000028807-B,-1.0,Tyr-Val,,-,
ENSMUSG00000028871-B,-1.0,2-Aminoquinolin-8-ol,,+,
ENSMUSG00000028871-B,-1.0,3-(4-Methoxyphenyl)coumarin,,+,
ENSMUSG00000028871-B,-1.0,"3,4-Dihydroxybenzaldehyde",,-,
ENSMUSG00000028871-B,-1.0,cis-2-Decenoic acid,,-,
ENSMUSG00000028871-B,-1.0,L-Glutamic acid,,-,
ENSMUSG00000028871-B,-1.0,"N-[(3,4,5-Trimethoxyphenyl)methylidene]hydroxylamine",,+,
ENSMUSG00000028948-B,-1.0,"13-Docosenamide, (Z)",,-,
ENSMUSG00000028948-B,-1.0,2-Aminoquinolin-8-ol,,-,
ENSMUSG00000028948-B,-1.0,2-Norbornanemethanol,,+,
ENSMUSG00000028948-B,-1.0,"3,4-Dihydroxybenzaldehyde",,+,
ENSMUSG00000028948-B,-1.0,cis-2-Decenoic acid,,+,
ENSMUSG00000028948-B,-1.0,L-Val-L-Leu,,+,
ENSMUSG00000029176-B,-1.0,"3,4-Dihydroxybenzaldehyde",,+,
ENSMUSG00000029176-B,-1.0,"3-Hydroxy-7,3',4',5'-tetramethoxyflavone",,-,
ENSMUSG00000029176-B,-1.0,cis-2-Decenoic acid,,-,
ENSMUSG00000029176-B,-1.0,Luciferin,,-,
ENSMUSG00000029176-B,-1.0,"N-[(3,4,5-Trimethoxyphenyl)methylidene]hydroxylamine",,-,
ENSMUSG00000029176-B,-1.0,Sulindac,,-,
ENSMUSG00000029176-B,-1.0,Tyr-Val,,-,
ENSMUSG00000029245-B,-1.0,"1,2-Cinnolinedicarboxylic acid, 1,2,3,5,6,7,8,8a-octahydro-4-trimethylsilyloxy-, diethyl ester",,+,
ENSMUSG00000029245-B,-1.0,2-Norbornanemethanol,,+,
ENSMUSG00000029245-B,-1.0,cis-2-Decenoic acid,,+,
ENSMUSG00000029245-B,-1.0,Isosorbide,,-,
ENSMUSG00000029245-B,-1.0,L-Ornithine,,+,
ENSMUSG00000029245-B,-1.0,"N-[(3,4,5-Trimethoxyphenyl)methylidene]hydroxylamine",,+,
ENSMUSG00000029245-B,-1.0,Octadecanoic acid,,-,
ENSMUSG00000029433-B,1.0,"1,2-Bis(trimethylsiloxy)cyclohexene",,+,
ENSMUSG00000029433-B,1.0,"1,2-Cinnolinedicarboxylic acid, 1,2,3,5,6,7,8,8a-octahydro-4-trimethylsilyloxy-, diethyl ester",,-,
ENSMUSG00000029433-B,1.0,2-Norbornanemethanol,,-,
ENSMUSG00000029433-B,1.0,"3-Hydroxy-7,3',4',5'-tetramethoxyflavone",,+,
ENSMUSG00000029433-B,1.0,L-(+)-Threose,,+,
ENSMUSG00000029433-B,1.0,"N-[(3,4,5-Trimethoxyphenyl)methylidene]hydroxylamine",,+,
ENSMUSG00000029551-B,-1.0,"3,4-Dihydroxybenzaldehyde",,+,
ENSMUSG00000029551-B,-1.0,"3-Hydroxy-7,3',4',5'-tetramethoxyflavone",,-,
ENSMUSG00000029551-B,-1.0,"4,5-Dihydro-1H-pyrazole",,+,
ENSMUSG00000029551-B,-1.0,7-Hydroxy-4-(methoxymethyl)coumarin,,-,
ENSMUSG00000029551-B,-1.0,Citramalic acid,1.0,-,-1.0
ENSMUSG00000029551-B,-1.0,Luciferin,,-,
ENSMUSG00000029551-B,-1.0,L-Val-L-Leu,,-,
ENSMUSG00000029551-B,-1.0,m-Toluic acid,1.0,-,-1.0
ENSMUSG00000029551-B,-1.0,"N-[(3,4,5-Trimethoxyphenyl)methylidene]hydroxylamine",,+,
ENSMUSG00000029551-B,-1.0,Tyr-Val,,-,
ENSMUSG00000029569-B,-1.0,"1,2-Cinnolinedicarboxylic acid, 1,2,3,5,6,7,8,8a-octahydro-4-trimethylsilyloxy-, diethyl ester",,-,
ENSMUSG00000029569-B,-1.0,"2,4-Dimethoxybenzaldoxime",,-,
ENSMUSG00000029569-B,-1.0,"3-Hydroxy-7,3',4',5'-tetramethoxyflavone",,-,
ENSMUSG00000029569-B,-1.0,Isosorbide,,-,
ENSMUSG00000029569-B,-1.0,L-(+)-Threose,,+,
ENSMUSG00000029569-B,-1.0,Luciferin,,-,
ENSMUSG00000029569-B,-1.0,L-Val-L-Leu,,-,
ENSMUSG00000029569-B,-1.0,"N-[(3,4,5-Trimethoxyphenyl)methylidene]hydroxylamine",,+,
ENSMUSG00000029569-B,-1.0,Octadecanoic acid,,-,
ENSMUSG00000029660-B,-1.0,Glabridin,,+,
ENSMUSG00000029660-B,-1.0,L-Val-L-Leu,,-,
ENSMUSG00000029660-B,-1.0,Tyr-Val,,-,
ENSMUSG00000029699-B,1.0,"13-Docosenamide, (Z)",,+,
ENSMUSG00000029699-B,1.0,"3,3-Dimethylacrylic acid",,-,
ENSMUSG00000029699-B,1.0,"3-Hydroxy-7,3',4',5'-tetramethoxyflavone",,+,
ENSMUSG00000029699-B,1.0,Biphenyl,-1.0,-,-1.0
ENSMUSG00000029913-B,-1.0,"1,2-Bis(trimethylsiloxy)cyclohexene",,-,
ENSMUSG00000029913-B,-1.0,"13-Docosenamide, (Z)",,+,
ENSMUSG00000029913-B,-1.0,"2,4-Dimethoxybenzaldoxime",,+,
ENSMUSG00000029913-B,-1.0,2-Aminoquinolin-8-ol,,+,
ENSMUSG00000029913-B,-1.0,"3-Hydroxy-7,3',4',5'-tetramethoxyflavone",,-,
ENSMUSG00000029913-B,-1.0,cis-2-Decenoic acid,,-,
ENSMUSG00000029913-B,-1.0,Isosorbide,,-,
ENSMUSG00000029913-B,-1.0,L-Ornithine,,+,
ENSMUSG00000029913-B,-1.0,L-Val-L-Leu,,+,
ENSMUSG00000029913-B,-1.0,Octadecanoic acid,,-,
ENSMUSG00000029915-B,1.0,"1,2-Bis(trimethylsiloxy)cyclohexene",,+,
ENSMUSG00000029915-B,1.0,"2,4-Dimethoxybenzaldoxime",,-,
ENSMUSG00000029915-B,1.0,Glabridin,,-,
ENSMUSG00000029915-B,1.0,L-(+)-Threose,,-,
ENSMUSG00000029915-B,1.0,tert-butyl(dimethyl)silyl-2-([tert-butyl(dimethyl)silyl]oxy)hex-2-enoate,,-,
ENSMUSG00000030047-B,-1.0,"1,2-Cinnolinedicarboxylic acid, 1,2,3,5,6,7,8,8a-octahydro-4-trimethylsilyloxy-, diethyl ester",,+,
ENSMUSG00000030047-B,-1.0,cis-2-Decenoic acid,,+,
ENSMUSG00000030047-B,-1.0,Isosorbide,,-,
ENSMUSG00000030047-B,-1.0,L-Ornithine,,+,
ENSMUSG00000030047-B,-1.0,"N-[(3,4,5-Trimethoxyphenyl)methylidene]hydroxylamine",,+,
ENSMUSG00000030047-B,-1.0,Octadecanoic acid,,-,
ENSMUSG00000030074-B,1.0,2-Aminoquinolin-8-ol,,+,
ENSMUSG00000030074-B,1.0,Luciferin,,-,
ENSMUSG00000030108-B,1.0,"13-Docosenamide, (Z)",,-,
ENSMUSG00000030108-B,1.0,"3-Hydroxy-7,3',4',5'-tetramethoxyflavone",,+,
ENSMUSG00000030108-B,1.0,cis-2-Decenoic acid,,+,
ENSMUSG00000030108-B,1.0,"l-Leucine, n-butoxycarbonyl-N-methyl-, hexadecyl ester",,+,
ENSMUSG00000030111-B,1.0,"1,2-Cinnolinedicarboxylic acid, 1,2,3,5,6,7,8,8a-octahydro-4-trimethylsilyloxy-, diethyl ester",,-,
ENSMUSG00000030111-B,1.0,2-Aminoquinolin-8-ol,,+,
ENSMUSG00000030111-B,1.0,"3,4-Dihydroxybenzaldehyde",,-,
ENSMUSG00000030111-B,1.0,cis-2-Decenoic acid,,-,
ENSMUSG00000030111-B,1.0,L-(+)-Threose,,+,
ENSMUSG00000030111-B,1.0,L-Glutamic acid,,-,
ENSMUSG00000030189-B,1.0,"1,2-Bis(trimethylsiloxy)cyclohexene",,+,
ENSMUSG00000030189-B,1.0,2-Aminoquinolin-8-ol,,+,
ENSMUSG00000030189-B,1.0,2-Norbornanemethanol,,+,
ENSMUSG00000030189-B,1.0,"3,4-Dihydroxybenzaldehyde",,-,
ENSMUSG00000030189-B,1.0,"3-Hydroxy-7,3',4',5'-tetramethoxyflavone",,+,
ENSMUSG00000030189-B,1.0,cis-2-Decenoic acid,,-,
ENSMUSG00000030189-B,1.0,L-(+)-Threose,,-,
ENSMUSG00000030189-B,1.0,"N-[(3,4,5-Trimethoxyphenyl)methylidene]hydroxylamine",,-,
ENSMUSG00000030189-B,1.0,Tyr-Val,,+,
ENSMUSG00000030224-B,-1.0,"1,2-Bis(trimethylsiloxy)cyclohexene",,-,
ENSMUSG00000030224-B,-1.0,"1,2-Cinnolinedicarboxylic acid, 1,2,3,5,6,7,8,8a-octahydro-4-trimethylsilyloxy-, diethyl ester",,-,
ENSMUSG00000030224-B,-1.0,2-Aminoquinolin-8-ol,,+,
ENSMUSG00000030224-B,-1.0,"2-Methylcyclohexanol, (Z)",1.0,-,-1.0
ENSMUSG00000030224-B,-1.0,3-(4-Methoxyphenyl)coumarin,,+,
ENSMUSG00000030224-B,-1.0,"3-Hydroxy-7,3',4',5'-tetramethoxyflavone",,-,
ENSMUSG00000030224-B,-1.0,cis-2-Decenoic acid,,-,
ENSMUSG00000030224-B,-1.0,Glycine,-1.0,-,1.0
ENSMUSG00000030224-B,-1.0,Isosorbide,,-,
ENSMUSG00000030224-B,-1.0,L-(+)-Threose,,-,
ENSMUSG00000030224-B,-1.0,L-Val-L-Leu,,-,
ENSMUSG00000030224-B,-1.0,Octadecanoic acid,,-,
ENSMUSG00000030271-B,-1.0,2-Aminoquinolin-8-ol,,+,
ENSMUSG00000030271-B,-1.0,"2-Methylcyclohexanol, (Z)",1.0,-,-1.0
ENSMUSG00000030271-B,-1.0,"3,4-Dihydroxybenzaldehyde",,-,
ENSMUSG00000030271-B,-1.0,cis-2-Decenoic acid,,-,
ENSMUSG00000030271-B,-1.0,Glycine,-1.0,-,1.0
ENSMUSG00000030271-B,-1.0,L-(+)-Threose,,+,
ENSMUSG00000030271-B,-1.0,L-Glutamic acid,,-,
ENSMUSG00000030271-B,-1.0,L-Val-L-Leu,,-,
ENSMUSG00000030401-B,-1.0,"1,2-Bis(trimethylsiloxy)cyclohexene",,-,
ENSMUSG00000030401-B,-1.0,"13-Docosenamide, (Z)",,-,
ENSMUSG00000030401-B,-1.0,2-Norbornanemethanol,,+,
ENSMUSG00000030401-B,-1.0,"3,3-Dimethylacrylic acid",,+,
ENSMUSG00000030401-B,-1.0,"3-Hydroxy-7,3',4',5'-tetramethoxyflavone",,-,
ENSMUSG00000030401-B,-1.0,Chlorobenzilate ,,-,
ENSMUSG00000030889-B,1.0,2-Aminoquinolin-8-ol,,-,
ENSMUSG00000030889-B,1.0,"3,4-Dihydroxybenzaldehyde",,+,
ENSMUSG00000030889-B,1.0,7-Hydroxy-4-(methoxymethyl)coumarin,,+,
ENSMUSG00000030889-B,1.0,Luciferin,,+,
ENSMUSG00000030889-B,1.0,m-Toluic acid,1.0,+,1.0
ENSMUSG00000030889-B,1.0,"N-[(3,4,5-Trimethoxyphenyl)methylidene]hydroxylamine",,+,
ENSMUSG00000030889-B,1.0,Octadecanoic acid,,+,
ENSMUSG00000030942-B,-1.0,"13-Docosenamide, (Z)",,-,
ENSMUSG00000030942-B,-1.0,"2,4-Dimethoxybenzaldoxime",,-,
ENSMUSG00000030942-B,-1.0,Chlorobenzilate ,,-,
ENSMUSG00000030942-B,-1.0,L-Glutamic acid,,-,
ENSMUSG00000030942-B,-1.0,"l-Leucine, n-butoxycarbonyl-N-methyl-, hexadecyl ester",,+,
ENSMUSG00000030942-B,-1.0,Sulindac,,-,
ENSMUSG00000030942-B,-1.0,tert-butyl(dimethyl)silyl-2-([tert-butyl(dimethyl)silyl]oxy)hex-2-enoate,,-,
ENSMUSG00000031059-B,1.0,"1,2-Cinnolinedicarboxylic acid, 1,2,3,5,6,7,8,8a-octahydro-4-trimethylsilyloxy-, diethyl ester",,-,
ENSMUSG00000031059-B,1.0,"13-Docosenamide, (Z)",,-,
ENSMUSG00000031059-B,1.0,"2,4-Dimethoxybenzaldoxime",,-,
ENSMUSG00000031059-B,1.0,2-Aminoquinolin-8-ol,,+,
ENSMUSG00000031059-B,1.0,"3,4-Dihydroxybenzaldehyde",,-,
ENSMUSG00000031059-B,1.0,Chlorobenzilate ,,-,
ENSMUSG00000031099-B,1.0,"1,2-Bis(trimethylsiloxy)cyclohexene",,+,
ENSMUSG00000031099-B,1.0,"13-Docosenamide, (Z)",,-,
ENSMUSG00000031099-B,1.0,"2,4-Dimethoxybenzaldoxime",,-,
ENSMUSG00000031099-B,1.0,2-Aminoquinolin-8-ol,,-,
ENSMUSG00000031099-B,1.0,"3,3-Dimethylacrylic acid",,-,
ENSMUSG00000031099-B,1.0,"Benzene, 1-ethyl-3,5-dimethyl",,-,
ENSMUSG00000031099-B,1.0,L-(+)-Threose,,-,
ENSMUSG00000031099-B,1.0,Octadecanoic acid,,+,
ENSMUSG00000031264-B,1.0,2-Aminoquinolin-8-ol,,-,
ENSMUSG00000031264-B,1.0,cis-2-Decenoic acid,,+,
ENSMUSG00000031264-B,1.0,Isosorbide,,-,
ENSMUSG00000031264-B,1.0,L-Val-L-Leu,,+,
ENSMUSG00000031264-B,1.0,Tyr-Val,,+,
ENSMUSG00000031355-B,-1.0,"13-Docosenamide, (Z)",,+,
ENSMUSG00000031355-B,-1.0,2-Aminoquinolin-8-ol,,+,
ENSMUSG00000031355-B,-1.0,"3,3-Dimethylacrylic acid",,-,
ENSMUSG00000031355-B,-1.0,"Benzene, 1-ethyl-3,5-dimethyl",,+,
ENSMUSG00000031355-B,-1.0,cis-2-Decenoic acid,,-,
ENSMUSG00000031355-B,-1.0,L-(+)-Threose,,+,
ENSMUSG00000031355-B,-1.0,Luciferin,,-,
ENSMUSG00000031409-B,-1.0,2-Aminoquinolin-8-ol,,+,
ENSMUSG00000031409-B,-1.0,2-Ethyl-1-butanol,-1.0,+,1.0
ENSMUSG00000031409-B,-1.0,2-Norbornanemethanol,,-,
ENSMUSG00000031409-B,-1.0,"3-Hydroxy-7,3',4',5'-tetramethoxyflavone",,-,
ENSMUSG00000031409-B,-1.0,Isosorbide,,-,
ENSMUSG00000031409-B,-1.0,Luciferin,,-,
ENSMUSG00000031409-B,-1.0,L-Val-L-Leu,,+,
ENSMUSG00000031409-B,-1.0,"N-[(3,4,5-Trimethoxyphenyl)methylidene]hydroxylamine",,+,
ENSMUSG00000031409-B,-1.0,Octadecanoic acid,,-,
ENSMUSG00000031659-B,-1.0,"1,2-Bis(trimethylsiloxy)cyclohexene",,+,
ENSMUSG00000031659-B,-1.0,"1,2-Cinnolinedicarboxylic acid, 1,2,3,5,6,7,8,8a-octahydro-4-trimethylsilyloxy-, diethyl ester",,-,
ENSMUSG00000031659-B,-1.0,"2,4-Dimethoxybenzaldoxime",,+,
ENSMUSG00000031659-B,-1.0,2-Aminoquinolin-8-ol,,+,
ENSMUSG00000031659-B,-1.0,2-Norbornanemethanol,,-,
ENSMUSG00000031659-B,-1.0,7-Hydroxy-4-(methoxymethyl)coumarin,,-,
ENSMUSG00000031659-B,-1.0,cis-2-Decenoic acid,,-,
ENSMUSG00000031659-B,-1.0,Isosorbide,,+,
ENSMUSG00000031659-B,-1.0,L-Val-L-Leu,,-,
ENSMUSG00000031659-B,-1.0,"N-[(3,4,5-Trimethoxyphenyl)methylidene]hydroxylamine",,-,
ENSMUSG00000031659-B,-1.0,Octadecanoic acid,,+,
ENSMUSG00000031659-B,-1.0,Tyr-Val,,-,
ENSMUSG00000031734-B,1.0,"1,2-Bis(trimethylsiloxy)cyclohexene",,-,
ENSMUSG00000031734-B,1.0,"1,2-Cinnolinedicarboxylic acid, 1,2,3,5,6,7,8,8a-octahydro-4-trimethylsilyloxy-, diethyl ester",,+,
ENSMUSG00000031734-B,1.0,"13-Docosenamide, (Z)",,-,
ENSMUSG00000031734-B,1.0,"2,4-Dimethoxybenzaldoxime",,-,
ENSMUSG00000031734-B,1.0,2-Aminoquinolin-8-ol,,-,
ENSMUSG00000031734-B,1.0,cis-2-Decenoic acid,,+,
ENSMUSG00000031734-B,1.0,Isosorbide,,-,
ENSMUSG00000031734-B,1.0,L-Val-L-Leu,,-,
ENSMUSG00000031734-B,1.0,Octadecanoic acid,,-,
ENSMUSG00000031734-B,1.0,Tyr-Val,,+,
ENSMUSG00000031775-B,-1.0,Isosorbide,,+,
ENSMUSG00000031775-B,-1.0,"l-Leucine, n-butoxycarbonyl-N-methyl-, hexadecyl ester",,-,
ENSMUSG00000031775-B,-1.0,L-Val-L-Leu,,-,
ENSMUSG00000031788-B,-1.0,2-Aminoquinolin-8-ol,,+,
ENSMUSG00000031788-B,-1.0,2-Norbornanemethanol,,-,
ENSMUSG00000031788-B,-1.0,Isosorbide,,+,
ENSMUSG00000031788-B,-1.0,L-Val-L-Leu,,+,
ENSMUSG00000031788-B,-1.0,"N-[(3,4,5-Trimethoxyphenyl)methylidene]hydroxylamine",,+,
ENSMUSG00000031844-B,-1.0,"1-(2,4-Dimethoxyphenyl)-propan-2-one",-1.0,-,1.0
ENSMUSG00000031844-B,-1.0,"1,2-Cinnolinedicarboxylic acid, 1,2,3,5,6,7,8,8a-octahydro-4-trimethylsilyloxy-, diethyl ester",,+,
ENSMUSG00000031844-B,-1.0,2-Aminoquinolin-8-ol,,+,
ENSMUSG00000031844-B,-1.0,2-Norbornanemethanol,,-,
ENSMUSG00000031844-B,-1.0,"3,3-Dimethylacrylic acid",,-,
ENSMUSG00000031844-B,-1.0,"3,4-Dihydroxybenzaldehyde",,-,
ENSMUSG00000031844-B,-1.0,4-tert-Butyldimethylsiloxy-3-penten-2-one,,-,
ENSMUSG00000031844-B,-1.0,L-(+)-Threose,,+,
ENSMUSG00000031844-B,-1.0,tert-butyl(dimethyl)silyl-2-([tert-butyl(dimethyl)silyl]oxy)hex-2-enoate,,+,
ENSMUSG00000031844-B,-1.0,Tyr-Val,,+,
ENSMUSG00000031872-B,1.0,"3,4-Dihydroxybenzaldehyde",,+,
ENSMUSG00000031872-B,1.0,"3-Hydroxy-7,3',4',5'-tetramethoxyflavone",,-,
ENSMUSG00000031872-B,1.0,L-Val-L-Leu,,+,
ENSMUSG00000031872-B,1.0,N-Caffeoyl-O-methyltyramine,1.0,-,1.0
ENSMUSG00000031951-B,-1.0,"1,2-Bis(trimethylsiloxy)cyclohexene",,-,
ENSMUSG00000031951-B,-1.0,2-Aminoquinolin-8-ol,,+,
ENSMUSG00000031951-B,-1.0,"3-Hydroxy-7,3',4',5'-tetramethoxyflavone",,+,
ENSMUSG00000031951-B,-1.0,cis-2-Decenoic acid,,-,
ENSMUSG00000031951-B,-1.0,L-Ornithine,,+,
ENSMUSG00000031951-B,-1.0,"N-[(3,4,5-Trimethoxyphenyl)methylidene]hydroxylamine",,-,
ENSMUSG00000031951-B,-1.0,Octadecanoic acid,,-,
ENSMUSG00000032018-B,-1.0,"1,2-Cinnolinedicarboxylic acid, 1,2,3,5,6,7,8,8a-octahydro-4-trimethylsilyloxy-, diethyl ester",,-,
ENSMUSG00000032018-B,-1.0,"2,4-Dimethoxybenzaldoxime",,-,
ENSMUSG00000032018-B,-1.0,2-Aminoquinolin-8-ol,,+,
ENSMUSG00000032018-B,-1.0,"3,4-Dihydroxybenzaldehyde",,-,
ENSMUSG00000032018-B,-1.0,cis-2-Decenoic acid,,-,
ENSMUSG00000032018-B,-1.0,"l-Leucine, n-butoxycarbonyl-N-methyl-, hexadecyl ester",,+,
ENSMUSG00000032018-B,-1.0,L-Val-L-Leu,,-,
ENSMUSG00000032018-B,-1.0,tert-butyl(dimethyl)silyl-2-([tert-butyl(dimethyl)silyl]oxy)hex-2-enoate,,-,
ENSMUSG00000032235-B,1.0,"1,2-Bis(trimethylsiloxy)cyclohexene",,-,
ENSMUSG00000032235-B,1.0,"2,4-Dimethoxybenzaldoxime",,+,
ENSMUSG00000032235-B,1.0,3-(4-Methoxyphenyl)coumarin,,-,
ENSMUSG00000032235-B,1.0,"3,4-Dihydroxybenzaldehyde",,+,
ENSMUSG00000032235-B,1.0,7-Hydroxy-4-(methoxymethyl)coumarin,,+,
ENSMUSG00000032235-B,1.0,cis-2-Decenoic acid,,+,
ENSMUSG00000032235-B,1.0,Diclofenac,,-,
ENSMUSG00000032235-B,1.0,L-(+)-Threose,,+,
ENSMUSG00000032235-B,1.0,L-Val-L-Leu,,+,
ENSMUSG00000032243-B,-1.0,"1,2-Cinnolinedicarboxylic acid, 1,2,3,5,6,7,8,8a-octahydro-4-trimethylsilyloxy-, diethyl ester",,-,
ENSMUSG00000032243-B,-1.0,"13-Docosenamide, (Z)",,+,
ENSMUSG00000032243-B,-1.0,2-Norbornanemethanol,,-,
ENSMUSG00000032243-B,-1.0,cis-2-Decenoic acid,,-,
ENSMUSG00000032243-B,-1.0,L-(+)-Threose,,+,
ENSMUSG00000032251-B,-1.0,"13-Docosenamide, (Z)",,+,
ENSMUSG00000032251-B,-1.0,2-Norbornanemethanol,,-,
ENSMUSG00000032251-B,-1.0,"4,5-Dihydro-1H-pyrazole",,-,
ENSMUSG00000032251-B,-1.0,cis-2-Decenoic acid,,+,
ENSMUSG00000032251-B,-1.0,Isosorbide,,-,
ENSMUSG00000032251-B,-1.0,L-Val-L-Leu,,+,
ENSMUSG00000032251-B,-1.0,tert-butyl(dimethyl)silyl-2-([tert-butyl(dimethyl)silyl]oxy)hex-2-enoate,,+,
ENSMUSG00000032251-B,-1.0,Tyr-Val,,+,
ENSMUSG00000032295-B,1.0,"1,2-Bis(trimethylsiloxy)cyclohexene",,+,
ENSMUSG00000032295-B,1.0,"1,2-Cinnolinedicarboxylic acid, 1,2,3,5,6,7,8,8a-octahydro-4-trimethylsilyloxy-, diethyl ester",,-,
ENSMUSG00000032295-B,1.0,"13-Docosenamide, (Z)",,+,
ENSMUSG00000032295-B,1.0,"2-Butene-1,4-diol",,+,
ENSMUSG00000032295-B,1.0,2-Norbornanemethanol,,-,
ENSMUSG00000032295-B,1.0,"3-Hydroxy-7,3',4',5'-tetramethoxyflavone",,-,
ENSMUSG00000032295-B,1.0,L-Pyroglutamic acid,,+,
ENSMUSG00000032295-B,1.0,L-Val-L-Leu,,+,
ENSMUSG00000032295-B,1.0,Octadecanoic acid,,+,
ENSMUSG00000032300-B,1.0,"1,2-Cinnolinedicarboxylic acid, 1,2,3,5,6,7,8,8a-octahydro-4-trimethylsilyloxy-, diethyl ester",,-,
ENSMUSG00000032300-B,1.0,"13-Docosenamide, (Z)",,+,
ENSMUSG00000032300-B,1.0,2-Aminoquinolin-8-ol,,+,
ENSMUSG00000032300-B,1.0,2-Norbornanemethanol,,-,
ENSMUSG00000032300-B,1.0,"3-Hydroxy-7,3',4',5'-tetramethoxyflavone",,-,
ENSMUSG00000032300-B,1.0,L-(+)-Threose,,+,
ENSMUSG00000032300-B,1.0,"l-Leucine, n-butoxycarbonyl-N-methyl-, hexadecyl ester",,-,
ENSMUSG00000032300-B,1.0,L-Val-L-Leu,,+,
ENSMUSG00000032307-B,1.0,"1,2-Cinnolinedicarboxylic acid, 1,2,3,5,6,7,8,8a-octahydro-4-trimethylsilyloxy-, diethyl ester",,+,
ENSMUSG00000032307-B,1.0,2-Norbornanemethanol,,+,
ENSMUSG00000032307-B,1.0,3-Aminobenzoic acid,1.0,-,1.0
