Gene,ctx_direction,Metabolite,cpx_direction,Sign,edge_direction
ENSMUSG00000006019-B,-1.0,"1,2-Cinnolinedicarboxylic acid, 1,2,3,5,6,7,8,8a-octahydro-4-trimethylsilyloxy-, diethyl ester",,-,
ENSMUSG00000006019-B,-1.0,"13-Docosenamide, (Z)",,+,
ENSMUSG00000006019-B,-1.0,"2,4-Dimethoxybenzaldoxime",,+,
ENSMUSG00000006019-B,-1.0,2-Aminoquinolin-8-ol,,+,
ENSMUSG00000006019-B,-1.0,"3,3-Dimethylacrylic acid",,+,
ENSMUSG00000006019-B,-1.0,"3-Hydroxy-7,3',4',5'-tetramethoxyflavone",,-,
ENSMUSG00000006019-B,-1.0,5-Hydroxy-7-methoxy-2-methyl-3-phenyl-4-chromenone,-1.0,+,1.0
ENSMUSG00000006019-B,-1.0,"Benzene, 1-ethyl-3,5-dimethyl",,+,
ENSMUSG00000006019-B,-1.0,Isosorbide,,-,
ENSMUSG00000006019-B,-1.0,L-(+)-Threose,,+,
ENSMUSG00000006019-B,-1.0,L-Ornithine,,+,
ENSMUSG00000006019-B,-1.0,Octadecanoic acid,,-,
ENSMUSG00000006179-B,1.0,"1,2-Cinnolinedicarboxylic acid, 1,2,3,5,6,7,8,8a-octahydro-4-trimethylsilyloxy-, diethyl ester",,+,
ENSMUSG00000006179-B,1.0,"13-Docosenamide, (Z)",,-,
ENSMUSG00000006179-B,1.0,2-Norbornanemethanol,,+,
ENSMUSG00000006179-B,1.0,"3,4-Dihydroxybenzaldehyde",,+,
ENSMUSG00000006179-B,1.0,cis-2-Decenoic acid,,+,
ENSMUSG00000006179-B,1.0,Glabridin,,-,
ENSMUSG00000006412-B,1.0,"1,2-Cinnolinedicarboxylic acid, 1,2,3,5,6,7,8,8a-octahydro-4-trimethylsilyloxy-, diethyl ester",,-,
ENSMUSG00000006412-B,1.0,"2,4-Dimethoxybenzaldoxime",,-,
ENSMUSG00000006412-B,1.0,2-Aminoquinolin-8-ol,,+,
ENSMUSG00000006412-B,1.0,Isosorbide,,+,
ENSMUSG00000006412-B,1.0,L-Val-L-Leu,,-,
ENSMUSG00000006412-B,1.0,Myristic acid,1.0,-,1.0
ENSMUSG00000006412-B,1.0,Octadecanoic acid,,+,
ENSMUSG00000006412-B,1.0,Pipecolic acid,1.0,-,1.0
ENSMUSG00000006456-B,1.0,"1,2-Bis(trimethylsiloxy)cyclohexene",,+,
ENSMUSG00000006456-B,1.0,Diclofenac,,+,
ENSMUSG00000006456-B,1.0,Isosorbide,,-,
ENSMUSG00000006456-B,1.0,L-(+)-Threose,,-,
ENSMUSG00000006456-B,1.0,L-Val-L-Leu,,-,
ENSMUSG00000006920-B,1.0,"13-Docosenamide, (Z)",,-,
ENSMUSG00000006920-B,1.0,2-Norbornanemethanol,,-,
ENSMUSG00000006920-B,1.0,Isosorbide,,+,
ENSMUSG00000006920-B,1.0,L-Val-L-Leu,,+,
ENSMUSG00000007670-B,-1.0,2-Aminoquinolin-8-ol,,+,
ENSMUSG00000007670-B,-1.0,2-Norbornanemethanol,,+,
ENSMUSG00000007670-B,-1.0,"3-Hydroxy-7,3',4',5'-tetramethoxyflavone",,-,
ENSMUSG00000007670-B,-1.0,cis-2-Decenoic acid,,-,
ENSMUSG00000007670-B,-1.0,L-Val-L-Leu,,+,
ENSMUSG00000007670-B,-1.0,"N-[(3,4,5-Trimethoxyphenyl)methylidene]hydroxylamine",,-,
ENSMUSG00000007721-B,1.0,"3,3-Dimethylacrylic acid",,+,
ENSMUSG00000007721-B,1.0,"3,4-Dihydroxybenzaldehyde",,+,
ENSMUSG00000007721-B,1.0,"3-Hydroxy-7,3',4',5'-tetramethoxyflavone",,-,
ENSMUSG00000007721-B,1.0,"4,5-Dihydro-1H-pyrazole",,+,
ENSMUSG00000007721-B,1.0,Chlorobenzilate ,,-,
ENSMUSG00000007721-B,1.0,L-(+)-Threose,,+,
ENSMUSG00000007721-B,1.0,Tyr-Val,,-,
ENSMUSG00000007837-B,-1.0,"1,2-Bis(trimethylsiloxy)cyclohexene",,-,
ENSMUSG00000007837-B,-1.0,"1,2-Cinnolinedicarboxylic acid, 1,2,3,5,6,7,8,8a-octahydro-4-trimethylsilyloxy-, diethyl ester",,+,
ENSMUSG00000007837-B,-1.0,2-Norbornanemethanol,,+,
ENSMUSG00000007837-B,-1.0,L-(+)-Threose,,+,
ENSMUSG00000007837-B,-1.0,Luciferin,,-,
ENSMUSG00000007837-B,-1.0,L-Val-L-Leu,,-,
ENSMUSG00000007837-B,-1.0,Octadecanoic acid,,-,
ENSMUSG00000008668-B,1.0,"1,2-Cinnolinedicarboxylic acid, 1,2,3,5,6,7,8,8a-octahydro-4-trimethylsilyloxy-, diethyl ester",,-,
ENSMUSG00000008668-B,1.0,"13-Docosenamide, (Z)",,-,
ENSMUSG00000008668-B,1.0,"2,4-Dimethoxybenzaldoxime",,-,
ENSMUSG00000008668-B,1.0,3-(4-Methoxyphenyl)coumarin,,+,
ENSMUSG00000008668-B,1.0,cis-2-Decenoic acid,,-,
ENSMUSG00000008668-B,1.0,L-(+)-Threose,,-,
ENSMUSG00000008668-B,1.0,"l-Leucine, n-butoxycarbonyl-N-methyl-, hexadecyl ester",,+,
ENSMUSG00000008668-B,1.0,L-Val-L-Leu,,-,
ENSMUSG00000008855-B,-1.0,"13-Docosenamide, (Z)",,-,
ENSMUSG00000008855-B,-1.0,Diclofenac,,-,
ENSMUSG00000008855-B,-1.0,Isosorbide,,+,
ENSMUSG00000008958-B,-1.0,"1,2-Bis(trimethylsiloxy)cyclohexene",,+,
ENSMUSG00000008958-B,-1.0,1-Butanol,,-,
ENSMUSG00000008958-B,-1.0,"1-Heptanol, 2-propyl-",,+,
ENSMUSG00000008958-B,-1.0,2-Norbornanemethanol,,-,
ENSMUSG00000008958-B,-1.0,5-Oxohexanoic Acid,1.0,+,-1.0
ENSMUSG00000008958-B,-1.0,6-Nitroveratryl alcohol,,+,
ENSMUSG00000008958-B,-1.0,Glabridin,,+,
ENSMUSG00000008958-B,-1.0,Isosorbide,,+,
ENSMUSG00000008958-B,-1.0,L-Lysine,1.0,+,-1.0
ENSMUSG00000008958-B,-1.0,L-Val-L-Leu,,+,
ENSMUSG00000008958-B,-1.0,"N-[(3,4,5-Trimethoxyphenyl)methylidene]hydroxylamine",,+,
ENSMUSG00000008958-B,-1.0,Octadecanoic acid,,+,
ENSMUSG00000010025-B,-1.0,"1,2-Bis(trimethylsiloxy)cyclohexene",,-,
ENSMUSG00000010025-B,-1.0,2-Aminoquinolin-8-ol,,+,
ENSMUSG00000010025-B,-1.0,2-Norbornanemethanol,,-,
ENSMUSG00000010025-B,-1.0,3-(4-Methoxyphenyl)coumarin,,+,
ENSMUSG00000010025-B,-1.0,cis-2-Decenoic acid,,-,
ENSMUSG00000010025-B,-1.0,L-(+)-Threose,,-,
ENSMUSG00000010025-B,-1.0,"N-[(3,4,5-Trimethoxyphenyl)methylidene]hydroxylamine",,-,
ENSMUSG00000010025-B,-1.0,Octadecanoic acid,,-,
ENSMUSG00000010044-B,1.0,"1,2-Bis(trimethylsiloxy)cyclohexene",,+,
ENSMUSG00000010044-B,1.0,"1,2-Cinnolinedicarboxylic acid, 1,2,3,5,6,7,8,8a-octahydro-4-trimethylsilyloxy-, diethyl ester",,-,
ENSMUSG00000010044-B,1.0,"13-Docosenamide, (Z)",,+,
ENSMUSG00000010044-B,1.0,"2,4-Dimethoxybenzaldoxime",,+,
ENSMUSG00000010044-B,1.0,"2-Butene-1,4-diol",,+,
ENSMUSG00000010044-B,1.0,2-Norbornanemethanol,,-,
ENSMUSG00000010044-B,1.0,"3,4-Dihydroxybenzaldehyde",,-,
ENSMUSG00000010044-B,1.0,cis-2-Decenoic acid,,-,
ENSMUSG00000010044-B,1.0,L-Val-L-Leu,,+,
ENSMUSG00000010044-B,1.0,Tyr-Val,,+,
ENSMUSG00000015189-B,-1.0,"1,2-Bis(trimethylsiloxy)cyclohexene",,-,
ENSMUSG00000015189-B,-1.0,2-Aminoquinolin-8-ol,,+,
ENSMUSG00000015189-B,-1.0,"3-Hydroxy-7,3',4',5'-tetramethoxyflavone",,-,
ENSMUSG00000015189-B,-1.0,4-tert-Butyldimethylsiloxy-3-penten-2-one,,+,
ENSMUSG00000015189-B,-1.0,Chlorobenzilate ,,-,
ENSMUSG00000015189-B,-1.0,cis-2-Decenoic acid,,-,
ENSMUSG00000015189-B,-1.0,Sulindac,,-,
ENSMUSG00000015189-B,-1.0,tert-butyl(dimethyl)silyl-2-([tert-butyl(dimethyl)silyl]oxy)hex-2-enoate,,-,
ENSMUSG00000015224-B,1.0,"13-Docosenamide, (Z)",,-,
ENSMUSG00000015980-B,-1.0,"1,2-Bis(trimethylsiloxy)cyclohexene",,+,
ENSMUSG00000015980-B,-1.0,"2,4-Dimethoxybenzaldoxime",,-,
ENSMUSG00000015980-B,-1.0,2-Aminoquinolin-8-ol,,-,
ENSMUSG00000015980-B,-1.0,Isosorbide,,-,
ENSMUSG00000015980-B,-1.0,L-(+)-Threose,,-,
ENSMUSG00000017264-B,1.0,"1,2-Bis(trimethylsiloxy)cyclohexene",,+,
