Gene,Metabolite,Pooled r,Pooled p,Pooled FDR
ENSMUSG00000002324,"1-Octene, 2-methyl-",-0.53421648,0.033034708,0.2291506812016021
ENSMUSG00000002324,"1-Propanamine, N,N-diethyl- ",-0.026993885,0.9180907766908546,0.942218163
ENSMUSG00000002324,"1,2,2-Trimethyl-1-aza-spiro[2.3]hexane",0.03300332,0.9108209553502696,0.9370628870919012
ENSMUSG00000002324,2-Ethyl-3-hydroxypropionic acid,-0.373006416,0.1403100843511266,0.3732315352681782
ENSMUSG00000002324,"2,4-Diamino-6,7-dimethylpteridine",-0.125,0.6326406085600336,0.7459437210117112
ENSMUSG00000002324,3-(2-Hydroxyethyl)imidazole-2-thione,-0.593501031,0.012019204,0.1717068008444578
ENSMUSG00000002324,"3-Buten-2-one, 4-(4-methoxyphenyl)-",0.576333646,0.01545377,0.1862085163281049
ENSMUSG00000002324,3-Hydroxyisovaleric acid,-0.654411765,0.004367979,0.12662441
ENSMUSG00000002324,Allylescaline ,-0.220723524,0.3945918459875583,0.5802737426154444
ENSMUSG00000002324,"Benzimidazole, 5-trifluoromethyl-2-methyl-",-0.376918994,0.1358689010821161,0.3695359972937049
ENSMUSG00000002324,Benzoic Acid,-0.023255851,0.9344353384120964,0.953045363
ENSMUSG00000002324,"Benzoic acid, pentadecyl ester",-0.060338501,0.824331718,0.878157982
ENSMUSG00000002324,Cyclobutanol,-0.218181818,0.519248248,0.6696852360979401
ENSMUSG00000002324,D-Fructose,-0.047197845,0.8622013996465866,0.9045656348126632
ENSMUSG00000002324,"D-Xylofuranose, 1,2,3,5-tetrakis-O-",0.6296968930869347,0.011880766,0.1716386428830169
ENSMUSG00000002324,"Ethanol, 2-(9-octadecenyloxy)-",-0.566433566,0.05484212,0.2687039616801444
ENSMUSG00000002324,Indole-5-carboxylic acid,-0.120879121,0.6806070200628929,0.7789303658017285
ENSMUSG00000002324,Methyl aminoacetate,-0.349478913,0.169129852,0.3996705000931633
ENSMUSG00000002324,"N,O-Bis(trimethylsilyl)carbamate",-0.174825175,0.5868236643627043,0.7161755718191997
ENSMUSG00000002324,Niacinamide,0.4314709987311605,0.083752289,0.3089910931288478
ENSMUSG00000002324,Nonanal,-0.619252109,0.00802977,0.154735028
ENSMUSG00000002324,Octanoic acid,-0.208589114,0.4217306070220497,0.5998910917432225
ENSMUSG00000002324,"Pentenoic acid, 4-[(trimethylsilyl)oxy]-",-0.649006798,0.006524479,0.1435644760010294
ENSMUSG00000002324,"Propanetriol, 2-methyl-",-0.530962699,0.028304026,0.2187799648708475
ENSMUSG00000002324,"Pyrazine, 3,6-dimethyl-2,5-bis(trimethylsilyloxy)-",-0.328671329,0.2969041156887641,0.5082428186553942
ENSMUSG00000002324,Pyroglutamic acid,0.8601398601398602,0.000331668,0.06140277
ENSMUSG00000002324,"Spiro[cyclopenta[d]-1,3,2-dioxaborin-4(5H),1'-cyclopentane], 2-ethyl-6,7-dihydro-",-0.145695404,0.5903045164330336,0.7193043960693598
ENSMUSG00000002324,"Stigmast-5-ene, 3beta-",-0.651960784,0.004568346,0.1273423746724201
ENSMUSG00000002324,Trimethylsilyl oct-2-enoate ,-0.817647059,0.000109363,0.053095997
ENSMUSG00000002455,(pm)-Norketamine,0.018530554,0.9437246582716412,0.959261774
ENSMUSG00000002455,"1-Phenyl-1,2-ethanediol",0.2185393515656096,0.3994054862042321,0.5844218131921898
ENSMUSG00000002455,3-Methylvaleric acid,0.5392857142857141,0.038021656,0.2384337270384692
ENSMUSG00000002455,"3,5-Dimethylpyrazole",0.4212081151224549,0.1042032655292261,0.3338963052940645
ENSMUSG00000002455,"9,12-Octadecadienoic acid",0.009090909,0.9788365001441937,0.9836709363111532
ENSMUSG00000002455,Benzenepropanoic acid,-0.384106064,0.1418769222755184,0.3744496984729071
ENSMUSG00000002455,"Butanoic acid, 2,4-bis[(trimethylsilyl)oxy]-",0.026509602,0.9223666399560873,0.9451585921750688
ENSMUSG00000002455,Ethanolamine,-0.462445273,0.071296154,0.2925638208227827
ENSMUSG00000002455,Hippuric acid,-0.521152765,0.031934355,0.2271163552592752
ENSMUSG00000002455,L-Isoleucine,-0.458027006,0.0744027,0.2962021774149965
ENSMUSG00000002455,N-Isobutyl-sec-butylamine,0.2907184843604137,0.3592928176714778,0.5557192793960658
