Gene,Metabolite,VECPAC r,VECPAC p,VECPAC n,DSS r,DSS p,DSS n,LPS r,LPS p,LPS n,Pooled r,Pooled p,Pooled n,Consistent,Sign,Pooled FDR,"('Gene', 'Metabolite')"
ENSMUSG00000035873,"3-Cyclohexyl-L-alanine amide, N,N,N'N'-tetramethyl-",0.4553825555391872,0.3641432519429783,6,0.7999999999999999,0.2,4,0.4000661320993194,0.3738474947999899,7,0.012963121,0.9606174121292806,17,TRUE,+,0.9705624371014346,"('ENSMUSG00000035873', ""3-Cyclohexyl-L-alanine amide, N,N,N'N'-tetramethyl-"")"
ENSMUSG00000035873,Allylescaline ,-0.394664881,0.4387392515170167,6,-0.4,0.6,4,-0.162168743,0.7282995630820223,7,-0.030845633,0.906448305,17,TRUE,-,0.9343470200871734,"('ENSMUSG00000035873', 'Allylescaline ')"
ENSMUSG00000035873,Benzoic Acid,-0.316227766,0.683772234,4,-0.4,0.6,4,-0.090093746,0.8476720796198265,7,-0.034914965,0.9016873050066616,15,TRUE,-,0.9310190676393076,"('ENSMUSG00000035873', 'Benzoic Acid')"
ENSMUSG00000035873,"Cholest-7-en-3-ol, (3beta,5alpha)-",-0.030358837,0.9544757346935632,6,-0.4,0.6,4,-0.231908414,0.658373571,6,-0.005930451,0.9826094815112836,16,TRUE,-,0.986267117,"('ENSMUSG00000035873', 'Cholest-7-en-3-ol, (3beta,5alpha)-')"
ENSMUSG00000035873,"Cyclopentaneacetic acid, 3-oxo-2-pentyl-",-0.151794185,0.7740575031656567,6,-0.2,0.8,4,-0.709208143,0.07433118,7,-0.274694707,0.2859607970562383,17,TRUE,-,0.4996252238442017,"('ENSMUSG00000035873', 'Cyclopentaneacetic acid, 3-oxo-2-pentyl-')"
ENSMUSG00000035873,"D-Erythro-Pentofuranose, 2-deoxy-1,3-bis-O-",0.030358837,0.9544757346935632,6,0.7378647873726218,0.2621352126273781,4,0.1801874925391118,0.6990457740939315,7,0.016049578,0.9512500624617428,17,TRUE,+,0.9642827225894706,"('ENSMUSG00000035873', 'D-Erythro-Pentofuranose, 2-deoxy-1,3-bis-O-')"
ENSMUSG00000035873,L-Lysine,0.5000000000000001,0.4999999999999999,4,0.316227766,0.683772234,4,0.2788866755113585,0.5447424825788255,7,0.4551375449116279,0.088246853,15,TRUE,+,0.3153375209453957,"('ENSMUSG00000035873', 'L-Lysine')"
ENSMUSG00000035873,"N,9-bis(Trimethylsilyl)-6-[(trimethylsilyl)oxy]-9H-purin-2-amine",-0.2,0.8,4,-0.5,0.6666666666666667,3,-0.2,0.747060078,5,-0.056042117,0.8626597626252807,12,TRUE,-,0.9045656348126632,"('ENSMUSG00000035873', 'N,9-bis(Trimethylsilyl)-6-[(trimethylsilyl)oxy]-9H-purin-2-amine')"
ENSMUSG00000035873,"N,O-Bis(trimethylsilyl)carbamate",-0.866025404,0.3333333333333332,3,-0.4,0.6,4,-0.5,0.3910022189557705,5,-0.133806135,0.6784466863299407,12,TRUE,-,0.7786477653725774,"('ENSMUSG00000035873', 'N,O-Bis(trimethylsilyl)carbamate')"
ENSMUSG00000035873,Tributyl acetylcitrate,-0.151794185,0.7740575031656567,6,-1,0,3,-0.054056248,0.9083652825239956,7,-0.005930451,0.9826094815112836,16,TRUE,-,0.986267117,"('ENSMUSG00000035873', 'Tributyl acetylcitrate')"
