Gene,Gene,Metabolite,VECPAC r,VECPAC p,VECPAC n,DSS r,DSS p,DSS n,LPS r,LPS p,LPS n,Pooled r,Pooled p,Pooled n,Consistent,Sign,Pooled FDR
ENSMUSG00000000305-P,ENSMUSG00000000305,L-Alanine,-1,1.4042654220543672e-24,5,-0.8,0.2,4,-0.090093746,0.8476720796198265,7,-0.422680412,0.1028716916214355,16,TRUE,-,0.3317489002528589
ENSMUSG00000000305-P,ENSMUSG00000000305,L-Asparagine,-0.257142857,0.6227871720116618,6,-0.5,0.6666666666666667,3,-0.3,0.6238376647810728,5,-0.523652682,0.054626647,14,TRUE,-,0.2685327705116768
ENSMUSG00000000305-P,ENSMUSG00000000305,L-Methionine,-0.314285714,0.5440932944606414,6,-0.4,0.6,4,-0.535714286,0.2152174556780127,7,-0.202329897,0.4361025055621923,17,TRUE,-,0.6098196862010739
ENSMUSG00000000305-P,ENSMUSG00000000305,"L-Tryptophan, N-acetyl-1",-0.257142857,0.6227871720116618,6,-0.5,0.6666666666666667,3,-0.357142857,0.4316113520383278,7,-0.388521076,0.1369674025967696,16,TRUE,-,0.3707238425308561
ENSMUSG00000000305-P,ENSMUSG00000000305,Methyl aminoacetate,-0.142857143,0.7871720116618075,6,-0.8,0.2,4,-0.72074997,0.067634995,7,-0.574233129,0.015922112,17,TRUE,-,0.18714338
ENSMUSG00000000305-P,ENSMUSG00000000305,"N,9-bis(Trimethylsilyl)-6-[(trimethylsilyl)oxy]-9H-purin-2-amine",-0.2,0.8,4,-0.5,0.6666666666666667,3,-0.6,0.2847569798652937,5,-0.181818182,0.5717012385276553,12,TRUE,-,0.7059416045274854
ENSMUSG00000000305-P,ENSMUSG00000000305,Nonanal,-0.028571429,0.9571545189504372,6,-1,0,4,-0.594618725,0.1590899937011846,7,-0.185276074,0.4765101910619915,17,TRUE,-,0.6389016412299536
ENSMUSG00000000305-P,ENSMUSG00000000305,Palmitic Acid,-0.2,0.704,6,-0.4,0.6,4,-0.428571429,0.337368311,7,-0.353157638,0.1643810654046422,17,TRUE,-,0.3954284788429447
ENSMUSG00000000305-P,ENSMUSG00000000305,"Pentenoic acid, 4-[(trimethylsilyl)oxy]-",-0.485714286,0.3287230320699709,6,-1,0,3,-0.594618725,0.1590899937011846,7,-0.273730758,0.3049529815800683,16,TRUE,-,0.5149118023031207
ENSMUSG00000000305-P,ENSMUSG00000000305,Pimelic acid,-0.085714286,0.8717434402332361,6,-0.4,0.6,4,-0.1,0.8728885715695383,5,-0.24307427,0.3826898677600425,15,TRUE,-,0.5730891165019439
