Metabolite 1,Metabolite 2,Spearman Coefficient,p-value,Values Counted
ENSMUSG00000000093-B,L-Norleucine,0.39999999999999997,0.5046315754686912,5
ENSMUSG00000000093-B,"l-Norvaline, n-propargyloxycarbonyl-, isohexyl ester",-0.8999999999999998,0.03738607346849874,5
ENSMUSG00000000093-B,L-Ornithine,nan,nan,0
ENSMUSG00000000093-B,L-Pyroglutamic acid,0.8660254037844387,0.33333333333333326,3
ENSMUSG00000000093-B,L-Serine,nan,nan,0
ENSMUSG00000000093-B,L-Threonine,0.39999999999999997,0.6,4
ENSMUSG00000000093-B,L-Tryptophan,0.6,0.208,6
ENSMUSG00000000093-B,L-Tyrosine,0.5642880936468347,0.3217233358243003,5
ENSMUSG00000000093-B,Luciferin,nan,nan,0
ENSMUSG00000000093-B,Lupinine,0.0,1.0,5
ENSMUSG00000000093-B,L-Valine,0.08571428571428573,0.8717434402332361,6
ENSMUSG00000000093-B,L-Val-L-Leu,1.0,0.0,3
ENSMUSG00000000093-B,Malic acid,0.6571428571428573,0.1561749271137024,6
ENSMUSG00000000093-B,Maltol,nan,nan,0
ENSMUSG00000000093-B,Methanesulfonic acid,0.2571428571428572,0.6227871720116619,6
ENSMUSG00000000093-B,Methyl lactate,0.14285714285714288,0.7871720116618076,6
ENSMUSG00000000093-B,Methylsuccinic acid,nan,nan,0
ENSMUSG00000000093-B,Methylthiouracil,0.14285714285714288,0.7871720116618076,6
ENSMUSG00000000093-B,Mevalonolactone,-0.6,0.208,6
ENSMUSG00000000093-B,Monocaproin,-0.5,0.6666666666666666,3
ENSMUSG00000000093-B,m-Toluic acid,-0.20291986247835697,0.699797968157019,6
ENSMUSG00000000093-B,Myristic acid,0.7356123579206245,0.09561078073827974,6
ENSMUSG00000000093-B,"N,N-Dimethyl-2-aminoethanol",-0.48571428571428577,0.3287230320699708,6
ENSMUSG00000000093-B,"N-[(3,4,5-Trimethoxyphenyl)methylidene]hydroxylamine",1.0,0.0,3
ENSMUSG00000000093-B,N-Acetylaminoethanol,0.20291986247835697,0.699797968157019,6
ENSMUSG00000000093-B,N-Acetylaspartic acid,0.3,0.623837664781073,5
ENSMUSG00000000093-B,N-Acetyl-L-alanine,0.6,0.208,6
ENSMUSG00000000093-B,"Naringenin 4',7-dimethylether",0.6668859288553501,0.21889398131323157,5
ENSMUSG00000000093-B,N-Caffeoyl-O-methyltyramine,-0.08696565534786728,0.8698803787001028,6
ENSMUSG00000000093-B,N-Ethylamphetamine,-0.20291986247835697,0.699797968157019,6
ENSMUSG00000000093-B,N-Ethyldiethanolamine,0.6,0.208,6
ENSMUSG00000000093-B,Niacin,0.30779350562554625,0.614384002810333,5
ENSMUSG00000000093-B,Niacinamide,0.08571428571428573,0.8717434402332361,6
ENSMUSG00000000093-B,N-Isobutyrylglycine,-0.40583972495671394,0.4246625075613642,6
ENSMUSG00000000093-B,N-Methyl-1-[(trimethylsilyl)oxy]-1-{4-[(trimethylsilyl)oxy]phenyl}propan-2-amine,0.6000000000000001,0.4,4
ENSMUSG00000000093-B,N-Methylacetamide,0.20291986247835697,0.699797968157019,6
ENSMUSG00000000093-B,Nonanoic acid,-0.5642880936468347,0.3217233358243003,5
ENSMUSG00000000093-B,Norephedrine,1.0,0.0,3
ENSMUSG00000000093-B,Norketamine,0.7061878636037996,0.11680660694745583,6
ENSMUSG00000000093-B,"Norleucine, N-trimethylsilyl-",nan,nan,0
ENSMUSG00000000093-B,Octacosanol,-0.7999999999999999,0.2000000000000001,4
ENSMUSG00000000093-B,"Octadecanoic acid, octyl ester",nan,nan,0
ENSMUSG00000000093-B,Octadecanoic acid,nan,nan,0
ENSMUSG00000000093-B,Octanoic acid,0.7999999999999999,0.2000000000000001,4
ENSMUSG00000000093-B,Octocrylene,nan,nan,0
ENSMUSG00000000093-B,Oleamide,-0.3714285714285715,0.4684781341107872,6
ENSMUSG00000000093-B,Oleic Acid,nan,nan,0
ENSMUSG00000000093-B,Olomoucine,nan,nan,0
ENSMUSG00000000093-B,Oxalic acid,0.0,1.0,6
ENSMUSG00000000093-B,"Oxalic acid, di(cyclohexylmethyl) ester",nan,nan,0
ENSMUSG00000000093-B,"Oxymorphone, bis(trimethylsilyl) ether",0.0,1.0,6
ENSMUSG00000000093-B,Palmitic Acid,0.6000000000000001,0.4,4
ENSMUSG00000000093-B,Pentadecanoic acid,nan,nan,0
ENSMUSG00000000093-B,Pentanedioic acid,0.5797710356524484,0.22778395671501606,6
ENSMUSG00000000093-B,Pentanoic acid,0.6,0.208,6
ENSMUSG00000000093-B,"Phenol, 2,4-bis(1-methyl-1-phenylethyl)-",0.48571428571428577,0.3287230320699708,6
ENSMUSG00000000093-B,Phenol,-0.3,0.623837664781073,5
ENSMUSG00000000093-B,Phenoxyethanol,0.6377481392176932,0.17307111024125982,6
ENSMUSG00000000093-B,Phosphoserine,nan,nan,0
ENSMUSG00000000093-B,Phthalazin-1-one,-0.8660254037844387,0.33333333333333326,3
ENSMUSG00000000093-B,Phthalimide,nan,nan,0
