Metabolite 1,Metabolite 2,Spearman Coefficient,p-value,Values Counted
ENSMUSG00000000093-B,2-Amino-4-methylbenzophenone,0.02277910237891026,0.9469975714556126,11
ENSMUSG00000000093-B,2-Aminoquinolin-8-ol,-0.5,0.6666666666666666,3
ENSMUSG00000000093-B,2-Butanol,nan,nan,0
ENSMUSG00000000093-B,2-Buten-1-ol,0.05797710356524484,0.9131317851623264,6
ENSMUSG00000000093-B,"2-Butene-1,4-diol",-0.2571428571428572,0.6227871720116619,6
ENSMUSG00000000093-B,2-Butenedioic acid,0.16363636363636366,0.6306852146425358,11
ENSMUSG00000000093-B,"2-Butenoic acid, 3-[(tert-butyldimethylsilyl)oxy]",0.3964912280701755,0.20194511740261023,12
ENSMUSG00000000093-B,2-Butoxyethanol,0.4868658954951507,0.10844282195191483,12
ENSMUSG00000000093-B,2-Cyanobenzaldehyde,-0.14494275891311212,0.7841083696021083,6
ENSMUSG00000000093-B,"2-Cyclohexen-1-one, 3-methyl-6-(1-methylethyl)",0.25512594664379495,0.44896812615545156,11
ENSMUSG00000000093-B,"2-Cyclohexen-1-one, 3-methyl-",0.535902748278835,0.0725074830303382,12
ENSMUSG00000000093-B,2-Decanol,0.43769199144964654,0.20584999674311066,10
ENSMUSG00000000093-B,2-Ethyl-1-butanol,0.0,1.0,5
ENSMUSG00000000093-B,2-Ethylhexanoic acid,0.2618633218076359,0.41097170436459857,12
ENSMUSG00000000093-B,2-Ethylhexanol,nan,nan,0
ENSMUSG00000000093-B,"2-Furancarbodithioic acid, methyl ester",nan,nan,0
ENSMUSG00000000093-B,2-Furoic acid,0.03647433262080388,0.9203184602756677,10
ENSMUSG00000000093-B,2-Hexanol,0.25609756097560976,0.4751054375857136,10
ENSMUSG00000000093-B,"2'-Hydroxy-2,4,4',5-tetramethoxychalcone",0.40503538541835493,0.21655337664399874,11
ENSMUSG00000000093-B,"2-Hydroxy-2',4',6'-trimethoxychalcone",nan,nan,0
ENSMUSG00000000093-B,2-Hydroxy-3-methylbutyric acid,0.3826889199656924,0.24539329664551962,11
ENSMUSG00000000093-B,"2-Hydroxymethyl-17alpha-methylandrosta-1,4-diene-11alpha,17beta-diol-3-one",nan,nan,0
ENSMUSG00000000093-B,2-Isopropyl-5-methyl-1-heptanol,nan,nan,0
ENSMUSG00000000093-B,"2-Methyl-1,3-butanediol",0.22456140350877196,0.4828794759829102,12
ENSMUSG00000000093-B,2-Methyl-3-pentanol,0.7500000000000002,0.05218140045705777,7
ENSMUSG00000000093-B,"2-Methylcyclohexanol, (Z)",0.27592309747516,0.38534539190387496,12
ENSMUSG00000000093-B,"2-Methylcyclohexylamine, tert.-butyldimethylsilyl ether",-0.14285714285714288,0.7871720116618076,6
ENSMUSG00000000093-B,2-Naphthol,0.26584671845580293,0.40362664639577256,12
ENSMUSG00000000093-B,2-Norbornanemethanol,-0.5,0.6666666666666666,3
ENSMUSG00000000093-B,"2-Oxiraneethanol, 2-t-butyldimethysilyloxymethyl- acetate",nan,nan,0
ENSMUSG00000000093-B,2-Pentadecanone,0.5565510009601891,0.060188686686831666,12
ENSMUSG00000000093-B,"2-Pivaloyl-1,3-indandione",nan,nan,0
ENSMUSG00000000093-B,2-Propyl-1-pentanol,0.05922566618516668,0.8626730467279877,11
ENSMUSG00000000093-B,2-Pyrrolidone-5-carboxylic acid,0.26666666666666666,0.402122983175329,12
ENSMUSG00000000093-B,"2-Thiophenecarboxylic acid, 4-cyanophenyl ester",nan,nan,0
ENSMUSG00000000093-B,"3-(4,7-Dimethoxy-2H-1,3-benzodioxol-5-yl)-2-methylprop-2-enal",0.3362527048024062,0.2852260872486309,12
ENSMUSG00000000093-B,3-(4-Methoxyphenyl)coumarin,0.0,1.0,4
ENSMUSG00000000093-B,"3,3-Bis{4-[(trimethylsilyl)oxy]phenyl}-2-benzofuran-1(3H)-one",nan,nan,0
ENSMUSG00000000093-B,"3,3-Dimethylacrylic acid",0.7999999999999999,0.2000000000000001,4
ENSMUSG00000000093-B,"3,4-Dihydroxybenzaldehyde",0.5,0.6666666666666666,3
ENSMUSG00000000093-B,"3,4-Methylenedioxyamphetamine",0.6586944440522925,0.07568968784163856,8
ENSMUSG00000000093-B,"3,5-Dimethoxy-4-(tert.-butyldimethylsilyl)oxybenzaldehyde",nan,nan,0
ENSMUSG00000000093-B,"3,5-Dimethylphenol",0.3006841514016155,0.3689389905231539,11
