Metabolite,Gene,AL Consistent,Matt consistent,Consistent differs,Matt,AL,Diff (Matt-AL),Abs Diff
2-Aminobutanoic acid,ENSMUSG00000094002,False,False,False,0.0,,,
2-Butenedioic acid,ENSMUSG00000094002,False,False,False,0.0,,,
"2-Butenoic acid, 2-[(trimethylsilyl)oxy]-",ENSMUSG00000094002,False,False,False,0.0,,,
2-Ethyl-3-hydroxypropionic acid,ENSMUSG00000094002,False,False,False,0.0,,,
"2-Heptanone, 4,6-dimethyl-",ENSMUSG00000094002,False,False,False,0.0,,,
2-Heptenoic acid,ENSMUSG00000094002,False,False,False,0.0,,,
2-Hexen-1-ol,ENSMUSG00000094002,False,False,False,0.0,,,
2-Hydroxy-3-methylbutyric acid,ENSMUSG00000094002,False,False,False,0.0,,,
2-Hydroxy-5-methoxybenzaldehyde,ENSMUSG00000094002,False,False,False,0.0,,,
2-Hydroxybutyric acid,ENSMUSG00000094002,False,False,False,0.0,,,
2-Isopropyl-5-methyl-1-heptanol,ENSMUSG00000094002,False,False,False,0.0,,,
2-Methyl-4-pentenoic acid,ENSMUSG00000094002,False,False,False,0.0,,,
2-Methylglutaconic acid,ENSMUSG00000094002,False,False,False,0.0,,,
2-Naphthol,ENSMUSG00000094002,False,False,False,0.0,,,
2-Oxooctanoic acid,ENSMUSG00000094002,False,False,False,0.0,,,
2-Pentenoic acid,ENSMUSG00000094002,False,False,False,0.0,,,
"2-Propanone, bis(1-methylethyl)hydrazone",ENSMUSG00000094002,False,False,False,0.0,,,
"2-Propenoic acid, 2-[(trimethylsilyl)oxy]-3-[4-[(trimethylsilyl)oxy]phenyl]-",ENSMUSG00000094002,False,False,False,0.0,,,
2-Pyrrolidinone,ENSMUSG00000094002,False,False,False,0.0,,,
"2,2-Diallylpyrrolidine",ENSMUSG00000094002,False,False,False,0.0,,,
"2,2,4-Trimethyl-1,3-pentanediol diisobutyrate",ENSMUSG00000094002,False,False,False,0.0,,,
"2,2'-Biphenyldiol",ENSMUSG00000094002,False,False,False,0.0,,,
"2,3-Butanediol",ENSMUSG00000094002,False,False,False,0.0,,,
"2,4-Decadienal",ENSMUSG00000094002,False,False,False,0.0,,,
"2,4-Diamino-6,7-dimethylpteridine",ENSMUSG00000094002,False,False,False,0.0,,,
"2,4-Imidazolidinedione, 5,5-dimethyl-",ENSMUSG00000094002,False,False,False,0.0,,,
"2,5-Cyclohexadiene-1,4-dione, 2,6-bis(1,1-dimethylethyl)-",ENSMUSG00000094002,False,False,False,0.0,,,
