Metabolite,Gene,AL Consistent,Matt consistent,Consistent differs,Matt,AL,Diff (Matt-AL),Abs Diff
"Benzene, 1-acetoxy-2,6-dimethoxy-4-(2-propenyl)-",ENSMUSG00000100075,False,False,False,0.0,,,
beta-D-Glucopyranose,ENSMUSG00000100075,False,False,False,0.0,,,
Carfentrazone-ethyl,ENSMUSG00000100075,False,False,False,0.0,,,
"Dodecanoic acid, 1-methylethyl ester",ENSMUSG00000100075,False,False,False,0.0,,,
Itaconic acid,ENSMUSG00000100075,False,False,False,0.0,,,
Latanoprost lactone diol,ENSMUSG00000100075,False,False,False,0.0,,,
"N,O-Bis(trimethylsilyl)carbamate",ENSMUSG00000100075,False,False,False,0.0,,,
Nitrosothymol,ENSMUSG00000100075,False,False,False,0.0,,,
p-Toluic acid,ENSMUSG00000100075,False,False,False,0.0,,,
"Phenol, 3,5-bis(1,1-dimethylethyl)-",ENSMUSG00000100075,False,False,False,0.0,,,
Phenylpropanolamine,ENSMUSG00000100075,False,False,False,0.0,,,
Pyroglutamic acid,ENSMUSG00000100075,False,False,False,0.0,,,
Sertraline carbamoyl glucuronide,ENSMUSG00000100075,False,False,False,0.0,,,
"1,3-Cyclohexanebis(methylamine)",ENSMUSG00000078485,False,False,False,0.0,,,
"1,3-Cyclohexanebis(methylamine)",ENSMUSG00000085197,False,False,False,0.0,,,
2-(Bis[2-(trimethylsilyl)oxyethyl]amino)acetic acid,ENSMUSG00000085197,False,False,False,0.0,,,
"2-Heptanone, 4,6-dimethyl-",ENSMUSG00000085197,False,False,False,0.0,,,
2-Pentenoic acid,ENSMUSG00000085197,False,False,False,0.0,,,
"2,5-Dimethoxybenzonitrile",ENSMUSG00000085197,False,False,False,0.0,,,
3'-(Trimethylsilyl)oxy-beta-naphthoflavone,ENSMUSG00000085197,False,False,False,0.0,,,
"6,7,4'-Trihydroxyisoflavone",ENSMUSG00000085197,False,False,False,0.0,,,
"9,12-Octadecadienoic acid",ENSMUSG00000085197,False,False,False,0.0,,,
"Azetidine, 1-acetyl-2-methyl-",ENSMUSG00000085197,False,False,False,0.0,,,
"Benzene, 1-acetoxy-2,6-dimethoxy-4-(2-propenyl)-",ENSMUSG00000085197,False,False,False,0.0,,,
beta-D-Glucopyranose,ENSMUSG00000085197,False,False,False,0.0,,,
Butylmethylamine,ENSMUSG00000085197,False,False,False,0.0,,,
Butyrovanillone,ENSMUSG00000085197,False,False,False,0.0,,,
Carfentrazone-ethyl,ENSMUSG00000085197,False,False,False,0.0,,,
"Cholesta-3,5-dien-7-one",ENSMUSG00000085197,False,False,False,0.0,,,
Cyclobutanol,ENSMUSG00000085197,False,False,False,0.0,,,
"DL-Proline, 5-oxo-",ENSMUSG00000085197,False,False,False,0.0,,,
"Dodecanoic acid, 1-methylethyl ester",ENSMUSG00000085197,False,False,False,0.0,,,
"Ethanol, 2-(9-octadecenyloxy)-",ENSMUSG00000085197,False,False,False,0.0,,,
Metanephrine,ENSMUSG00000085197,False,False,False,0.0,,,
N-Isobutyrylglycine,ENSMUSG00000085197,False,False,False,0.0,,,
Nitrosothymol,ENSMUSG00000085197,False,False,False,0.0,,,
"Octadecanamide, N-(2-methylpropyl)-N-nitroso-",ENSMUSG00000085197,False,False,False,0.0,,,
"Oxalic acid, allyl octyl ester",ENSMUSG00000085197,False,False,False,0.0,,,
Pyroglutamic acid,ENSMUSG00000085197,False,False,False,0.0,,,
Quazodine,ENSMUSG00000085197,False,False,False,0.0,,,
Sertraline carbamoyl glucuronide,ENSMUSG00000085197,False,False,False,0.0,,,
"1,4-diazabicyclo[4.3.0]nonan-2,5-dione, 3-methyl",ENSMUSG00000091007,False,False,False,0.0,,,
Cadaverine,ENSMUSG00000091007,False,False,False,0.0,,,
Cyclo-(l-leucyl-l-phenylalanyl),ENSMUSG00000065799,False,False,False,0.0,,,
"1,3-Cyclohexanebis(methylamine)",ENSMUSG00000105970,False,False,False,0.0,,,
2-Isopropyl-5-methyl-1-heptanol,ENSMUSG00000105607,False,False,False,0.0,,,
"Aziridine, 1-(2-buten-2-yl)-",ENSMUSG00000105607,False,False,False,0.0,,,
"alpha-L-Galactopyranoside, methyl 6-deoxy-, (R,R,R,S,S)-",ENSMUSG00000007379,False,False,False,0.0,,,
"1-Decene, 8-methyl-",ENSMUSG00000087083,False,False,False,0.0,,,
"1,4-diazabicyclo[4.3.0]nonan-2,5-dione, 3-methyl",ENSMUSG00000087083,False,False,False,0.0,,,
Cadaverine,ENSMUSG00000087083,False,False,False,0.0,,,
Carfentrazone-ethyl,ENSMUSG00000087083,False,False,False,0.0,,,
L-Norleucine,ENSMUSG00000087083,False,False,False,0.0,,,
"Morpholine, 4-[2,3,4,6-tetrakis-O-(trimethylsilyl)-alpha-d-mannopyranosyl]-",ENSMUSG00000091183,False,False,False,0.0,,,
Mirin,ENSMUSG00000085776,False,False,False,0.0,,,
"(7a-Isopropenyl-4,5-dimethyloctahydroinden-4-yl)methanol",ENSMUSG00000105729,False,False,False,0.0,,,
"(9H-fluoren-9-yl)methanol, O-methoxycarbonyl-",ENSMUSG00000105729,False,False,False,0.0,,,
(CH3)2C=NC2H558,ENSMUSG00000105729,False,False,False,0.0,,,
(pm)-N-Propylamphetamine,ENSMUSG00000105729,False,False,False,0.0,,,
(pm)-Norketamine,ENSMUSG00000105729,False,False,False,0.0,,,
(pm)-Phenylpropanolamine,ENSMUSG00000105729,False,False,False,0.0,,,
"(S,S)-(-)-Hydrobenzoin",ENSMUSG00000105729,False,False,False,0.0,,,
"1-(1-Hydroxybutyl)-2,5-dimethoxybenzene",ENSMUSG00000105729,False,False,False,0.0,,,
"1-(2,4-Dimethoxyphenyl)-propan-2-one",ENSMUSG00000105729,False,False,False,0.0,,,
1-(3-Methylphenyl)piperazine,ENSMUSG00000105729,False,False,False,0.0,,,
"1-(4-Methoxyphenyl)-4,6-dimethyl-2(1H)-pyrimidinone",ENSMUSG00000105729,False,False,False,0.0,,,
1-Aminocyclopropanecarboxylic acid,ENSMUSG00000105729,False,False,False,0.0,,,
"1-Butanamine, N,N-diethyl-",ENSMUSG00000105729,False,False,False,0.0,,,
1-Cyclopentylethanol,ENSMUSG00000105729,False,False,False,0.0,,,
"1-Decene, 8-methyl-",ENSMUSG00000105729,False,False,False,0.0,,,
1-Deoxypentitol,ENSMUSG00000105729,False,False,False,0.0,,,
1-Hexanol,ENSMUSG00000105729,False,False,False,0.0,,,
1-Hydroxy-3-methoxy-6-methylanthraquinone,ENSMUSG00000105729,False,False,False,0.0,,,
"1-Methyl-N,N-bis(trimethylsilyl)-4-[(trimethylsilyl)oxy]-1H-imidazol-2-amine",ENSMUSG00000105729,False,False,False,0.0,,,
1-Monoacetin,ENSMUSG00000105729,False,False,False,0.0,,,
1-Octadecanol,ENSMUSG00000105729,False,False,False,0.0,,,
