Metabolite,Gene,AL Consistent,Matt consistent,Consistent differs,Matt,AL,Diff (Matt-AL),Abs Diff
"2-Propenoic acid, 2-[(trimethylsilyl)oxy]-3-[4-[(trimethylsilyl)oxy]phenyl]-",ENSMUSG00000041649,False,False,False,1.0,,,
"2,6-Dimethoxyhydroquinone",ENSMUSG00000041649,False,False,False,1.0,,,
8-Hydroxy-5-(hydroxymethyl)quinoline,ENSMUSG00000041649,False,False,False,1.0,,,
Albizziin,ENSMUSG00000041649,False,False,False,1.0,,,
"D-(+)-Xylose, tetrakis",ENSMUSG00000041649,False,False,False,1.0,,,
"Methyl 2,4-dihydroxybenzoate",ENSMUSG00000041649,False,False,False,1.0,,,
"Morpholine, 4-(2,6-dimethoxybenzoyl)-2,6-dimethyl-",ENSMUSG00000041649,False,False,False,1.0,,,
N-Acetyl-L-phenylalanine,ENSMUSG00000041649,False,False,False,1.0,,,
Naphthofluorescein,ENSMUSG00000041649,False,False,False,1.0,,,
Ornithine,ENSMUSG00000041649,False,False,False,1.0,,,
Pentacosanoic acid,ENSMUSG00000041649,False,False,False,1.0,,,
Phthalazin-1-one,ENSMUSG00000041649,False,False,False,1.0,,,
"Piperidine, 1-(1-methylpentyl)-",ENSMUSG00000041649,False,False,False,1.0,,,
"Pyrazine, 3,6-dihydro-3,6-dimethyl-",ENSMUSG00000041649,False,False,False,1.0,,,
"Pyrrolo[1,2-a]pyrazine-1,4-dione, hexahydro-3-(2-methylpropyl)",ENSMUSG00000041649,False,False,False,1.0,,,
Tetradecanenitrile,ENSMUSG00000041649,False,False,False,1.0,,,
Thymidine,ENSMUSG00000041649,False,False,False,1.0,,,
"Xylonic acid, 2,3,4-tris-O-(trimethylsilyl)-, delta-lactone",ENSMUSG00000041649,False,False,False,1.0,,,
